VALUE	SESSIONLENGTH	TIMEONPAGE	FREQUENCY	TIMER
9730	3.831	82369.24957	282454	PLT
22220	2.827	77092.97517	56298	PLT
25590	2.762	126871.8188	40025	PLT
3700	4.747	73561.60488	947517	PLT
9630	3.869	102691.7285	287428	PLT
20420	2.833	68440.25284	66078	PLT
21590	2.875	73921.09278	58611	PLT
18700	3	67174.52274	79837	PLT
14440	3.295	82360.16792	135805	PLT
19540	2.985	71991.05129	72701	PLT
25630	2.812	80590.27568	40082	PLT
2360	4.834	75492.46562	914444	PLT
1240	4.124	52997.06552	661356	PLT
7230	4.168	127162.181	469591	PLT
8410	4.039	81535.37926	365490	PLT
20560	2.938	76955.30657	65514	PLT
25760	2.786	94019.57276	39569	PLT
22930	2.781	111424.2756	52661	PLT
28300	2.655	77022.63947	31121	PLT
6520	4.333	99845.78102	548836	PLT
6340	4.316	86618.79874	572264	PLT
4760	4.574	79085.24126	795151	PLT
7280	4.203	87976.52069	463659	PLT
8460	4.017	117854.0411	361323	PLT
10110	3.776	80315.88871	262705	PLT
16370	3.15	68720.66474	106940	PLT
18860	2.985	93408.91047	78626	PLT
12430	3.507	75953.74223	181583	PLT
26700	2.692	80213.82339	36108	PLT
21880	2.845	66632.36678	57968	PLT
15380	3.212	80230.05319	122330	PLT
26060	2.746	79435.5986	38238	PLT
27520	2.788	80606.15832	33273	PLT
4790	4.545	88616.28147	790999	PLT
190	1.447	9208.083463	360657	PLT
17100	3.062	84228.08166	97759	PLT
540	2.596	28292.8447	472691	PLT
26210	2.711	81431.79839	37729	PLT
7930	4.11	71882.86423	404054	PLT
28290	2.676	98115.47592	31221	PLT
23830	2.789	87219.66883	47804	PLT
12410	3.536	108711.3757	182152	PLT
17590	3.052	85595.37086	91963	PLT
17640	3.076	104628.4538	91979	PLT
14600	3.269	114887.325	133226	PLT
1570	4.472	61948.58814	756443	PLT
6620	4.331	93267.6557	535984	PLT
17780	3.071	67834.65092	90244	PLT
19010	3.05	232763.5968	77604	PLT
25020	2.767	86276.17452	42744	PLT
4530	4.603	86400.35294	834017	PLT
15010	3.266	79392.44598	126076	PLT
25310	2.745	83010.83133	41692	PLT
6550	4.269	76586.51326	546837	PLT
12780	3.494	88678.45669	170993	PLT
1450	4.361	56064.13371	723543	PLT
13630	3.394	156715.6726	152357	PLT
7400	4.169	103349.1021	451918	PLT
12230	3.551	152210.9402	186189	PLT
8640	3.992	128993.3946	347570	PLT
15890	3.19	94483.78572	114203	PLT
17180	3.044	64290.07175	96807	PLT
21540	2.845	122637.9803	59440	PLT
23800	2.838	65570.69743	48269	PLT
14980	3.264	92069.11651	126675	PLT
29740	2.655	91744.17795	27027	PLT
16910	3.072	88391.55509	100015	PLT
20680	2.89	130581.7693	64279	PLT
11950	3.552	96043.15193	195025	PLT
7490	4.171	82205.95267	441604	PLT
18670	2.983	63820.04464	81223	PLT
15150	3.288	75062.4127	124574	PLT
28310	2.678	89561.79169	30711	PLT
22320	2.873	140062.8693	56089	PLT
18240	3.052	69605.16208	85330	PLT
20570	2.831	95205.87089	65139	PLT
22900	2.811	70826.3218	52512	PLT
19310	2.958	66450.66248	75122	PLT
29800	2.581	86264.75238	26966	PLT
26460	2.741	87449.53065	36983	PLT
3190	4.879	75661.16862	971060	PLT
21530	2.805	100605.4694	59798	PLT
24130	2.726	77177.70299	46663	PLT
21610	3.181	116453.1509	59130	PLT
10920	3.658	81868.96447	229548	PLT
14720	3.264	113172.2659	131204	PLT
9510	3.831	96412.61012	293587	PLT
29520	2.634	78574.29802	27753	PLT
19000	2.962	73575.72517	77661	PLT
4370	4.657	74205.00155	857588	PLT
3540	4.822	71638.39487	957583	PLT
8530	3.979	83636.65562	356101	PLT
5130	4.499	95745.52698	739056	PLT
3650	4.805	71289.5621	952526	PLT
1640	4.543	53162.31325	773719	PLT
12200	3.54	129456.2483	188149	PLT
24440	2.893	68381.06974	45263	PLT
21260	2.921	91221.34427	61204	PLT
5800	4.405	97101.95645	643906	PLT
660	2.858	30852.44064	511126	PLT
8730	3.967	121705.7069	342451	PLT
16770	3.147	70955.99941	101870	PLT
15410	3.222	69678.22773	120976	PLT
11870	3.558	68624.29164	197114	PLT
26370	2.733	74560.99973	37386	PLT
24050	2.801	105646.712	46812	PLT
27950	2.732	71053.11976	32201	PLT
25970	2.723	71766.68508	39198	PLT
27690	2.652	97282.43956	32603	PLT
20780	2.866	76978.27475	63726	PLT
29460	2.589	100097.1944	28056	PLT
14340	3.35	74455.63426	138086	PLT
7030	4.189	100351.0676	489826	PLT
2070	4.755	63358.06166	872079	PLT
21380	2.866	108373.2352	59966	PLT
8260	4.034	76105.03222	376684	PLT
4070	4.737	79388.62477	902667	PLT
13940	3.384	83706.36935	145298	PLT
19650	2.969	86745.18308	72098	PLT
16190	3.122	64761.1007	109456	PLT
9440	3.871	107076.9068	297630	PLT
29600	2.654	89802.9529	27988	PLT
6420	4.326	98243.15619	561401	PLT
25750	2.707	70984.07741	39063	PLT
8920	3.933	116665.281	330362	PLT
4870	4.565	73555.36631	778534	PLT
22230	2.863	80200.39125	56299	PLT
12900	3.443	145772.4386	168517	PLT
7290	4.189	86491.77544	462521	PLT
8380	4.035	79964.90717	367254	PLT
22420	2.825	67200.56901	55088	PLT
17320	3.134	67860.64775	94706	PLT
22670	2.777	72180.36913	53490	PLT
11750	3.58	87786.64051	200656	PLT
27420	2.671	79282.70907	33607	PLT
26430	2.752	74567.36846	36974	PLT
28810	2.671	63669.01013	29696	PLT
24200	2.794	75094.69148	46321	PLT
29920	2.63	85523.83063	26894	PLT
18830	3.017	76293.46159	78975	PLT
4220	4.652	80547.82102	880207	PLT
1860	4.679	60538.14799	828310	PLT
740	3.053	34855.75633	541084	PLT
1280	4.151	53184.53735	672124	PLT
3970	4.738	75348.54387	914753	PLT
9580	3.857	87148.69535	290709	PLT
10570	3.733	103860.7515	243148	PLT
19440	2.959	74030.80242	74036	PLT
16710	3.108	60031.76577	101981	PLT
13620	3.348	64584.85845	152895	PLT
12550	3.49	81366.37892	177843	PLT
3820	4.76	72699.80735	934367	PLT
24980	2.809	77171.45096	42816	PLT
20980	2.888	68660.57769	62623	PLT
18910	2.979	82446.67419	78518	PLT
15720	3.245	63071.66683	116058	PLT
4420	4.619	77623.0687	850769	PLT
9910	3.819	94150.53434	274868	PLT
1030	3.75	44720.21186	612193	PLT
4750	4.61	101456.9768	797575	PLT
5860	4.443	76274.9675	633458	PLT
4940	4.555	95905.83517	767880	PLT
24660	2.722	65491.55278	43986	PLT
28380	2.823	78809.17552	30904	PLT
13930	3.351	166940.5374	146208	PLT
25890	2.762	81886.14836	38830	PLT
17680	3.059	136462.9811	90964	PLT
28520	2.662	87146.27141	30346	PLT
29020	2.63	90885.11845	29150	PLT
24360	2.693	75129.44875	45250	PLT
6040	4.396	111497.8756	610804	PLT
21800	2.892	65582.34704	58500	PLT
7020	4.208	119032.1839	492477	PLT
25840	2.715	137852.8501	39449	PLT
10330	3.743	88173.74203	254181	PLT
16570	3.112	69695.78836	103924	PLT
8470	4.016	139973.3678	360492	PLT
26720	2.717	153047.3135	36136	PLT
25730	2.826	81827.33746	39965	PLT
15260	3.262	106176.4589	122818	PLT
18500	3.013	107200.2591	82365	PLT
11240	3.604	124720.1562	216771	PLT
10530	3.748	107261.1376	245054	PLT
8930	3.971	69289.82424	330585	PLT
4400	4.662	78086.39242	852802	PLT
11320	3.619	95015.04124	213902	PLT
8580	4.06	96638.15652	352180	PLT
14270	3.354	90771.45995	139356	PLT
25420	2.791	109938.3603	41413	PLT
2350	4.854	64167.91834	916897	PLT
22950	2.859	101704.0198	52559	PLT
19470	2.91	129593.1201	73388	PLT
23530	2.842	82520.72105	49820	PLT
16870	3.126	71988.2119	100710	PLT
3220	4.832	69185.579	972149	PLT
7060	4.243	104015.1717	485184	PLT
24950	2.766	73173.57834	42558	PLT
18480	2.989	90251.3739	82157	PLT
28990	2.708	71516.71762	29203	PLT
23240	2.772	65377.6704	50991	PLT
23750	2.752	107635.0168	48615	PLT
8710	3.965	101335.1582	344003	PLT
16270	3.056	93446.45696	109012	PLT
21040	2.962	78971.23772	62765	PLT
21300	2.818	73800.86477	60997	PLT
10320	3.743	75931.07903	253403	PLT
10030	3.818	207698.1549	267270	PLT
1410	4.348	58343.94936	710791	PLT
7340	4.239	80334.03676	456606	PLT
2800	4.881	66033.43921	960913	PLT
2190	4.785	59613.20128	891850	PLT
7770	4.136	86119.38356	417139	PLT
11420	3.585	94364.45176	211455	PLT
23300	2.821	85378.97316	50521	PLT
8790	3.991	104405.9476	337946	PLT
29410	2.693	69677.33039	27904	PLT
21750	2.831	65146.19906	58569	PLT
24400	2.852	82368.49643	45396	PLT
21700	2.869	91435.21903	58916	PLT
29340	2.606	114818.0882	28203	PLT
6440	4.323	89497.83496	558559	PLT
15590	3.138	98230.45746	118607	PLT
5330	4.497	81355.06963	709513	PLT
12310	3.513	84066.55336	185726	PLT
5890	4.463	88694.17651	630325	PLT
19220	3.062	88022.86701	75421	PLT
15200	3.188	75764.93929	124910	PLT
28000	2.592	70786.66186	31829	PLT
16790	3.147	81289.18339	101691	PLT
16020	3.19	98095.3548	112399	PLT
15650	3.176	72519.29572	117790	PLT
25620	2.832	89185.37913	40007	PLT
26440	2.721	77970.59193	37431	PLT
26350	2.779	93229.30494	37078	PLT
20000	2.912	72795.99371	69892	PLT
16030	3.145	107375.378	111679	PLT
22060	2.781	85815.76693	57147	PLT
480	2.349	23401.39459	451072	PLT
23130	2.828	70244.31304	51279	PLT
11560	3.626	179932.14	206535	PLT
5320	4.562	93621.16765	710800	PLT
22000	2.823	65517.72337	57671	PLT
8110	4.076	90155.05935	388032	PLT
19950	2.956	92374.9485	69709	PLT
9540	3.808	87294.22166	292997	PLT
15830	3.13	65441.91015	114470	PLT
18950	2.971	69540.51657	78540	PLT
24080	2.778	85843.24042	47014	PLT
21810	2.839	79209.33284	58429	PLT
21460	2.813	216625.4231	59777	PLT
28060	2.726	83142.99175	31355	PLT
19300	2.918	66177.15438	75041	PLT
23790	2.734	137459.2754	48247	PLT
610	2.735	31340.17	494939	PLT
7640	4.121	101188.2675	428657	PLT
3800	4.766	84801.8012	936181	PLT
6250	4.346	94659.81904	583015	PLT
5870	4.404	94803.47392	632929	PLT
13850	3.318	78680.85748	147609	PLT
8960	3.944	86824.74569	327398	PLT
6110	4.392	94944.77993	599992	PLT
14910	3.213	62150.67657	128166	PLT
21080	2.886	76114.48225	62703	PLT
18710	2.953	70217.49204	80479	PLT
19180	2.963	102990.6327	75748	PLT
28860	2.621	82389.43593	29198	PLT
24550	2.746	65421.20607	44643	PLT
28970	2.663	71956.32341	29099	PLT
9670	3.803	97306.32926	285984	PLT
960	3.619	43223.8376	599310	PLT
11860	3.55	63998.82209	197668	PLT
1840	4.686	59905.01637	824164	PLT
27960	2.688	71292.65738	32004	PLT
25280	2.734	93668.6578	41171	PLT
5050	4.519	83353.2094	752567	PLT
15180	3.238	162829.6225	123600	PLT
25720	2.793	86535.92461	39936	PLT
27740	2.755	89611.92703	32581	PLT
6960	4.243	130097.9096	495855	PLT
20920	2.865	75118.91163	62849	PLT
23580	2.734	66370.23114	49377	PLT
8740	3.979	92499.44792	342673	PLT
9620	3.832	79688.08705	288197	PLT
18580	3.024	92232.2363	81347	PLT
26950	2.644	78025.57181	35374	PLT
4380	4.638	84206.13482	855238	PLT
19640	2.964	71757.27922	72176	PLT
26500	2.675	103058.7106	36566	PLT
15000	3.255	67945.085	126582	PLT
26820	2.682	68257.79929	35951	PLT
24600	2.756	75757.30212	44551	PLT
5260	4.547	84537.44153	717671	PLT
29730	2.644	87808.98288	27286	PLT
11170	3.626	88672.60808	220386	PLT
9300	3.893	100772.517	305920	PLT
20350	2.903	274514.6826	66783	PLT
29690	2.633	65355.84289	27259	PLT
2330	4.845	70459.66086	911844	PLT
5420	4.454	78635.33213	695548	PLT
11400	3.551	64375.24045	211914	PLT
8570	4.003	82352.65755	354297	PLT
15850	3.172	87981.03933	114460	PLT
13200	3.335	141046.3534	162342	PLT
12790	3.473	60324.44791	171444	PLT
27790	2.693	65954.42448	32329	PLT
25640	2.69	123408.7877	40132	PLT
26360	2.806	77490.18751	37135	PLT
20500	2.889	91506.08888	65672	PLT
3780	4.79	70158.91326	937396	PLT
7450	4.137	80125.74196	445702	PLT
12050	3.563	130931.1714	191778	PLT
2540	4.884	70603.35827	935865	PLT
24160	2.771	106034.2557	46692	PLT
28490	2.642	74027.84343	30435	PLT
18520	3.043	112535.2584	82165	PLT
27930	2.588	83302.33519	31897	PLT
6310	4.34	97506.38071	575757	PLT
14060	3.356	86981.66211	143241	PLT
14760	3.252	129180.7026	130888	PLT
5770	4.46	81633.98636	647694	PLT
2820	4.905	74604.97533	962856	PLT
7540	4.141	80700.05353	437187	PLT
3480	4.807	78217.31512	962345	PLT
20690	2.872	82214.67446	64398	PLT
550	2.515	27750.16483	476934	PLT
1090	3.897	53170.25215	626491	PLT
10400	3.736	86923.67025	250083	PLT
18940	2.987	92223.11331	78309	PLT
25380	2.768	84780.19713	41162	PLT
27300	2.748	112812.9455	34172	PLT
1180	4.032	56751.90984	648060	PLT
21500	2.866	72136.40811	59883	PLT
4210	4.657	79303.2767	880695	PLT
13640	3.355	125047.9017	152157	PLT
8170	4.036	153520.6341	384088	PLT
11010	3.692	76575.63361	224697	PLT
13960	3.394	85698.64711	144330	PLT
19740	2.909	90009.9777	71256	PLT
19210	2.927	70363.04103	75657	PLT
23440	2.736	60032.12663	49904	PLT
19840	2.913	77152.55651	70640	PLT
18090	3.022	117349.3171	86694	PLT
21280	2.81	91415.08248	61277	PLT
18030	3.011	66884.54492	86734	PLT
19700	2.956	128964.6172	71982	PLT
13380	3.403	124420.4282	157657	PLT
1710	4.585	64068.72476	790014	PLT
11180	3.632	77609.68059	220118	PLT
12440	3.479	90043.61122	180916	PLT
25400	2.723	124615.3611	41073	PLT
18650	3.057	98844.50874	80575	PLT
15540	3.212	116545.608	119490	PLT
15390	3.196	97184.72114	122428	PLT
22380	2.89	80005.8809	55382	PLT
18630	3.016	86731.32542	80539	PLT
27270	2.673	71260.3999	34161	PLT
22650	2.813	79326.04959	54049	PLT
13160	3.437	73117.16148	162564	PLT
9220	3.916	86385.07715	312106	PLT
4570	4.62	75562.48985	827747	PLT
27980	2.674	66758.25303	31800	PLT
4510	4.647	74846.41338	835760	PLT
3680	4.768	71227.2013	947580	PLT
9650	3.852	83287.97597	286710	PLT
13010	3.451	83140.1536	166699	PLT
18330	3.028	98821.28543	83795	PLT
23270	2.737	83962.76359	50890	PLT
19620	2.925	88341.30334	72631	PLT
28550	2.718	88237.02359	30302	PLT
380	2.039	19430.12922	421101	PLT
14490	3.338	87637.24051	135914	PLT
200	1.496	9759.023343	370109	PLT
6410	4.384	113106.6067	561884	PLT
11030	3.684	526606.9826	224588	PLT
5140	4.534	82673.5213	735511	PLT
14150	3.368	86325.67873	142060	PLT
5560	4.448	87787.45668	675732	PLT
3740	4.757	70047.1632	939819	PLT
16600	3.137	74762.0658	104620	PLT
7950	4.093	94912.49372	402045	PLT
27850	2.623	84062.29856	32510	PLT
23380	2.841	79355.35861	50327	PLT
17900	3.059	71293.93759	88569	PLT
21000	2.853	77339.75382	62242	PLT
4780	4.592	78077.14261	792011	PLT
28800	2.633	72670.94028	29426	PLT
2890	4.913	77747.10244	964692	PLT
1990	4.708	60651.90191	856112	PLT
9170	3.916	93820.92984	313360	PLT
180	1.493	9021.582186	344825	PLT
22700	2.802	61458.15844	54122	PLT
12890	3.455	108501.519	169256	PLT
6270	4.392	123863.5839	581334	PLT
26990	2.689	166467.2581	34712	PLT
12110	3.55	79592.33288	190245	PLT
21250	2.823	67072.51478	61089	PLT
15160	3.28	99378.55426	124126	PLT
28820	2.645	96098.77421	29649	PLT
16080	3.129	91269.99252	110449	PLT
22460	2.856	185770.6401	55119	PLT
9500	3.857	78052.16551	295267	PLT
6220	4.372	86539.87824	588543	PLT
6740	4.29	97577.47258	522419	PLT
16630	3.125	63057.67391	103875	PLT
28340	2.734	79649.75224	30769	PLT
12260	3.552	93442.20441	185572	PLT
12020	3.52	110104.5813	192905	PLT
1480	4.437	56565.31982	731150	PLT
13990	3.313	97123.34967	144671	PLT
11940	3.522	81386.23409	195186	PLT
20530	3.07	60308.03381	65746	PLT
26340	2.744	85472.03764	37417	PLT
20410	2.872	105870.2016	66137	PLT
14880	3.321	59108.28923	128744	PLT
29090	2.63	109044.3599	28812	PLT
9270	3.879	99224.76619	309834	PLT
8860	3.964	80338.74102	332586	PLT
23000	2.783	104372.5306	51982	PLT
25390	2.772	137071.3248	41018	PLT
19720	2.911	80746.24715	72198	PLT
29650	2.65	77350.75912	27528	PLT
22240	2.778	67615.46263	56109	PLT
25460	2.733	83716.66952	40690	PLT
29320	2.671	65637.75251	28200	PLT
7120	4.211	85991.91677	479343	PLT
520	2.447	24286.24101	466056	PLT
1600	4.526	57353.76889	764692	PLT
3960	4.725	71074.10023	915409	PLT
21190	2.831	61886.68357	61862	PLT
15480	3.233	64131.49951	119775	PLT
21870	2.843	75561.73279	57745	PLT
27510	2.672	83218.02392	33345	PLT
16310	3.211	94997.80186	108114	PLT
20170	3.073	82968.36809	68537	PLT
680	2.924	30460.28935	517238	PLT
11960	3.52	74069.33188	194153	PLT
3120	4.855	76458.95135	971491	PLT
5540	4.453	93762.67624	676977	PLT
2810	4.894	64172.03023	959146	PLT
4060	4.697	77439.14894	902949	PLT
12830	3.459	85871.73354	170245	PLT
25500	2.684	63653.16601	40907	PLT
20990	2.902	210373.7861	62486	PLT
16480	3.109	79304.96839	105726	PLT
9990	3.823	85513.05752	268075	PLT
20600	2.866	95065.37946	64701	PLT
23280	2.782	114222.8513	50583	PLT
21480	2.855	76005.03589	59937	PLT
20050	2.947	72538.72007	68930	PLT
17480	3.034	78848.33291	92837	PLT
28920	2.624	83253.78544	29210	PLT
6680	4.256	120794.4666	530187	PLT
22080	2.824	232798.1066	57618	PLT
18310	3.037	72273.0036	84130	PLT
14860	3.241	66164.80221	128419	PLT
19260	2.994	113512.0424	75048	PLT
27430	2.701	84472.49329	33865	PLT
12680	3.462	73941.64223	175257	PLT
16550	3.151	72108.95315	104301	PLT
18750	2.958	77072.48147	79935	PLT
16100	3.135	84171.01545	110543	PLT
14630	3.259	83826.52893	132354	PLT
17080	3.066	59315.22714	98400	PLT
8330	4.016	88926.18074	373463	PLT
22390	2.807	83713.36436	55693	PLT
23970	2.719	74427.3311	47167	PLT
27820	2.723	89075.80964	32252	PLT
8660	3.957	92757.6734	347177	PLT
9360	3.868	74376.31882	303223	PLT
10870	3.698	107645.213	230109	PLT
26160	2.804	81824.31677	38012	PLT
16090	3.13	73145.62312	110505	PLT
18210	3.075	88337.19767	85140	PLT
22350	2.805	84592.74185	55349	PLT
23950	2.833	85416.25713	47706	PLT
12360	3.521	140387.748	182818	PLT
2450	4.873	78696.02033	928557	PLT
14070	3.357	80649.13805	143228	PLT
20260	2.868	75499.6798	67211	PLT
29560	2.647	103789.8008	27612	PLT
26030	2.745	76536.19266	38602	PLT
560	2.547	26613.17449	478601	PLT
650	2.824	29278.10799	508303	PLT
23410	2.838	69748.43916	50241	PLT
22520	2.791	70809.04326	54823	PLT
7380	4.162	79610.98064	454834	PLT
12270	3.531	69001.01131	185607	PLT
24180	2.828	98069.79585	46358	PLT
22450	2.811	62760.37172	54918	PLT
21270	2.864	77470.38652	60880	PLT
10090	3.788	94595.78277	263842	PLT
13240	3.462	65526.37157	161307	PLT
12340	3.446	161908.3596	183055	PLT
14730	3.267	71050.05351	130895	PLT
26390	2.737	136871.7454	37121	PLT
5400	4.627	78995.19771	699183	PLT
17430	3.036	92508.77427	93907	PLT
5070	4.547	82652.76941	749284	PLT
20750	2.886	76006.25661	63965	PLT
20430	2.984	113751.2044	66150	PLT
20020	2.971	67723.49089	69795	PLT
2500	4.876	72507.58748	934008	PLT
9130	3.916	118555.7453	317536	PLT
3670	4.763	67654.61998	948360	PLT
790	3.189	35216.93003	559020	PLT
4260	4.691	98064.54817	872384	PLT
8150	4.049	86685.27975	385613	PLT
22610	2.77	78788.28523	54013	PLT
10430	3.721	75498.94638	249143	PLT
9490	3.848	81905.94777	296158	PLT
21670	2.847	98868.11301	58725	PLT
29580	2.611	93373.40777	27577	PLT
16810	3.093	62933.8473	101394	PLT
26110	2.694	72415.52747	38149	PLT
21830	2.891	69566.98514	58633	PLT
26280	2.665	78587.54733	37643	PLT
28730	2.689	86958.98715	30064	PLT
1560	4.457	54971.07166	752098	PLT
8620	3.988	99177.03395	350172	PLT
11480	3.607	149054.1123	210009	PLT
18470	3.01	79824.47523	82490	PLT
10830	3.669	132437.9078	233102	PLT
25430	2.742	86750.75199	40806	PLT
14280	3.362	81202.61973	139747	PLT
18300	2.995	76670.14884	84099	PLT
26470	2.791	65591.64816	36725	PLT
3850	4.74	81546.82098	930537	PLT
4390	4.639	89931.73363	853432	PLT
5080	4.549	82729.19801	746122	PLT
5650	4.469	78053.14687	664889	PLT
5740	4.463	90290.70455	651164	PLT
8810	3.957	85565.9499	335696	PLT
5880	4.421	80148.62526	631306	PLT
8990	3.894	82409.07069	324991	PLT
26640	2.637	161827.3782	36308	PLT
20390	2.929	72408.87386	66327	PLT
24850	2.751	99370.61042	43291	PLT
25780	2.871	73429.27039	39600	PLT
21780	2.879	71363.84489	58685	PLT
21350	2.791	75931.81417	60865	PLT
7500	4.155	88420.48781	442229	PLT
6860	4.295	94832.76634	508394	PLT
16160	3.15	113796.0565	109589	PLT
2960	4.905	70828.08554	965258	PLT
13410	3.382	147233.7579	156958	PLT
15120	3.26	84197.32122	124583	PLT
26420	2.648	87741.79046	37113	PLT
18360	3.006	91521.18803	83344	PLT
24060	2.772	70313.28331	46791	PLT
3620	4.77	74202.43385	953114	PLT
13420	3.391	85771.27973	156983	PLT
13570	3.395	92347.12974	153701	PLT
25990	2.83	84898.98222	38735	PLT
23780	2.74	93625.89244	48112	PLT
17750	3.073	67880.2241	90006	PLT
840	3.335	40317.95511	574252	PLT
25320	2.791	78923.82587	41434	PLT
16350	3.111	108127.1165	107011	PLT
23910	2.828	90330.53036	48007	PLT
14770	3.266	131344.9602	130573	PLT
26980	2.69	67480.86052	35510	PLT
1470	4.407	53492.89199	727511	PLT
12600	3.462	96678.58345	176725	PLT
22730	2.846	66530.91399	53978	PLT
26850	2.694	93976.34509	35536	PLT
8850	3.962	93115.3356	334334	PLT
4700	4.588	98558.60885	806689	PLT
4250	4.668	72235.86123	875223	PLT
9770	3.849	110553.5757	280473	PLT
22530	2.814	63816.60791	54884	PLT
16820	3.136	72803.28864	101900	PLT
23040	2.829	71845.44456	52273	PLT
27010	2.653	74113.85619	34685	PLT
29860	2.641	402866.8646	26875	PLT
13400	3.467	83064.25075	157536	PLT
27900	2.732	68365.08024	32400	PLT
4100	4.706	79198.45629	897540	PLT
4710	4.601	78714.20662	802565	PLT
17970	3.059	78192.61481	87875	PLT
3880	4.755	75262.71728	926514	PLT
920	3.504	40249.75204	593565	PLT
29450	2.584	105248.6606	28224	PLT
16130	3.145	69827.51173	110273	PLT
26290	2.731	70937.14254	37509	PLT
22090	2.887	88239.46236	57176	PLT
25850	2.711	68436.3363	39378	PLT
23870	2.809	87670.46855	47615	PLT
19610	2.949	94755.6354	72241	PLT
27190	2.647	80560.68103	34291	PLT
1770	4.647	63105.77571	809575	PLT
5380	4.404	82998.93876	710141	PLT
15750	3.246	138859.0108	115911	PLT
23170	2.794	76769.78578	51571	PLT
29960	2.492	72263.28087	26953	PLT
13370	3.377	122574.1865	158239	PLT
8700	3.996	88968.53371	344975	PLT
26450	2.702	97451.12462	36766	PLT
26660	2.666	68801.94883	36328	PLT
9850	3.816	70331.22049	275482	PLT
2700	4.897	74980.96058	955829	PLT
10590	3.728	79260.10329	243601	PLT
9570	3.856	82881.46923	290657	PLT
22980	2.793	82582.16574	51954	PLT
11490	3.624	162513.7286	209239	PLT
13080	3.431	122868.8223	163783	PLT
24390	2.757	77304.93368	46012	PLT
15760	3.232	134218.7875	115733	PLT
15860	3.156	73116.93855	114298	PLT
27730	2.647	80774.90951	32974	PLT
18840	2.958	82625.90355	78836	PLT
24220	2.783	88187.62683	46207	PLT
29330	2.629	93754.50589	27907	PLT
1340	4.259	50874.73815	691556	PLT
3760	4.756	75956.03629	937606	PLT
19110	2.948	130911.3779	76738	PLT
13320	3.426	76323.03955	159016	PLT
18390	3.051	81552.26458	83489	PLT
7300	4.195	90220.25931	462854	PLT
20650	2.869	101795.4752	64822	PLT
8900	3.952	92955.58242	331015	PLT
19420	2.981	88726.18476	74106	PLT
29420	2.594	65111.31777	28365	PLT
2400	4.836	79574.29076	921970	PLT
9150	3.918	80803.49294	315772	PLT
15070	3.193	94289.09115	125757	PLT
18570	2.999	83124.73802	81515	PLT
18150	3.032	73321.30673	85835	PLT
27390	2.667	121182.8468	33612	PLT
27760	2.602	73919.70878	32599	PLT
23930	2.749	80426.70195	47500	PLT
23760	2.856	90636.0092	48316	PLT
3570	4.81	62378.03185	956090	PLT
2300	4.826	65996.68024	909363	PLT
11530	3.55	98248.82126	207551	PLT
25160	2.755	78458.7328	41819	PLT
16150	3.153	77172.27723	110115	PLT
16590	3.159	66700.67714	103805	PLT
11800	3.558	107458.4762	200036	PLT
14410	3.309	78092.6063	136595	PLT
18380	3.001	87410.0285	83695	PLT
21560	2.823	91114.93972	58902	PLT
20550	2.907	66652.87422	65614	PLT
15640	3.214	86657.56644	118116	PLT
460	2.307	23688.55221	442977	PLT
13440	3.367	78505.93014	156736	PLT
440	2.235	20376.04938	435875	PLT
20760	2.851	76459.34081	63916	PLT
20030	2.944	125992.719	69009	PLT
19400	2.946	102986.2752	74201	PLT
29380	2.593	80568.32775	27877	PLT
24170	2.809	122505.8676	46414	PLT
8630	3.982	99725.99703	348776	PLT
7220	4.169	112326.9228	471614	PLT
24030	2.882	90645.37741	47016	PLT
4430	4.648	71238.8704	847207	PLT
13230	3.452	69782.97594	160838	PLT
26730	2.722	76339.29625	35881	PLT
9610	3.839	84191.78395	289206	PLT
6900	4.227	90771.63977	505570	PLT
21220	2.896	88288.70266	61032	PLT
25900	2.706	65076.74053	39146	PLT
7430	4.156	80313.48823	447072	PLT
980	3.622	45722.36112	603822	PLT
5430	4.483	91839.74888	694272	PLT
2760	4.912	66749.47348	958586	PLT
12970	3.445	75709.91878	166812	PLT
28360	2.639	92744.73022	31106	PLT
14210	3.309	68799.5334	140363	PLT
21410	2.877	72041.89077	60620	PLT
18610	3.001	79397.41283	81307	PLT
26570	2.719	62779.01667	36496	PLT
17460	3.1	84601.15447	93449	PLT
24680	2.686	68073.16895	44072	PLT
10620	3.713	78917.9105	241149	PLT
280	1.686	18185.46509	401868	PLT
640	2.778	30947.15848	504802	PLT
2680	4.909	74118.54326	951828	PLT
1680	4.582	57023.32288	783240	PLT
10540	3.715	121799.4337	243992	PLT
8590	3.988	100535.1082	351964	PLT
11570	3.597	87367.3742	206741	PLT
12330	3.547	83525.06178	183932	PLT
13030	3.425	107691.7213	165362	PLT
9930	3.784	74629.82269	270903	PLT
22370	2.824	84847.15715	55389	PLT
16620	3.125	77316.70481	103964	PLT
17470	3.059	70888.38019	93213	PLT
22250	2.8	74641.33085	56044	PLT
26880	2.768	85173.50656	35742	PLT
15240	3.205	72555.81016	122948	PLT
5830	4.412	94492.75372	638363	PLT
6350	4.337	70148.86336	570354	PLT
13270	3.431	87501.44193	160124	PLT
25680	2.74	79601.15153	39814	PLT
21140	2.888	85202.34721	61921	PLT
27470	2.721	78037.91533	33741	PLT
23370	2.972	67140.97089	50075	PLT
29220	2.577	71935.60529	28692	PLT
15490	3.177	57859.91584	120318	PLT
8020	4.053	90047.39424	396774	PLT
