VALUE	SESSIONLENGTH	TIMEONPAGE	FREQUENCY	TIMER
5710	3.361	99327.52551	55079	TTFB
26310	2.96	734670.2655	856	TTFB
14140	3.226	153500.8663	4502	TTFB
19190	3.004	133444.9193	1988	TTFB
23520	3.092	101137.6277	1183	TTFB
23640	3.864	94770.01797	1186	TTFB
21110	2.871	98758.26489	1770	TTFB
1920	3.98	97921.38391	974201	TTFB
2020	3.915	97868.94974	864818	TTFB
14260	3.522	85493.47725	4361	TTFB
4730	3.602	102676.2856	83308	TTFB
7940	3.345	118610.1564	21056	TTFB
19160	3.05	94863.9453	2074	TTFB
17800	2.738	91022.62127	2417	TTFB
25300	2.596	102696.7136	915	TTFB
18890	2.845	95095.10035	2116	TTFB
21550	2.912	93020.25284	1677	TTFB
24240	2.551	100375.943	1126	TTFB
29980	2.682	103765.3346	618	TTFB
29100	2.414	93890.15678	682	TTFB
28580	2.497	96058.06594	697	TTFB
9210	3.158	67609.29896	15249	TTFB
19130	3.162	146753.6625	2032	TTFB
1000	3.931	79634.52403	3242005	TTFB
6120	3.371	105075.6865	45007	TTFB
7350	3.496	84047.19623	26838	TTFB
16890	3.572	87391.18543	2959	TTFB
8180	3.304	103078.1347	19976	TTFB
18550	2.77	93212.75248	2228	TTFB
21420	3.648	91865.06919	1746	TTFB
18740	2.764	132759.1507	2113	TTFB
23690	2.569	101769.6429	1137	TTFB
2470	3.848	121284.3903	525210	TTFB
6850	3.477	83516.86423	33523	TTFB
15300	3.427	85105.11447	3832	TTFB
11140	3.085	78990.91989	9184	TTFB
19910	3.056	241197.2084	1813	TTFB
22750	3.09	93907.93425	1357	TTFB
12510	3.293	79731.59651	6601	TTFB
29310	18.023	97587.46057	757	TTFB
19340	2.945	92880.0562	1995	TTFB
15530	3.159	193360.1076	3907	TTFB
23960	2.788	107558.0689	1049	TTFB
1610	3.989	97824.17544	1423885	TTFB
6260	3.415	113904.3626	43516	TTFB
13340	2.981	129846.1709	5306	TTFB
8120	3.365	108504.6134	19587	TTFB
12650	3.106	121343.3467	6173	TTFB
12180	3.305	74814.86064	7221	TTFB
20710	3.046	99448.79136	1948	TTFB
18440	3.181	121411.5533	2270	TTFB
15230	3.986	209150.1755	3745	TTFB
23540	3.118	107850.0861	1202	TTFB
23660	2.829	106220.1553	1123	TTFB
22880	3.161	106663.6291	1266	TTFB
24110	2.953	104188.5377	1103	TTFB
27230	2.66	107760.889	834	TTFB
27210	2.392	107330.4504	760	TTFB
28950	2.624	111977.181	689	TTFB
11000	3.14	79139.44931	9876	TTFB
8770	3.346	71885.26186	16287	TTFB
27680	3.018	105461.4966	711	TTFB
28750	2.869	94317.4472	711	TTFB
24940	2.971	109062.4	1007	TTFB
28570	2.745	99674.88986	754	TTFB
27650	2.998	111016.8411	725	TTFB
4680	3.62	111230.1577	85800	TTFB
15060	2.963	152355.8563	3697	TTFB
15970	2.936	82720.30041	3585	TTFB
9290	3.111	78963.54542	14599	TTFB
9330	3.175	146108.8446	14209	TTFB
24780	2.624	104632.814	951	TTFB
8680	3.396	73856.35177	16604	TTFB
19830	3.003	103620.6161	1859	TTFB
26480	2.582	106931.2716	841	TTFB
11190	3.208	79847.95326	9083	TTFB
16280	2.844	88094.72475	3294	TTFB
29080	3.544	114788.0506	665	TTFB
28200	2.882	114096.5722	732	TTFB
13470	2.999	81078.913	5114	TTFB
21010	3.197	96513.2691	1768	TTFB
2000	3.973	114848.892	885632	TTFB
5610	3.464	85930.03932	57181	TTFB
1690	3.944	91230.22458	1286297	TTFB
2050	3.892	96062.95662	834434	TTFB
5900	3.56	115657.3319	49045	TTFB
6590	3.351	146016.4525	38219	TTFB
5180	3.543	84116.77489	64846	TTFB
7190	3.459	86514.97708	28939	TTFB
8080	3.467	93073.99504	19846	TTFB
10280	3.03	89999.53698	12097	TTFB
19800	2.982	93246.70771	1892	TTFB
17150	3.493	91423.82917	2907	TTFB
22580	3.413	97172.75093	1341	TTFB
21210	2.616	301294.2893	1917	TTFB
1490	3.948	90444.68507	1661571	TTFB
290	4.482	63920.11585	6673117	TTFB
16760	3.531	90198.80217	3035	TTFB
22440	3.148	183701.4168	1455	TTFB
20240	2.617	103853.7377	1940	TTFB
28560	2.515	100352.3078	723	TTFB
28320	2.55	108951.2257	772	TTFB
24920	2.863	106343.5922	1013	TTFB
26090	2.696	108600.8863	863	TTFB
6380	3.577	90113.0703	41786	TTFB
10860	3.197	108616.4654	10066	TTFB
11500	3.355	78924.91759	8335	TTFB
20790	3.004	97410.77984	1910	TTFB
14960	3.34	91274.10965	3794	TTFB
12450	3.006	99356.79414	6809	TTFB
27360	3.067	105853.3858	796	TTFB
25910	3.14	101588.5094	923	TTFB
16360	3.017	92719.52835	3395	TTFB
1810	3.96	102661.6667	1110072	TTFB
10	4.726	111367.2636	6848247	TTFB
690	4.132	85255.99401	4884407	TTFB
1980	3.948	79410.65041	906226	TTFB
11130	3.192	79248.76071	9417	TTFB
7200	3.465	100914.9475	28597	TTFB
25740	2.659	477527.8981	922	TTFB
25710	2.85	97200.33231	889	TTFB
20720	2.94	95475.29814	1977	TTFB
28450	3.102	102767.949	647	TTFB
22010	2.995	93284.8405	1662	TTFB
25130	13.143	101876.6729	918	TTFB
5150	3.577	119040.0199	65802	TTFB
10210	3.209	149366.3073	12456	TTFB
26120	2.763	127817.9667	845	TTFB
15610	3.009	96893.10812	3832	TTFB
28400	2.58	101165.2984	737	TTFB
14390	3.135	237333.9627	4230	TTFB
10230	3.505	71842.5488	11828	TTFB
19270	2.983	132357.4788	1943	TTFB
18920	2.694	134770.7553	2090	TTFB
24140	2.801	121176.5316	1020	TTFB
24840	3.58	106085.9611	1001	TTFB
8160	4.089	89813.1905	19469	TTFB
20340	3.027	89437.21275	1870	TTFB
14560	4.992	87746.68548	4230	TTFB
13840	3.318	89747.56634	4769	TTFB
18260	3.038	93441.42632	2354	TTFB
29200	3.142	101819.7626	661	TTFB
24210	2.584	101565.5317	1061	TTFB
22030	2.849	95696.30069	1566	TTFB
28510	2.836	102976.386	744	TTFB
28710	2.943	99013.66508	763	TTFB
40	3.23	96098.5545	4948606	TTFB
3420	3.767	156056.2267	219107	TTFB
2250	3.887	100904.338	668851	TTFB
10180	3.186	157841.4856	11772	TTFB
5950	3.992	134005.4774	48230	TTFB
4320	3.731	87454.51415	108175	TTFB
4850	3.6	110985.1779	77015	TTFB
7820	3.345	113308.5519	22059	TTFB
20740	3.321	105274.2113	1889	TTFB
28390	2.728	116032.0401	692	TTFB
23770	2.445	100005.7864	1152	TTFB
18460	2.966	92815.75243	2337	TTFB
26170	3.056	104854.1945	867	TTFB
28720	2.588	101050.5962	751	TTFB
10890	3.154	166164.9264	9984	TTFB
22050	2.793	100313.4657	1557	TTFB
29390	2.829	111677.9415	647	TTFB
1520	3.92	80225.87619	1602109	TTFB
4550	3.768	115914.2114	93240	TTFB
3920	3.708	137501.9691	144652	TTFB
10310	3.231	77991.4237	11967	TTFB
17730	2.792	163243.891	2494	TTFB
16700	3.167	89820.47228	3042	TTFB
17400	3.086	98694.56899	2690	TTFB
13490	3.111	150995.8032	5111	TTFB
8030	3.388	149168.3251	20326	TTFB
27310	2.352	106972.8	747	TTFB
18410	3.075	95828.47588	2227	TTFB
23490	3.442	105643.168	1199	TTFB
1900	3.918	107627.4324	997810	TTFB
5120	3.586	92762.65358	66067	TTFB
8210	3.212	101596.0929	20062	TTFB
16320	2.957	116896.6527	3235	TTFB
13060	3.38	95053.0673	5554	TTFB
17010	2.954	96663.76371	2815	TTFB
22960	2.789	102213.6295	1316	TTFB
27030	3.28	109615.8657	809	TTFB
20440	2.887	92834.89476	1932	TTFB
25510	2.582	98719.2272	943	TTFB
18560	2.709	378871.8483	2192	TTFB
220	4.319	60109.63185	6598062	TTFB
10900	3.016	73226.51302	10169	TTFB
10980	3.687	86943.01087	9724	TTFB
11700	3.113	74519.59342	8452	TTFB
18130	3.058	85343.64048	2417	TTFB
16670	3.002	182545.5833	3033	TTFB
28010	2.747	116651.4833	761	TTFB
80	3.425	67600.65865	4711986	TTFB
5620	3.369	100579.1109	57277	TTFB
8190	3.554	117792.2923	20308	TTFB
4520	3.593	93689.47446	94547	TTFB
11260	3.218	86278.96666	9029	TTFB
23350	2.663	106841.2655	1158	TTFB
23430	2.598	100333.611	1219	TTFB
28130	3.247	115417.8391	696	TTFB
29900	2.551	110819.0497	640	TTFB
27920	2.91	105204.427	692	TTFB
25010	2.731	135107.4207	978	TTFB
11510	2.995	105926.2998	8348	TTFB
6400	3.374	93107.86289	41308	TTFB
7070	3.411	84275.64082	30095	TTFB
16260	3.121	86521.19533	3263	TTFB
12190	3.099	80251.39241	7357	TTFB
26890	2.737	109471.766	818	TTFB
20130	2.813	96865.46606	2214	TTFB
28120	2.332	96959.31075	668	TTFB
8400	3.252	68780.66863	18830	TTFB
12500	3.444	78860.44127	6588	TTFB
20070	2.04	68960.73089	3157	TTFB
25790	3.089	106871.9375	908	TTFB
6510	3.518	113708.202	39382	TTFB
2840	3.76	101946.9014	366718	TTFB
10080	3.038	135184.2895	11209	TTFB
5520	3.451	104652.3155	58735	TTFB
13740	3.011	155690.3877	4799	TTFB
8240	3.525	97827.16105	19524	TTFB
10300	3.129	103207.0244	12185	TTFB
14850	2.916	107187.2708	3943	TTFB
24270	2.975	107403.7279	1080	TTFB
13350	3.229	82356.19065	5246	TTFB
17570	2.926	93041.33141	2567	TTFB
3770	3.706	103620.268	163489	TTFB
16540	2.963	100533.8256	3087	TTFB
24990	2.848	734423.9095	945	TTFB
16830	2.824	98383.42833	3005	TTFB
25230	2.671	100193.365	926	TTFB
24650	2.742	98739.81702	1047	TTFB
20730	3.449	144321.0419	1917	TTFB
12710	3.19	111572.7966	6229	TTFB
15520	3.107	81806.85237	3768	TTFB
21930	3.112	95345.80538	1677	TTFB
29300	2.806	101223.2674	678	TTFB
17550	3.335	88156.26186	2658	TTFB
17200	2.996	90559.19826	2884	TTFB
620	4.201	84615.72595	5292507	TTFB
860	3.989	78206.08064	3924820	TTFB
6200	3.834	123713.7149	44364	TTFB
8450	3.252	76663.12404	18214	TTFB
22330	2.899	95890.81864	1424	TTFB
4740	3.593	237648.8155	82613	TTFB
6970	3.399	91789.6604	31401	TTFB
7730	3.766	80069.93155	22923	TTFB
16060	3.412	83769.43332	3508	TTFB
23650	2.81	110888.75	1113	TTFB
21160	2.786	90072.49691	1894	TTFB
14010	3.238	116422.6127	4452	TTFB
930	3.965	89272.8394	3571096	TTFB
8070	3.315	146041.2313	19893	TTFB
10250	3.264	74709.59821	12010	TTFB
5340	3.523	115737.482	63363	TTFB
13050	3.008	78776.07213	5607	TTFB
12400	3.297	76963.80567	6798	TTFB
21170	2.891	100676.7831	1885	TTFB
22110	3.22	94993.832	1463	TTFB
18800	3.083	98700.53064	2150	TTFB
26920	2.967	107955.3879	770	TTFB
28190	2.813	101249.7665	707	TTFB
4160	3.701	140805.7054	120068	TTFB
2720	3.791	106359.2555	409777	TTFB
3380	3.761	116204.0171	227175	TTFB
10350	3.219	110745.4394	12100	TTFB
8800	3.235	120871.1299	16016	TTFB
10120	3.261	91344.58027	11173	TTFB
17610	3.62	89921.06936	2583	TTFB
16850	2.937	87791.2409	2909	TTFB
22140	3.57	97971.5894	1490	TTFB
14290	3.152	87508.00952	4273	TTFB
19960	2.951	95167.06062	1766	TTFB
15470	3.226	103335.5011	3814	TTFB
5730	3.415	122266.3583	54199	TTFB
6070	3.466	167056.5047	45759	TTFB
7160	3.337	91728.28405	28851	TTFB
11090	3.229	121529.9986	9336	TTFB
10760	3.152	325770.3914	10351	TTFB
10960	3.103	193425.7513	9959	TTFB
14310	3.215	84585.03447	4259	TTFB
24880	2.589	104466.5808	946	TTFB
11790	3.128	141445.6745	8299	TTFB
29970	2.744	125276.5662	623	TTFB
3440	3.715	148473.5861	216000	TTFB
3870	3.851	108084.1687	150031	TTFB
4200	3.693	153270.9703	117158	TTFB
2910	3.771	110949.675	341597	TTFB
6080	3.388	111399.2663	45834	TTFB
22300	3.113	233345.6487	1485	TTFB
7090	3.326	80404.26715	29549	TTFB
12720	3.269	83030.67192	6227	TTFB
20250	3.034	99906.59957	1919	TTFB
20900	2.921	861820.2369	1792	TTFB
26810	2.357	100537.2626	823	TTFB
22150	2.743	97479.51867	1511	TTFB
2780	3.773	145331.2587	388391	TTFB
2750	3.774	98196.81773	399537	TTFB
10970	3.232	75515.38187	9618	TTFB
11550	3.233	77798.07673	8308	TTFB
11890	2.932	97416.339	8105	TTFB
29570	2.397	107848.7467	659	TTFB
24490	3.002	107812.0174	1068	TTFB
26750	2.779	122032.1735	783	TTFB
24720	2.938	98845.60205	966	TTFB
10240	3.203	170548.1523	11662	TTFB
5020	3.576	96962.45587	70130	TTFB
3890	3.682	107213.7577	148140	TTFB
2520	3.861	118580.909	499502	TTFB
3900	3.696	154089.4616	146161	TTFB
5010	3.642	149583.1071	70656	TTFB
4610	3.708	106339.9768	89204	TTFB
24690	2.541	184706.4422	1006	TTFB
6450	3.534	103852.0211	40338	TTFB
5690	3.387	172273.7344	55328	TTFB
24190	2.815	100204.1354	1087	TTFB
17500	3.328	115728.1277	2557	TTFB
9350	3.094	112998.3504	14758	TTFB
14300	3.057	83430.96629	4315	TTFB
22170	3.547	126255.8435	1467	TTFB
26080	2.424	101882.7146	830	TTFB
9820	3.226	104058.7539	11893	TTFB
28430	2.497	110695.1542	725	TTFB
2010	3.909	87121.28805	874286	TTFB
13130	3.098	91625.53558	5516	TTFB
21020	3.196	92019.35602	1730	TTFB
6800	3.461	121057.9207	34585	TTFB
11900	3.073	77731.40184	8200	TTFB
25920	3.047	134129.121	870	TTFB
23820	2.996	464897.7103	1148	TTFB
22620	3.527	99115.15206	1381	TTFB
24860	4.344	161972.8484	1009	TTFB
19770	3.167	89444.19771	1904	TTFB
27830	2.727	109062.3795	719	TTFB
