VALUE	BOUNCE_RATE	FREQUENCY	TIMER
19200	0.637185	75639	PLT
14840	0.60712	129205	PLT
21630	0.646266	59132	PLT
23850	0.653756	48151	PLT
3690	0.498478	943843	PLT
25960	0.659724	38363	PLT
28040	0.66317	31746	PLT
3110	0.496015	970366	PLT
2830	0.495053	960642	PLT
6600	0.528138	539779	PLT
9680	0.562794	284534	PLT
26270	0.664151	37624	PLT
17300	0.627235	95583	PLT
8600	0.552031	352118	PLT
22270	0.649686	55633	PLT
11640	0.582337	203966	PLT
17530	0.627798	92662	PLT
19150	0.639419	75969	PLT
1250	0.580736	665754	PLT
15700	0.613808	117131	PLT
9180	0.557921	313851	PLT
7740	0.542774	418784	PLT
11310	0.579914	214587	PLT
8650	0.552425	348205	PLT
10440	0.571877	248036	PLT
14220	0.602524	140235	PLT
12670	0.591907	174774	PLT
28110	0.668078	31411	PLT
7660	0.541116	426526	PLT
18010	0.630079	87562	PLT
2950	0.495399	970406	PLT
3340	0.496298	967928	PLT
6910	0.533376	503483	PLT
4120	0.50253	894928	PLT
23250	0.650324	51359	PLT
6130	0.522939	599494	PLT
2870	0.49551	964335	PLT
24730	0.65684	43927	PLT
4900	0.511119	774747	PLT
6170	0.524626	593979	PLT
10750	0.575856	235946	PLT
3210	0.496102	971564	PLT
15740	0.617751	116793	PLT
10680	0.574791	237596	PLT
27940	0.66	32000	PLT
1020	0.629067	613249	PLT
9280	0.557567	307728	PLT
10480	0.571	246907	PLT
150	0.925972	277193	PLT
15910	0.617931	113817	PLT
20860	0.644156	63303	PLT
9110	0.558467	319315	PLT
27080	0.66423	34750	PLT
27250	0.665436	34400	PLT
24640	0.655941	44257	PLT
23070	0.653096	51631	PLT
22220	0.647963	56298	PLT
4350	0.504746	860510	PLT
9400	0.560585	300891	PLT
6640	0.528976	532570	PLT
9730	0.561968	282454	PLT
5280	0.515777	715996	PLT
8980	0.555723	325927	PLT
19080	0.631266	77278	PLT
15670	0.615508	117706	PLT
18320	0.629488	83946	PLT
22190	0.647207	56132	PLT
16070	0.618202	111077	PLT
25590	0.65609	40025	PLT
3700	0.499756	947517	PLT
9630	0.56156	287428	PLT
19540	0.636044	72701	PLT
20420	0.640728	66078	PLT
25630	0.658799	40082	PLT
14440	0.605331	135805	PLT
18700	0.63448	79837	PLT
21590	0.64911	58611	PLT
1240	0.58164	661356	PLT
2360	0.50056	914444	PLT
25760	0.660947	39569	PLT
7230	0.53661	469591	PLT
22930	0.651146	52661	PLT
8410	0.548406	365490	PLT
20560	0.644885	65514	PLT
28300	0.670865	31121	PLT
6520	0.528072	548836	PLT
4760	0.509453	795151	PLT
8460	0.549016	361323	PLT
12430	0.586856	181583	PLT
7280	0.537479	463659	PLT
10110	0.569342	262705	PLT
6340	0.527851	572264	PLT
15380	0.611085	122330	PLT
16370	0.621395	106940	PLT
26700	0.661045	36108	PLT
18860	0.634103	78626	PLT
21880	0.645977	57968	PLT
26060	0.660887	38238	PLT
190	0.930787	360657	PLT
540	0.785883	472691	PLT
17640	0.624762	91979	PLT
17100	0.624434	97759	PLT
4790	0.510318	790999	PLT
28290	0.667275	31221	PLT
12410	0.587098	182152	PLT
7930	0.545187	404054	PLT
23830	0.654297	47804	PLT
26210	0.657372	37729	PLT
27520	0.664322	33273	PLT
17590	0.625817	91963	PLT
14600	0.607817	133226	PLT
19010	0.638227	77604	PLT
25020	0.660116	42744	PLT
1570	0.541802	756443	PLT
6620	0.528534	535984	PLT
17780	0.628286	90244	PLT
1450	0.554344	723543	PLT
13630	0.600307	152357	PLT
6550	0.528957	546837	PLT
4530	0.506829	834017	PLT
16910	0.624876	100015	PLT
14980	0.610539	126675	PLT
12230	0.587892	186189	PLT
29740	0.673401	27027	PLT
21540	0.64783	59440	PLT
7400	0.538253	451918	PLT
15010	0.610671	126076	PLT
8640	0.551512	347570	PLT
12780	0.591042	170993	PLT
17180	0.624728	96807	PLT
23800	0.652924	48269	PLT
15890	0.615325	114203	PLT
25310	0.658208	41692	PLT
7490	0.540749	441604	PLT
26460	0.664305	36983	PLT
11950	0.58572	195025	PLT
20680	0.642698	64279	PLT
28310	0.664811	30711	PLT
18240	0.630165	85330	PLT
15150	0.609862	124574	PLT
22320	0.649503	56089	PLT
18670	0.633712	81223	PLT
19310	0.64129	75122	PLT
29800	0.673366	26966	PLT
20570	0.644499	65139	PLT
22900	0.650366	52512	PLT
9510	0.560822	293587	PLT
10920	0.575335	229548	PLT
3190	0.495386	971060	PLT
21530	0.64865	59798	PLT
14720	0.606353	131204	PLT
21610	0.648402	59130	PLT
24130	0.656966	46663	PLT
29520	0.675711	27753	PLT
19000	0.636059	77661	PLT
4370	0.506348	857588	PLT
1640	0.534839	773719	PLT
3540	0.497981	957583	PLT
5130	0.513226	739056	PLT
3650	0.498126	952526	PLT
21260	0.647866	61204	PLT
8530	0.548872	356101	PLT
12200	0.587508	188149	PLT
24440	0.653646	45263	PLT
660	0.735461	511126	PLT
8730	0.552552	342451	PLT
24050	0.654918	46812	PLT
5800	0.519528	643906	PLT
15410	0.612229	120976	PLT
11870	0.584915	197114	PLT
16770	0.621743	101870	PLT
25970	0.660391	39198	PLT
27950	0.664451	32201	PLT
26370	0.660354	37386	PLT
27690	0.668896	32603	PLT
20780	0.644729	63726	PLT
29460	0.668912	28056	PLT
4070	0.501976	902667	PLT
2070	0.511329	872079	PLT
6420	0.527097	561401	PLT
7030	0.53431	489826	PLT
29600	0.67018	27988	PLT
9440	0.560552	297630	PLT
16190	0.620377	109456	PLT
25750	0.656452	39063	PLT
8260	0.547292	376684	PLT
19650	0.638464	72098	PLT
13940	0.602045	145298	PLT
14340	0.605681	138086	PLT
21380	0.648301	59966	PLT
4870	0.51137	778534	PLT
7290	0.537911	462521	PLT
8380	0.54975	367254	PLT
11750	0.584368	200656	PLT
8920	0.556931	330362	PLT
26430	0.662438	36974	PLT
17320	0.624417	94706	PLT
28810	0.673256	29696	PLT
22420	0.653119	55088	PLT
24200	0.65534	46321	PLT
22670	0.652589	53490	PLT
22230	0.647116	56299	PLT
27420	0.663374	33607	PLT
12900	0.592486	168517	PLT
29920	0.672715	26894	PLT
3970	0.501554	914753	PLT
740	0.70821	541084	PLT
9580	0.560069	290709	PLT
1860	0.520605	828310	PLT
3820	0.500362	934367	PLT
10570	0.572647	243148	PLT
15720	0.614262	116058	PLT
4220	0.504078	880207	PLT
4420	0.504864	850769	PLT
16710	0.625028	101981	PLT
19440	0.635934	74036	PLT
18910	0.636555	78518	PLT
12550	0.588885	177843	PLT
13620	0.599097	152895	PLT
24980	0.656063	42816	PLT
1280	0.576056	672124	PLT
20980	0.641777	62623	PLT
18830	0.633682	78975	PLT
9910	0.564998	274868	PLT
1030	0.623411	612193	PLT
4750	0.509211	797575	PLT
6040	0.52425	610804	PLT
4940	0.512618	767880	PLT
17680	0.628963	90964	PLT
24660	0.65705	43986	PLT
5860	0.520025	633458	PLT
24360	0.656729	45250	PLT
13930	0.602532	146208	PLT
25890	0.660675	38830	PLT
29020	0.67235	29150	PLT
28380	0.663765	30904	PLT
28520	0.667205	30346	PLT
25840	0.657913	39449	PLT
25730	0.661379	39965	PLT
7020	0.534019	492477	PLT
8470	0.549014	360492	PLT
15260	0.609601	122818	PLT
26720	0.663272	36136	PLT
10330	0.571136	254181	PLT
21800	0.648154	58500	PLT
16570	0.623561	103924	PLT
10530	0.572743	245054	PLT
11320	0.580378	213902	PLT
2350	0.500635	916897	PLT
8930	0.554599	330585	PLT
11240	0.578823	216771	PLT
8580	0.550409	352180	PLT
4400	0.506254	852802	PLT
14270	0.603921	139356	PLT
19470	0.63836	73388	PLT
23530	0.651184	49820	PLT
22950	0.646778	52559	PLT
25420	0.658416	41413	PLT
18500	0.633133	82365	PLT
1410	0.55872	710791	PLT
21040	0.644738	62765	PLT
10030	0.566521	267270	PLT
7060	0.536234	485184	PLT
8710	0.553117	344003	PLT
16270	0.61984	109012	PLT
21300	0.648065	60997	PLT
18480	0.632508	82157	PLT
23240	0.653233	50991	PLT
16870	0.62396	100710	PLT
28990	0.666404	29203	PLT
23750	0.653955	48615	PLT
24950	0.659476	42558	PLT
10320	0.570889	253403	PLT
3220	0.496776	972149	PLT
2800	0.495376	960913	PLT
7340	0.537509	456606	PLT
7770	0.541122	417139	PLT
2190	0.506643	891850	PLT
11420	0.579485	211455	PLT
8790	0.553372	337946	PLT
23300	0.649393	50521	PLT
21700	0.644205	58916	PLT
29340	0.674928	28203	PLT
21750	0.64558	58569	PLT
24400	0.656688	45396	PLT
29410	0.672126	27904	PLT
16030	0.617386	111679	PLT
5330	0.515196	709513	PLT
6440	0.527808	558559	PLT
26350	0.659502	37078	PLT
16790	0.620851	101691	PLT
15200	0.616156	124910	PLT
5890	0.520655	630325	PLT
12310	0.58932	185726	PLT
20000	0.642806	69892	PLT
25620	0.65856	40007	PLT
28000	0.670364	31829	PLT
15650	0.612106	117790	PLT
15590	0.614298	118607	PLT
16020	0.614054	112399	PLT
19220	0.637515	75421	PLT
26440	0.659293	37431	PLT
480	0.813314	451072	PLT
5320	0.516925	710800	PLT
15830	0.617087	114470	PLT
21460	0.647373	59777	PLT
8110	0.546939	388032	PLT
21810	0.64954	58429	PLT
24080	0.65606	47014	PLT
9540	0.561726	292997	PLT
11560	0.582347	206535	PLT
19300	0.635026	75041	PLT
22060	0.646053	57147	PLT
22000	0.64835	57671	PLT
23130	0.653718	51279	PLT
19950	0.638296	69709	PLT
28060	0.664296	31355	PLT
18950	0.635702	78540	PLT
23790	0.656518	48247	PLT
610	0.755519	494939	PLT
6250	0.52548	583015	PLT
21080	0.645137	62703	PLT
14910	0.612705	128166	PLT
8960	0.554802	327398	PLT
5870	0.52148	632929	PLT
7640	0.541442	428657	PLT
18710	0.635806	80479	PLT
6110	0.524417	599992	PLT
3800	0.50035	936181	PLT
28970	0.670195	29099	PLT
28860	0.670217	29198	PLT
19180	0.636202	75748	PLT
13850	0.599503	147609	PLT
24550	0.656363	44643	PLT
9670	0.563112	285984	PLT
6960	0.533886	495855	PLT
5050	0.513938	752567	PLT
15180	0.609854	123600	PLT
8740	0.551911	342673	PLT
1840	0.520735	824164	PLT
11860	0.584237	197668	PLT
18580	0.633521	81347	PLT
26950	0.663369	35374	PLT
20920	0.648729	62849	PLT
9620	0.561824	288197	PLT
25280	0.661096	41171	PLT
27740	0.667659	32581	PLT
27960	0.667667	32004	PLT
25720	0.653921	39936	PLT
23580	0.655163	49377	PLT
960	0.640997	599310	PLT
5260	0.514762	717671	PLT
4380	0.506474	855238	PLT
15000	0.612473	126582	PLT
19640	0.639326	72176	PLT
9300	0.558973	305920	PLT
26820	0.664655	35951	PLT
11170	0.578961	220386	PLT
24600	0.659065	44551	PLT
26500	0.6622	36566	PLT
20350	0.644505	66783	PLT
29690	0.673246	27259	PLT
29730	0.673935	27286	PLT
2330	0.502203	911844	PLT
5420	0.516788	695548	PLT
8570	0.551577	354297	PLT
15850	0.615359	114460	PLT
11400	0.579938	211914	PLT
26360	0.658085	37135	PLT
20500	0.641598	65672	PLT
27790	0.671255	32329	PLT
12790	0.590846	171444	PLT
25640	0.657754	40132	PLT
13200	0.594406	162342	PLT
18520	0.633737	82165	PLT
3780	0.498815	937396	PLT
2540	0.497557	935865	PLT
6310	0.52575	575757	PLT
7450	0.539199	445702	PLT
14060	0.600799	143241	PLT
27930	0.668433	31897	PLT
24160	0.654223	46692	PLT
12050	0.585443	191778	PLT
28490	0.667882	30435	PLT
550	0.78396	476934	PLT
1090	0.607555	626491	PLT
2820	0.495273	962856	PLT
7540	0.539737	437187	PLT
3480	0.496843	962345	PLT
5770	0.519779	647694	PLT
20690	0.643886	64398	PLT
14760	0.607978	130888	PLT
10400	0.570755	250083	PLT
18940	0.636287	78309	PLT
25380	0.65784	41162	PLT
27300	0.661565	34172	PLT
4210	0.50314	880695	PLT
13640	0.601221	152157	PLT
8170	0.548721	384088	PLT
18030	0.628369	86734	PLT
19840	0.638562	70640	PLT
11010	0.577872	224697	PLT
18090	0.631947	86694	PLT
19740	0.637041	71256	PLT
23440	0.654597	49904	PLT
19210	0.638897	75657	PLT
21280	0.647845	61277	PLT
21500	0.645425	59883	PLT
13960	0.602155	144330	PLT
19700	0.641438	71982	PLT
1180	0.590529	648060	PLT
1710	0.529422	790014	PLT
13380	0.595432	157657	PLT
15390	0.611633	122428	PLT
12440	0.590036	180916	PLT
11180	0.57799	220118	PLT
22650	0.652575	54049	PLT
15540	0.612478	119490	PLT
22380	0.650753	55382	PLT
27270	0.66453	34161	PLT
18630	0.633743	80539	PLT
25400	0.656246	41073	PLT
18650	0.631896	80575	PLT
380	0.858469	421101	PLT
4510	0.505748	835760	PLT
3680	0.499103	947580	PLT
4570	0.507166	827747	PLT
13160	0.593422	162564	PLT
28550	0.667118	30302	PLT
19620	0.638598	72631	PLT
9650	0.561759	286710	PLT
9220	0.557535	312106	PLT
14490	0.606163	135914	PLT
27980	0.669497	31800	PLT
13010	0.596014	166699	PLT
18330	0.629656	83795	PLT
23270	0.654313	50890	PLT
14150	0.602964	142060	PLT
200	0.928035	370109	PLT
6410	0.52603	561884	PLT
5140	0.514392	735511	PLT
16600	0.624708	104620	PLT
4780	0.510691	792011	PLT
5560	0.518343	675732	PLT
21000	0.648533	62242	PLT
28800	0.669714	29426	PLT
11030	0.576451	224588	PLT
27850	0.668256	32510	PLT
23380	0.648638	50327	PLT
17900	0.628098	88569	PLT
3740	0.499786	939819	PLT
7950	0.544061	402045	PLT
180	0.930544	344825	PLT
1990	0.513942	856112	PLT
2890	0.494826	964692	PLT
22700	0.648369	54122	PLT
6270	0.524963	581334	PLT
15160	0.609655	124126	PLT
9170	0.556765	313360	PLT
26990	0.66199	34712	PLT
12890	0.59459	169256	PLT
21250	0.645795	61089	PLT
12110	0.586933	190245	PLT
22460	0.652153	55119	PLT
16080	0.616755	110449	PLT
28820	0.669196	29649	PLT
9500	0.560411	295267	PLT
6220	0.52475	588543	PLT
12260	0.586689	185572	PLT
6740	0.530115	522419	PLT
16630	0.623538	103875	PLT
28340	0.66684	30769	PLT
1480	0.551635	731150	PLT
12020	0.585744	192905	PLT
11940	0.585001	195186	PLT
20410	0.642227	66137	PLT
20530	0.642518	65746	PLT
26340	0.666382	37417	PLT
14880	0.609481	128744	PLT
29090	0.665382	28812	PLT
13990	0.603051	144671	PLT
9270	0.560739	309834	PLT
29320	0.667518	28200	PLT
25460	0.661932	40690	PLT
25390	0.656565	41018	PLT
8860	0.554148	332586	PLT
19720	0.642677	72198	PLT
23000	0.652803	51982	PLT
29650	0.673968	27528	PLT
22240	0.647632	56109	PLT
1600	0.539051	764692	PLT
520	0.796705	466056	PLT
7120	0.535354	479343	PLT
15480	0.611672	119775	PLT
16310	0.616812	108114	PLT
27510	0.665437	33345	PLT
21870	0.649996	57745	PLT
21190	0.648314	61862	PLT
20170	0.642937	68537	PLT
3960	0.50245	915409	PLT
680	0.726727	517238	PLT
3120	0.494822	971491	PLT
12830	0.594537	170245	PLT
5540	0.517514	676977	PLT
28920	0.671551	29210	PLT
9990	0.566177	268075	PLT
2810	0.494775	959146	PLT
23280	0.647905	50583	PLT
20600	0.644395	64701	PLT
4060	0.502542	902949	PLT
25500	0.659276	40907	PLT
17480	0.62557	92837	PLT
20990	0.645793	62486	PLT
11960	0.585384	194153	PLT
16480	0.620358	105726	PLT
20050	0.643348	68930	PLT
21480	0.644627	59937	PLT
8330	0.548386	373463	PLT
6680	0.531582	530187	PLT
12680	0.591332	175257	PLT
18310	0.631059	84130	PLT
16100	0.620808	110543	PLT
14630	0.606344	132354	PLT
27820	0.670997	32252	PLT
16550	0.621355	104301	PLT
14860	0.608337	128419	PLT
27430	0.666234	33865	PLT
17080	0.625152	98400	PLT
19260	0.636286	75048	PLT
23970	0.656709	47167	PLT
22080	0.648287	57618	PLT
18750	0.635166	79935	PLT
22390	0.649399	55693	PLT
10870	0.576005	230109	PLT
9360	0.559433	303223	PLT
18210	0.630761	85140	PLT
16090	0.616913	110505	PLT
26160	0.659923	38012	PLT
8660	0.552214	347177	PLT
2450	0.498814	928557	PLT
29560	0.673294	27612	PLT
20260	0.643183	67211	PLT
12360	0.587841	182818	PLT
14070	0.602487	143228	PLT
26030	0.654603	38602	PLT
23950	0.655263	47706	PLT
22350	0.649443	55349	PLT
560	0.779656	478601	PLT
650	0.740102	508303	PLT
7380	0.537948	454834	PLT
12270	0.587693	185607	PLT
10090	0.566767	263842	PLT
13240	0.59561	161307	PLT
14730	0.611001	130895	PLT
26390	0.659546	37121	PLT
12340	0.588479	183055	PLT
22520	0.652208	54823	PLT
22450	0.65108	54918	PLT
24180	0.659088	46358	PLT
23410	0.654545	50241	PLT
21270	0.65069	60880	PLT
5070	0.512382	749284	PLT
5400	0.516696	699183	PLT
20020	0.637753	69795	PLT
17430	0.624149	93907	PLT
20750	0.643868	63965	PLT
20430	0.64059	66150	PLT
790	0.693292	559020	PLT
4260	0.504527	872384	PLT
2500	0.49849	934008	PLT
9490	0.561096	296158	PLT
9130	0.555644	317536	PLT
3670	0.499504	948360	PLT
28730	0.666778	30064	PLT
8150	0.547297	385613	PLT
21830	0.647178	58633	PLT
26110	0.661695	38149	PLT
26280	0.665542	37643	PLT
16810	0.621822	101394	PLT
10430	0.570207	249143	PLT
21670	0.650047	58725	PLT
22610	0.648492	54013	PLT
29580	0.67161	27577	PLT
3850	0.500914	930537	PLT
8620	0.5526	350172	PLT
14280	0.604228	139747	PLT
1560	0.542573	752098	PLT
10830	0.575739	233102	PLT
11480	0.58217	210009	PLT
26470	0.657563	36725	PLT
18300	0.631648	84099	PLT
18470	0.630452	82490	PLT
25430	0.656987	40806	PLT
4390	0.505903	853432	PLT
5080	0.514264	746122	PLT
5740	0.518757	651164	PLT
8810	0.55272	335696	PLT
8990	0.556114	324991	PLT
5650	0.519184	664889	PLT
25780	0.656313	39600	PLT
20390	0.641021	66327	PLT
24850	0.657157	43291	PLT
26640	0.662499	36308	PLT
5880	0.52026	631306	PLT
6860	0.531723	508394	PLT
7500	0.540091	442229	PLT
2960	0.495147	965258	PLT
13410	0.598918	156958	PLT
16160	0.620117	109589	PLT
21780	0.645071	58685	PLT
15120	0.610661	124583	PLT
21350	0.64625	60865	PLT
18360	0.632283	83344	PLT
24060	0.653459	46791	PLT
26420	0.663595	37113	PLT
3620	0.498374	953114	PLT
13570	0.596411	153701	PLT
25990	0.658784	38735	PLT
23780	0.656156	48112	PLT
13420	0.598638	156983	PLT
16350	0.621609	107011	PLT
840	0.676764	574252	PLT
23910	0.654009	48007	PLT
17750	0.629791	90006	PLT
14770	0.607047	130573	PLT
25320	0.656586	41434	PLT
26980	0.660743	35510	PLT
1470	0.552508	727511	PLT
12600	0.590845	176725	PLT
26850	0.658009	35536	PLT
22730	0.65297	53978	PLT
4250	0.503662	875223	PLT
4700	0.508115	806689	PLT
8850	0.554628	334334	PLT
9770	0.562938	280473	PLT
22530	0.651684	54884	PLT
23040	0.651273	52273	PLT
16820	0.62107	101900	PLT
27010	0.660545	34685	PLT
29860	0.671851	26875	PLT
920	0.651671	593565	PLT
3880	0.500256	926514	PLT
4100	0.503093	897540	PLT
4710	0.509052	802565	PLT
13400	0.597806	157536	PLT
27900	0.667747	32400	PLT
19610	0.636578	72241	PLT
17970	0.628541	87875	PLT
16130	0.618828	110273	PLT
22090	0.644554	57176	PLT
23870	0.654038	47615	PLT
25850	0.660343	39378	PLT
26290	0.661175	37509	PLT
29450	0.672229	28224	PLT
27190	0.665947	34291	PLT
1770	0.52693	809575	PLT
5380	0.522099	710141	PLT
13370	0.597975	158239	PLT
8700	0.552017	344975	PLT
29960	0.675546	26953	PLT
26660	0.661556	36328	PLT
26450	0.655878	36766	PLT
15750	0.617094	115911	PLT
23170	0.651703	51571	PLT
9850	0.564643	275482	PLT
2700	0.495986	955829	PLT
11490	0.580265	209239	PLT
18840	0.633099	78836	PLT
10590	0.572686	243601	PLT
15860	0.619346	114298	PLT
13080	0.595422	163783	PLT
9570	0.56117	290657	PLT
15760	0.613853	115733	PLT
27730	0.668011	32974	PLT
24390	0.655394	46012	PLT
24220	0.657411	46207	PLT
22980	0.649709	51954	PLT
29330	0.669402	27907	PLT
1340	0.566031	691556	PLT
3760	0.49974	937606	PLT
20650	0.643578	64822	PLT
19420	0.638531	74106	PLT
8900	0.555238	331015	PLT
7300	0.538839	462854	PLT
13320	0.593909	159016	PLT
18390	0.63382	83489	PLT
19110	0.63563	76738	PLT
29420	0.671955	28365	PLT
2400	0.5002	921970	PLT
27760	0.667505	32599	PLT
18150	0.629126	85835	PLT
18570	0.631368	81515	PLT
9150	0.55661	315772	PLT
23930	0.655979	47500	PLT
27390	0.666101	33612	PLT
15070	0.609954	125757	PLT
11800	0.582945	200036	PLT
2300	0.50239	909363	PLT
11530	0.582695	207551	PLT
3570	0.497896	956090	PLT
16590	0.6205	103805	PLT
23760	0.653862	48316	PLT
18380	0.633204	83695	PLT
16150	0.619516	110115	PLT
14410	0.604868	136595	PLT
15640	0.614726	118116	PLT
20550	0.641098	65614	PLT
25160	0.658552	41819	PLT
21560	0.647346	58902	PLT
460	0.820946	442977	PLT
440	0.830566	435875	PLT
24170	0.657539	46414	PLT
19400	0.634924	74201	PLT
13440	0.598554	156736	PLT
20030	0.64096	69009	PLT
20760	0.646458	63916	PLT
29380	0.672131	27877	PLT
6900	0.533928	505570	PLT
8630	0.55261	348776	PLT
9610	0.563201	289206	PLT
7220	0.535523	471614	PLT
13230	0.593156	160838	PLT
26730	0.664446	35881	PLT
7430	0.53826	447072	PLT
24030	0.654267	47016	PLT
25900	0.66183	39146	PLT
21220	0.645006	61032	PLT
4430	0.505721	847207	PLT
980	0.635667	603822	PLT
18610	0.633353	81307	PLT
5430	0.516515	694272	PLT
2760	0.494704	958586	PLT
12970	0.593255	166812	PLT
14210	0.60444	140363	PLT
26570	0.661607	36496	PLT
17460	0.626491	93449	PLT
28360	0.663795	31106	PLT
21410	0.646404	60620	PLT
640	0.744288	504802	PLT
10620	0.573397	241149	PLT
2680	0.495961	951828	PLT
11570	0.582395	206741	PLT
8590	0.551022	351964	PLT
280	0.902077	401868	PLT
1680	0.531035	783240	PLT
16620	0.621359	103964	PLT
10540	0.571638	243992	PLT
12330	0.588234	183932	PLT
13030	0.596116	165362	PLT
15240	0.610543	122948	PLT
22370	0.651664	55389	PLT
26880	0.661631	35742	PLT
17470	0.627509	93213	PLT
22250	0.649561	56044	PLT
9930	0.566424	270903	PLT
24680	0.657311	44072	PLT
5830	0.520832	638363	PLT
13270	0.596288	160124	PLT
15490	0.614763	120318	PLT
6350	0.525223	570354	PLT
29220	0.671581	28692	PLT
27470	0.663555	33741	PLT
21140	0.646307	61921	PLT
23370	0.651682	50075	PLT
25680	0.657055	39814	PLT
9690	0.561028	283631	PLT
210	0.925313	377162	PLT
5680	0.519306	659116	PLT
5190	0.514357	727193	PLT
8220	0.547106	380047	PLT
8020	0.545822	396774	PLT
410	0.844053	426266	PLT
5310	0.516923	710612	PLT
17270	0.625804	95768	PLT
12300	0.58829	184110	PLT
16740	0.621825	101736	PLT
13580	0.597328	153117	PLT
22800	0.652848	53311	PLT
25270	0.655067	41553	PLT
25950	0.65841	38880	PLT
27260	0.66373	34166	PLT
21510	0.652121	60041	PLT
14050	0.601775	144029	PLT
1330	0.568105	688212	PLT
8890	0.554541	331411	PLT
15560	0.616566	118868	PLT
19510	0.637494	73196	PLT
15900	0.618584	114109	PLT
16220	0.617088	109576	PLT
11370	0.580499	213194	PLT
20210	0.641861	67647	PLT
2160	0.508298	884306	PLT
10550	0.571199	243922	PLT
26190	0.660603	38041	PLT
1170	0.593247	648554	PLT
21720	0.651179	58758	PLT
12990	0.596142	167009	PLT
22860	0.652689	53229	PLT
20190	0.644278	67727	PLT
28850	0.669651	29596	PLT
29890	0.676224	26926	PLT
12730	0.593205	174051	PLT
17310	0.628173	94891	PLT
710	0.718516	529249	PLT
360	0.868457	416078	PLT
6150	0.524246	595106	PLT
8230	0.544934	378800	PLT
10560	0.571564	242734	PLT
8420	0.550989	365145	PLT
10930	0.575029	229204	PLT
14640	0.605922	132753	PLT
11970	0.587074	194129	PLT
26630	0.663003	36398	PLT
22160	0.646558	56162	PLT
24910	0.658078	42694	PLT
26770	0.661911	35464	PLT
23940	0.656111	47527	PLT
5780	0.519513	647142	PLT
240	0.916248	393975	PLT
15310	0.612389	122334	PLT
9370	0.559362	301708	PLT
21690	0.647493	59179	PLT
7570	0.540847	436658	PLT
10630	0.572308	239544	PLT
19690	0.639629	71468	PLT
14430	0.604217	136671	PLT
14780	0.609634	130206	PLT
14820	0.608738	128791	PLT
19090	0.636046	76430	PLT
21920	0.645285	57900	PLT
27150	0.664885	34242	PLT
10850	0.575746	231835	PLT
11220	0.578805	219236	PLT
29820	0.66609	27166	PLT
25140	0.659721	41851	PLT
770	0.699951	552830	PLT
10880	0.574022	230134	PLT
12080	0.584908	190859	PLT
2880	0.494169	964981	PLT
21520	0.646461	60033	PLT
6690	0.530798	528491	PLT
2140	0.508628	882392	PLT
13020	0.593328	165905	PLT
16960	0.622852	99030	PLT
29240	0.670764	28557	PLT
23470	0.654071	49805	PLT
10360	0.569852	252611	PLT
23620	0.65208	49566	PLT
21290	0.648039	61038	PLT
14190	0.605752	141482	PLT
7900	0.54343	406790	PLT
21450	0.645185	60020	PLT
5940	0.521549	622973	PLT
27110	0.665332	34458	PLT
23290	0.652275	50931	PLT
22810	0.652458	53346	PLT
14680	0.60654	132181	PLT
3230	0.495717	972072	PLT
11670	0.584201	203894	PLT
22760	0.653843	53441	PLT
5970	0.522334	619784	PLT
1880	0.519268	836218	PLT
9410	0.561399	300275	PLT
4090	0.502608	900185	PLT
13910	0.6015	145970	PLT
28880	0.671778	29803	PLT
29270	0.667172	28366	PLT
27990	0.667458	32032	PLT
24960	0.660261	42671	PLT
25830	0.661619	39030	PLT
2150	0.507245	887863	PLT
4800	0.510688	791920	PLT
6530	0.527902	545673	PLT
580	0.770014	486220	PLT
3400	0.495709	968062	PLT
11980	0.587659	194196	PLT
23730	0.654812	48478	PLT
20810	0.645969	63438	PLT
16050	0.61736	112202	PLT
17440	0.625712	92648	PLT
29370	0.671129	28090	PLT
26400	0.659808	37179	PLT
21840	0.649691	58397	PLT
22590	0.651238	54249	PLT
19360	0.63439	75255	PLT
27000	0.665448	35286	PLT
29140	0.672186	28626	PLT
1380	0.562469	701951	PLT
9200	0.558727	313554	PLT
26530	0.66262	36659	PLT
3550	0.497355	958732	PLT
3390	0.495977	969313	PLT
11040	0.577551	223516	PLT
23200	0.652784	51334	PLT
20620	0.643957	64599	PLT
30	0.932834	107644	PLT
28540	0.671605	30238	PLT
17410	0.629167	94002	PLT
8050	0.544804	394415	PLT
23020	0.651648	52246	PLT
1290	0.573949	677112	PLT
2570	0.4966	943257	PLT
25170	0.659378	41753	PLT
20490	0.646484	65748	PLT
2920	0.4945	966353	PLT
13260	0.595257	160393	PLT
10460	0.571309	246331	PLT
11430	0.581364	210622	PLT
11450	0.580559	210585	PLT
29840	0.671402	26963	PLT
28080	0.666991	31819	PLT
19820	0.640253	70519	PLT
9780	0.563628	279933	PLT
3020	0.494141	970016	PLT
5750	0.519373	650200	PLT
7650	0.541055	428777	PLT
25530	0.663428	40755	PLT
18680	0.633857	80455	PLT
25180	0.661918	41839	PLT
11470	0.579107	209754	PLT
20450	0.640878	65972	PLT
22180	0.649083	56321	PLT
19630	0.636895	72497	PLT
28790	0.667056	29984	PLT
10610	0.572455	241130	PLT
1270	0.576664	671991	PLT
4340	0.504076	861364	PLT
20540	0.643054	65164	PLT
6660	0.529612	531178	PLT
7080	0.535212	484800	PLT
13140	0.59503	163711	PLT
2130	0.508247	883557	PLT
7010	0.535824	492037	PLT
