VALUE	SESSIONLENGTH	FREQUENCY	TIMER
26090	4.705	778	FID
16760	7.777	2722	FID
22440	5.385	911	FID
20240	5.841	1422	FID
24920	6.249	770	FID
28560	6.498	449	FID
6380	5.889	42717	FID
11500	5.163	7322	FID
16360	5.325	2494	FID
12450	6.143	5925	FID
10860	5.238	9011	FID
25910	4.191	605	FID
20790	4.912	1290	FID
27360	7.347	582	FID
14960	5.081	3726	FID
10	4.637	78142518	FID
690	6.054	709690	FID
1810	6.279	437131	FID
1980	6.398	402284	FID
7200	6.163	30458	FID
25710	4.731	618	FID
11130	5.152	8555	FID
25740	4.886	686	FID
25130	5.377	692	FID
20720	5.073	1181	FID
22010	4.587	1145	FID
28450	4.726	388	FID
10230	6.034	11031	FID
5150	6.212	74383	FID
19270	4.985	1700	FID
10210	5.629	10827	FID
15610	5.061	3054	FID
24140	5.36	722	FID
24840	4.51	705	FID
14390	5.072	3531	FID
26120	6.394	715	FID
28400	3.992	503	FID
18920	5.648	1725	FID
8160	5.671	21142	FID
18260	5.42	2043	FID
14560	5.627	3619	FID
20340	5.438	1286	FID
13840	5.128	4417	FID
22030	5.356	1173	FID
24210	5.741	734	FID
29200	8.744	490	FID
28510	6.705	479	FID
28710	5.135	472	FID
40	5.731	11825345	FID
2250	6.676	351023	FID
4850	6.192	86722	FID
5950	6.007	51000	FID
4320	6.86	114040	FID
20740	5.133	1114	FID
3420	6.767	188614	FID
7820	5.989	23643	FID
10890	6.133	9256	FID
28390	4.42	547	FID
10180	6.008	10937	FID
18460	5.032	1698	FID
22050	4.177	1051	FID
23770	6.573	801	FID
28720	4.992	500	FID
26170	4.76	573	FID
29390	4.334	413	FID
1520	6.022	504694	FID
3920	6.638	141646	FID
8030	5.82	21654	FID
4550	6.473	101083	FID
13490	5.773	4895	FID
18410	5.071	1636	FID
23490	5.108	860	FID
17400	5.396	2173	FID
27310	4.542	481	FID
10310	5.959	10779	FID
17730	5.013	2074	FID
16700	12.189	2460	FID
5120	6.333	75616	FID
1900	6.41	418738	FID
18560	5.156	1832	FID
13060	5.884	5110	FID
17010	5.714	2257	FID
22960	5.422	925	FID
16320	4.766	2691	FID
25510	4.234	670	FID
8210	5.856	20369	FID
20440	6.865	1436	FID
27030	4.336	467	FID
220	6.605	1506199	FID
10900	5.406	8979	FID
11700	5.762	7486	FID
28010	4.251	478	FID
16670	4.977	2519	FID
18130	5.779	1773	FID
10980	5.986	8776	FID
80	6.531	4951109	FID
5620	6.302	58439	FID
4520	7.023	102648	FID
11260	5.174	8174	FID
11510	5.623	7610	FID
27920	5.7	497	FID
28130	5.574	456	FID
23350	5.127	779	FID
23430	6.972	905	FID
8190	5.823	20589	FID
25010	4.056	760	FID
29900	5.029	379	FID
7070	6.267	32115	FID
6400	5.954	40054	FID
26890	6.902	634	FID
12190	5.243	6809	FID
20130	4.967	1452	FID
16260	5.658	2738	FID
28120	5.453	459	FID
12500	5.972	6001	FID
8400	5.995	19657	FID
20070	5.741	1201	FID
25790	5.552	606	FID
6510	6.092	39895	FID
13740	4.968	4578	FID
8240	5.96	20211	FID
2840	6.843	258374	FID
10080	5.692	10537	FID
5520	6.599	62212	FID
10300	5.437	10357	FID
14850	6.578	3487	FID
24270	6.047	776	FID
17570	4.615	2122	FID
13350	5.807	4611	FID
3770	6.655	154843	FID
15520	5.445	2984	FID
12710	5.063	5534	FID
24650	5.151	688	FID
16540	4.626	2554	FID
21930	5.421	1160	FID
20730	4.471	1312	FID
17550	5.769	2065	FID
17200	4.919	2061	FID
16830	5.5	2603	FID
29300	4.649	414	FID
24990	6.548	740	FID
25230	4.531	813	FID
620	5.923	728428	FID
6970	5.967	33165	FID
860	6.373	674870	FID
6200	6.207	45723	FID
8450	5.787	19749	FID
7730	5.618	25243	FID
4740	6.345	91182	FID
14010	5.89	4046	FID
21160	7.175	1036	FID
16060	6.427	2656	FID
23650	4.328	905	FID
22330	4.875	1051	FID
930	6.175	661293	FID
5340	6.394	67517	FID
8070	5.911	22198	FID
12400	5.019	6687	FID
18800	5.058	1709	FID
21170	5.48	1136	FID
13050	5.514	5398	FID
22110	6.005	1048	FID
28190	3.946	410	FID
10250	5.76	10818	FID
26920	7.05	540	FID
4160	6.427	125788	FID
3380	6.86	192235	FID
2720	6.856	275026	FID
8800	5.913	16994	FID
17610	4.422	2358	FID
14290	8.713	3943	FID
16850	5.043	2210	FID
22140	4.543	957	FID
10120	5.583	11154	FID
15470	5.605	2979	FID
19960	4.774	1282	FID
10350	5.666	10554	FID
6070	5.99	47695	FID
7160	6.073	30755	FID
10760	5.449	9737	FID
11090	6.011	8706	FID
10960	5.801	9165	FID
11790	5.165	7181	FID
29970	5.456	421	FID
24880	4.831	722	FID
5730	6.54	56081	FID
14310	5.261	3744	FID
4200	6.114	122755	FID
2910	6.85	246243	FID
3870	6.791	149434	FID
6080	6.017	47412	FID
3440	6.791	185352	FID
7090	5.819	30755	FID
22300	5.193	935	FID
20900	4.842	1330	FID
26810	4.014	549	FID
22150	10.002	1140	FID
12720	5.862	5636	FID
20250	5.28	1290	FID
2750	6.831	271042	FID
10970	5.973	8708	FID
11550	6.845	7343	FID
2780	6.81	266187	FID
11890	5.527	7073	FID
24490	5.562	789	FID
24720	8.203	766	FID
26750	4.24	624	FID
29570	4.884	347	FID
5690	6.579	56670	FID
3890	6.601	145351	FID
3900	6.409	144458	FID
5020	6.334	78986	FID
2520	6.716	303785	FID
6450	5.985	41365	FID
5010	6.194	78102	FID
4610	6.347	98133	FID
14300	5.196	3632	FID
9820	6.285	12778	FID
9350	5.607	13889	FID
10240	5.71	10718	FID
22170	4.86	1070	FID
17500	5.551	2006	FID
28430	6.875	570	FID
24190	5.08	695	FID
24690	6.001	749	FID
26080	4.694	580	FID
2010	6.43	395846	FID
6800	5.829	35613	FID
19770	4.838	1522	FID
13130	6.389	5372	FID
11900	5.272	7022	FID
27830	4.97	482	FID
