VALUE	SESSIONLENGTH	FREQUENCY	TIMER
1004680		1	TTI
15447900		1	TTI
1092470		1	TTI
1087430	1	1	TTI
213660	46.5	4	TTI
1145190	4	1	TTI
221680	22.4	5	TTI
797730	1	1	TTI
3847730	8	1	TTI
416800	3	1	TTI
534130	0	1	TTI
265010	43	3	TTI
5168980	1	1	TTI
576800	1.5	2	TTI
1092390	1	1	TTI
910410	3	1	TTI
1024810	4	1	TTI
318260	16	1	TTI
530260	1	1	TTI
6684980	1	1	TTI
4068090	8	1	TTI
550210	4	2	TTI
631000	4	1	TTI
292710	1	1	TTI
307500	18	1	TTI
297970	1	1	TTI
2640710	1	1	TTI
1013120	2	1	TTI
1563010	1	1	TTI
60239990	1	1	TTI
571380	11	1	TTI
1016790	3	1	TTI
597110	1	1	TTI
450940	1	1	TTI
325640	1	1	TTI
10130	33.428	290970	TTI
17670	14.032	66650	TTI
9240	29.366	358027	TTI
20140	11.802	44851	TTI
31460	9.194	9470	TTI
34390	8.997	6726	TTI
16920	13.645	75147	TTI
16210	15.617	85467	TTI
25360	10.039	21275	TTI
22690	12.606	31273	TTI
43960	8.139	2546	TTI
54700	8.004	925	TTI
25240	10.343	21672	TTI
40550	10.768	3546	TTI
61110	10.223	572	TTI
39800	9.034	3731	TTI
55190	13.644	873	TTI
124940	6.727	34	TTI
68680	11.236	346	TTI
58330	8.874	719	TTI
59600	9.933	662	TTI
70310	8.068	321	TTI
138240	23.45	20	TTI
51240	9.041	1237	TTI
85890	13.905	133	TTI
75170	10.056	240	TTI
80120	8.803	195	TTI
86380	8.514	140	TTI
37520	8.45	4635	TTI
51780	7.609	1223	TTI
66990	7.608	400	TTI
38420	8.731	4272	TTI
43950	8.13	2461	TTI
96530	10.516	92	TTI
97490	6.142	85	TTI
221270	17	3	TTI
69390	9.653	351	TTI
90350	8.256	119	TTI
331490	6.035	531	TTI
51690	8.439	1223	TTI
214420	6.333	9	TTI
87290	28.85	111	TTI
140180	11.5	15	TTI
341150	5.057	80	TTI
146650	39.5	18	TTI
259060	1.5	2	TTI
92650	8.876	86	TTI
77650	9.456	169	TTI
110860	28.423	54	TTI
90770	8.271	107	TTI
186640	31.222	9	TTI
337260	5.424	225	TTI
88290	8.432	127	TTI
305530	19	2	TTI
353470	5.8	18	TTI
234740	20.5	4	TTI
148480	11.5	12	TTI
375490	5	6	TTI
217940	5.125	9	TTI
345430	2.685	44	TTI
190010	15.125	8	TTI
199960	5.75	8	TTI
1206270	2	1	TTI
263170	5	3	TTI
160460	12.416	12	TTI
471440	18.5	3	TTI
109040	8.901	53	TTI
272180	25.5	2	TTI
121910	12.218	35	TTI
225910	23	5	TTI
250960	5	2	TTI
231860	14.75	4	TTI
144430	11.529	18	TTI
360280	4.75	13	TTI
309120	2.5	2	TTI
107050	12.911	47	TTI
309400	10	4	TTI
264890	4	2	TTI
905850	4.5	2	TTI
106530	24.701	57	TTI
361960	1.8	10	TTI
293910	10.666	3	TTI
119620	12.735	37	TTI
93220	9.033	93	TTI
478290	42	5	TTI
253640	4.333	6	TTI
217270	65.1	10	TTI
142480	13.083	25	TTI
158710	25.578	20	TTI
554840	1	2	TTI
197120	10.142	7	TTI
244960	4.666	3	TTI
175870	5.642	14	TTI
795210	2	2	TTI
124490	5.833	31	TTI
843310	17	3	TTI
190870	8	8	TTI
533770	1	4	TTI
213770	6.75	4	TTI
129260	17.576	28	TTI
123020	13.8	41	TTI
262140	47.6	5	TTI
249320	6.4	5	TTI
182940	18	11	TTI
249430	28	4	TTI
374040	1.75	7	TTI
176360	11	9	TTI
805550	1	1	TTI
225430	14.2	5	TTI
648670	7.666	6	TTI
147430	13.23	14	TTI
138010	27.64	26	TTI
316400	7.5	2	TTI
244370	5.25	9	TTI
169130	5.875	9	TTI
237830	10.8	5	TTI
161810	8.625	16	TTI
1544280	2	1	TTI
238490	28.25	4	TTI
252980	10.5	6	TTI
320080	23.5	2	TTI
268740	5.5	2	TTI
273960	16.666	6	TTI
399560	48	4	TTI
310830	5.5	2	TTI
357330	11.8	17	TTI
637470	14	2	TTI
204930	137.2	5	TTI
356910	1.875	11	TTI
421690	4	2	TTI
143360	4.5	11	TTI
2181450	1	1	TTI
513930	22.5	2	TTI
112920	14.305	36	TTI
161130	41.666	12	TTI
455320	2	1	TTI
736970	1	1	TTI
349660	7.916	23	TTI
1045690	1	1	TTI
478030	5	3	TTI
227030	5.8	5	TTI
255950	13.5	4	TTI
176250	36.625	9	TTI
544580	9	2	TTI
233200	37.6	5	TTI
8827030	31	1	TTI
464670	1	3	TTI
247130	14	4	TTI
202340	14.8	5	TTI
225160	14.333	3	TTI
349910	5.692	20	TTI
172140	24.125	9	TTI
298910	1	1	TTI
329840	17	1	TTI
172430	15.444	9	TTI
1205740	37	2	TTI
175530	6.5	7	TTI
247950	30.5	6	TTI
894660	2	4	TTI
358750	1	6	TTI
537560	17	4	TTI
194920	15.5	8	TTI
530890	1	2	TTI
541250	36.5	3	TTI
176440	4.142	7	TTI
448430	27.666	4	TTI
4145850	1	1	TTI
546130	5.333	6	TTI
218590	15.25	8	TTI
386290	6	4	TTI
313580	21	2	TTI
257630	8	3	TTI
252370	19.25	4	TTI
4306420	1	1	TTI
615560	1	2	TTI
544100	82	1	TTI
658350	1	6	TTI
303430	5.5	2	TTI
496210	1	2	TTI
263300	2.5	2	TTI
382300	45	5	TTI
1345830	2	1	TTI
432700	0.5	4	TTI
905410	1	1	TTI
252550	102	5	TTI
311290	2	1	TTI
434890	22	5	TTI
1793490	1	1	TTI
700320	3	1	TTI
365860	1	6	TTI
817810	2	2	TTI
732120		2	TTI
2572390		1	TTI
1991300		1	TTI
364640	8	10	TTI
1650980		2	TTI
622920		2	TTI
727130		2	TTI
2112070		1	TTI
3132000		1	TTI
1687750		1	TTI
1270950		1	TTI
502300	2	2	TTI
5296420	1	2	TTI
506650	1	4	TTI
1365830		1	TTI
2054070		2	TTI
739400	4.5	3	TTI
1188140		1	TTI
920310		1	TTI
1349880		1	TTI
440210		2	TTI
586020		2	TTI
474790		1	TTI
1321030		1	TTI
2502100		1	TTI
508430		3	TTI
439710		3	TTI
1703580		1	TTI
557910		3	TTI
1108090		1	TTI
719060	1	3	TTI
2024940		1	TTI
3326470		1	TTI
2503840		1	TTI
896180		1	TTI
423400	1	2	TTI
612990		1	TTI
815090	1	2	TTI
467780	18	4	TTI
508290		3	TTI
663100		8	TTI
571930		2	TTI
2452090		1	TTI
629000		1	TTI
695590		1	TTI
611210		1	TTI
1743960		1	TTI
830360		1	TTI
795920	1	3	TTI
5904910		1	TTI
371810	1	6	TTI
2150170		1	TTI
4973780		1	TTI
906080		3	TTI
864040	1	2	TTI
669660		2	TTI
534690		2	TTI
1263210		1	TTI
627430		1	TTI
1090220		1	TTI
663320		6	TTI
616110		3	TTI
521290		2	TTI
996340		1	TTI
440150		3	TTI
696300		2	TTI
796580		2	TTI
1443690		1	TTI
491490		1	TTI
5840320		1	TTI
1241110		1	TTI
672210		2	TTI
583640		2	TTI
5028840		1	TTI
1525310		1	TTI
503290		2	TTI
1526380		1	TTI
835090		2	TTI
686560		2	TTI
1229800		1	TTI
481370		1	TTI
1572930		1	TTI
479580	2	4	TTI
970590		2	TTI
1656680		2	TTI
1825280		1	TTI
858500		2	TTI
21182480		1	TTI
874980		3	TTI
4325500		1	TTI
936030	15	3	TTI
566850	8	3	TTI
695400		3	TTI
3665340		2	TTI
928930		2	TTI
831770		1	TTI
1026370		1	TTI
2585990		1	TTI
361700	1.5	9	TTI
757140		1	TTI
80167120		1	TTI
397170		2	TTI
756110		1	TTI
1226940		1	TTI
1120800	3	2	TTI
1948340		1	TTI
3068710		1	TTI
923640		2	TTI
1063100		1	TTI
869310		2	TTI
630880		1	TTI
595100	1	2	TTI
930230		2	TTI
481290	9	3	TTI
629230		3	TTI
1266150		1	TTI
2032540		1	TTI
948790		1	TTI
22779200		1	TTI
909870		1	TTI
688770		1	TTI
427520		2	TTI
840950		2	TTI
549500	29	4	TTI
1132140		1	TTI
1030830		1	TTI
1209640		1	TTI
775420		1	TTI
864330		2	TTI
1307750		1	TTI
1316550		1	TTI
974650		1	TTI
437020	3	4	TTI
1442670		1	TTI
1671060		1	TTI
502970		1	TTI
2901580		1	TTI
1204950		1	TTI
903300		1	TTI
805140		1	TTI
2367900		1	TTI
8481830		1	TTI
1308710		1	TTI
910160		1	TTI
947590		1	TTI
2598100		1	TTI
470480	2	2	TTI
752440		1	TTI
3307610		1	TTI
1198360		1	TTI
1954640		2	TTI
844790		1	TTI
490930	2	3	TTI
3359710		1	TTI
1335270		2	TTI
989600		1	TTI
427510	15	2	TTI
382110	89.5	3	TTI
647570		1	TTI
1725100		1	TTI
1356910		1	TTI
953930		2	TTI
13222580		1	TTI
4464850		1	TTI
1498850		1	TTI
2302270		1	TTI
1744810		1	TTI
584790		1	TTI
1060910		1	TTI
1116120	9	3	TTI
1079970		3	TTI
2464520		1	TTI
3268080		1	TTI
923010		1	TTI
1097330		1	TTI
1258750		1	TTI
1902600		1	TTI
891880		1	TTI
682330		1	TTI
724690		1	TTI
1551090		2	TTI
602090		1	TTI
838810		1	TTI
1066800	0	2	TTI
750040	1	2	TTI
808300		1	TTI
886440		1	TTI
846910		1	TTI
751520		2	TTI
374880	5.5	5	TTI
504570	1	2	TTI
677930		3	TTI
721350		1	TTI
81288980		1	TTI
3589000		1	TTI
1327420		2	TTI
1551890		2	TTI
1927020		1	TTI
410610	2	6	TTI
570120		1	TTI
1632470		1	TTI
3056460		1	TTI
1862450		1	TTI
766710		1	TTI
3948450		1	TTI
3579660		1	TTI
549260		1	TTI
615630		1	TTI
1616500		1	TTI
1088950		1	TTI
479500	2	3	TTI
1724420		1	TTI
437990		1	TTI
535270		2	TTI
1821180		1	TTI
1696350		1	TTI
1200730	1	2	TTI
1419890		1	TTI
1324450		1	TTI
1717260		1	TTI
3711990		1	TTI
896610		1	TTI
13240020		1	TTI
421410		1	TTI
1303290		1	TTI
1612480		2	TTI
11880990		1	TTI
7409250		1	TTI
593170		1	TTI
3379020		1	TTI
475390	101	3	TTI
836850		1	TTI
2519840		1	TTI
1883100		1	TTI
5704540		1	TTI
856890		2	TTI
9680480		1	TTI
870190		1	TTI
943570		1	TTI
972890		2	TTI
2031760		1	TTI
823880		1	TTI
1619080		1	TTI
571810		1	TTI
1380660		1	TTI
487990	18	2	TTI
1504190		1	TTI
1924940		1	TTI
1059100		1	TTI
28442210		1	TTI
19916200		1	TTI
514480		1	TTI
776410		1	TTI
2534070		1	TTI
1784310		1	TTI
794840		1	TTI
733220		1	TTI
795990		1	TTI
594090	3	2	TTI
1473460		1	TTI
5959180		1	TTI
1103900		1	TTI
3757600		1	TTI
1292300		1	TTI
797400		1	TTI
831730		1	TTI
875900	4	2	TTI
2313850		1	TTI
1710780	1	2	TTI
1836230		1	TTI
1133850		1	TTI
476130	1	2	TTI
2459860		1	TTI
2214090		1	TTI
731590		1	TTI
2035840		1	TTI
1259220		1	TTI
832670		1	TTI
1239820		1	TTI
1324580		1	TTI
2497380		1	TTI
819630		1	TTI
712530		1	TTI
660680		1	TTI
322970	4.5	2	TTI
1503760	1	1	TTI
762670	1	1	TTI
481280	4	1	TTI
5428900	9	1	TTI
1601110	19	1	TTI
1390870	1	1	TTI
550040	1.666	3	TTI
299160	6	1	TTI
1297870	1	1	TTI
699380	2	1	TTI
1682330	4	1	TTI
399290	1	1	TTI
856720	1	1	TTI
282240	3	2	TTI
799240	27	1	TTI
414910	5	1	TTI
229790	7.5	2	TTI
248780	14.333	3	TTI
486590	17	1	TTI
243360	14.666	3	TTI
305610	3	1	TTI
615240	2	1	TTI
485330	1	1	TTI
504240	60	1	TTI
1472880	3	1	TTI
4030	28.992	1491558	TTI
13430	15.071	144178	TTI
7260	20.529	586442	TTI
6770	20.676	673874	TTI
23840	11.025	26662	TTI
12750	17.792	165899	TTI
16970	14.678	75205	TTI
12030	22.861	191757	TTI
27480	11.196	15991	TTI
16180	14.934	86137	TTI
27450	11.155	16071	TTI
29190	9.734	13073	TTI
41500	8.471	3072	TTI
27280	11.462	16314	TTI
36020	8.011	5500	TTI
53680	8.091	1136	TTI
44290	9.193	2402	TTI
58660	9.44	694	TTI
48590	9.426	1606	TTI
102510	6.031	66	TTI
85500	9.559	162	TTI
109310	8.976	43	TTI
40190	8.295	3582	TTI
83130	7.417	161	TTI
334950	5.299	388	TTI
84150	19.542	158	TTI
162180	29.181	11	TTI
82110	10.65	154	TTI
218800	13.333	6	TTI
8250	20.856	456219	TTI
32720	8.718	8193	TTI
24700	10.673	23387	TTI
56140	6.478	829	TTI
204520	67.833	6	TTI
52890	8.625	1126	TTI
84690	9.483	158	TTI
94840	7.18	74	TTI
100220	10.728	72	TTI
95390	9.629	87	TTI
89440	8.648	111	TTI
79690	17.588	181	TTI
72390	7.257	268	TTI
64960	9.808	470	TTI
143750	21.105	20	TTI
103590	7.384	54	TTI
117730	8.097	46	TTI
109240	16.64	53	TTI
133490	7.44	25	TTI
62900	7.153	524	TTI
79700	9.041	171	TTI
152360	21	16	TTI
92380	10.686	87	TTI
349380	3.636	33	TTI
459930	5	3	TTI
150530	18	12	TTI
140360	18.8	21	TTI
170650	5.444	9	TTI
124100	15.848	34	TTI
343530	5.658	52	TTI
151130	20.583	25	TTI
581600	1	1	TTI
89840	8.205	113	TTI
182620	14.166	6	TTI
136670	12.473	19	TTI
145630	27	16	TTI
253600	28.6	5	TTI
105150	14.83	55	TTI
108590	10.769	65	TTI
16928740	1	1	TTI
124500	7.903	31	TTI
134170	5.708	24	TTI
344180	7.486	50	TTI
3320920	6	1	TTI
145800	3.8	21	TTI
283930	17.8	5	TTI
268120	21	1	TTI
360420	1	9	TTI
345210	5.103	37	TTI
102070	12.913	62	TTI
164520	4.3	10	TTI
467280	2.5	3	TTI
108020	12.86	51	TTI
179770	10.333	7	TTI
704190	1	3	TTI
176340	6.176	17	TTI
231440	2.666	3	TTI
200420	37.8	10	TTI
282130	37.4	5	TTI
154350	6.785	14	TTI
128340	6.718	32	TTI
130330	9.857	23	TTI
174200	14.09	12	TTI
371720	2.5	7	TTI
229590	7	7	TTI
282170	16.666	3	TTI
250930	2.4	6	TTI
163480	31.25	13	TTI
431460	1	6	TTI
309510	19	4	TTI
414130	1	2	TTI
159610	30.647	19	TTI
229150	27	3	TTI
228890	18.25	4	TTI
366330	1.5	5	TTI
867290	8	1	TTI
126440	7.857	22	TTI
305790	13.666	3	TTI
271460	6	6	TTI
144040	11.5	15	TTI
289830	196	3	TTI
191500	12.2	10	TTI
262930	5.333	3	TTI
112180	15.756	38	TTI
524470	3	4	TTI
163510	42.3	11	TTI
1722310	1	2	TTI
1838990	6	1	TTI
422460	12.5	7	TTI
184070	41.285	7	TTI
310790	16	1	TTI
597720	6	4	TTI
275750	1	1	TTI
1108460	13	1	TTI
321960	7.2	5	TTI
183630	18.2	10	TTI
206100	10	7	TTI
261890	6	3	TTI
229240	28	5	TTI
11351090	10	1	TTI
748790	3.5	2	TTI
238690	2	4	TTI
913590	24	1	TTI
186170	16.166	12	TTI
742250	1	2	TTI
368610	1.333	8	TTI
173360	15.4	10	TTI
436320	1	2	TTI
1468070	4	1	TTI
315490	2	1	TTI
365010	6.25	10	TTI
314650	17.285	7	TTI
183400	10.875	11	TTI
404800	6	2	TTI
681620	8	2	TTI
697310	35	1	TTI
1315200	29	1	TTI
1777860	8	1	TTI
191980	31.714	8	TTI
359730	2.8	14	TTI
516690	1	3	TTI
265420	31.5	2	TTI
753950	2	1	TTI
223050	12	3	TTI
252440	2	2	TTI
152250	16.545	11	TTI
1459390	2	1	TTI
233000	20	2	TTI
291840	6	1	TTI
485010	12	2	TTI
362630	8.857	12	TTI
2137080	25	1	TTI
366230	26.5	5	TTI
155900	13.571	15	TTI
21400300	1	1	TTI
647100	14.666	5	TTI
866930	9.5	3	TTI
186750	16	6	TTI
408220	87.5	3	TTI
366400	29.5	7	TTI
556960	14	2	TTI
1005110	4.5	4	TTI
359080	19.666	12	TTI
689200	2	2	TTI
887820	1	3	TTI
1084590	2	1	TTI
605040	7	2	TTI
1172940	1	1	TTI
498050	1	6	TTI
308320	13.5	2	TTI
289070	153	2	TTI
1494340	1	1	TTI
381520	5.5	8	TTI
622270	2	1	TTI
772440	1	2	TTI
221910	9.5	6	TTI
399210	31	4	TTI
500840	4.5	2	TTI
209860	56	6	TTI
3144470		1	TTI
682470		2	TTI
626980		1	TTI
1021910		1	TTI
628000		2	TTI
975100		3	TTI
674690		2	TTI
661940		9	TTI
732880		2	TTI
1038360		1	TTI
577630		2	TTI
384210	53	4	TTI
606510		1	TTI
717660		2	TTI
1184640		1	TTI
1342730		1	TTI
1028350		1	TTI
391110	5	5	TTI
491580		3	TTI
664110		10	TTI
663780		4	TTI
1385000		1	TTI
967100		1	TTI
424100	1	5	TTI
2602370		1	TTI
758280		3	TTI
4296380		1	TTI
629830		2	TTI
4798380		1	TTI
5664460		1	TTI
401350		1	TTI
402590	2	4	TTI
1616160		2	TTI
373360		4	TTI
941300		1	TTI
892750		3	TTI
3357210		1	TTI
4673020		1	TTI
2137670		1	TTI
1912050		1	TTI
664170		8	TTI
862070		1	TTI
1905760		1	TTI
689980		2	TTI
481670	4.25	6	TTI
662240		11	TTI
722370		3	TTI
862830		1	TTI
824890		2	TTI
994070		5	TTI
48971060		1	TTI
3575400		1	TTI
755220		2	TTI
738450		1	TTI
973410		1	TTI
2313360		2	TTI
1389970		1	TTI
1050600		1	TTI
1884780		1	TTI
704600		1	TTI
1339660		1	TTI
545210		4	TTI
961390		2	TTI
540590		1	TTI
714250		1	TTI
1504570		1	TTI
802540		2	TTI
687030		2	TTI
576390		1	TTI
701720		2	TTI
890210		1	TTI
17176680		1	TTI
409210	1	4	TTI
532680		1	TTI
599720	1	4	TTI
807340		1	TTI
2761420		1	TTI
1378650		1	TTI
1095140		1	TTI
901610		1	TTI
1153870		1	TTI
517080	4	3	TTI
974230		4	TTI
665940		4	TTI
1508720		1	TTI
604340		3	TTI
776980		2	TTI
591100		3	TTI
607190	38	2	TTI
835060		1	TTI
2051780		1	TTI
766010		1	TTI
1940500		1	TTI
2811770		1	TTI
704100	18	2	TTI
2864660		1	TTI
837080		2	TTI
417130		4	TTI
669900		3	TTI
1981570		1	TTI
469260		1	TTI
1207780		1	TTI
388220	1	6	TTI
1806240		3	TTI
2314010		1	TTI
724920	1	4	TTI
783770		1	TTI
1869820		1	TTI
672760		1	TTI
4055010		1	TTI
896540		1	TTI
851610		1	TTI
864810		1	TTI
550070		1	TTI
933590		1	TTI
437450	1	4	TTI
585500	5	2	TTI
1771370		1	TTI
991260		3	TTI
1587190		1	TTI
809550		1	TTI
957860		1	TTI
933260		1	TTI
656000		2	TTI
495390	3	2	TTI
750920		1	TTI
1073230		2	TTI
622860		1	TTI
2638980		1	TTI
1120900		2	TTI
1916550		2	TTI
461810		1	TTI
1001170		1	TTI
1651280		1	TTI
1374040		1	TTI
2479760		1	TTI
847430		1	TTI
787520		2	TTI
2578140		1	TTI
541440		1	TTI
621460	1	3	TTI
440550	1	3	TTI
1049490		1	TTI
1848160		1	TTI
144194640		1	TTI
8668580		1	TTI
2854790		1	TTI
1508910		1	TTI
1915330		1	TTI
1108700		3	TTI
1392300		1	TTI
741890		2	TTI
2038350		1	TTI
1314510		1	TTI
840040		2	TTI
871670		1	TTI
1379040		1	TTI
980620		1	TTI
1059550		1	TTI
2237590		1	TTI
386810	7	3	TTI
1155770		1	TTI
727510		1	TTI
1334280		1	TTI
562410		1	TTI
3097700		1	TTI
853910		2	TTI
1682690		1	TTI
620500	1	2	TTI
1760720	52	1	TTI
934790		1	TTI
886290		1	TTI
7077710		1	TTI
1119430		1	TTI
783210		1	TTI
2645510		1	TTI
1367070		2	TTI
2788980		1	TTI
1052730		1	TTI
525060		3	TTI
425370	129	4	TTI
705430		2	TTI
9593060		1	TTI
538920		4	TTI
540800		2	TTI
7078320		1	TTI
1322620		1	TTI
1933290		1	TTI
1260790		1	TTI
2161920		1	TTI
719170		1	TTI
1074020		2	TTI
934900		1	TTI
7993480		1	TTI
5395770		2	TTI
788320		2	TTI
874710		1	TTI
369130	1	5	TTI
1150980		1	TTI
1307980		1	TTI
1802440		1	TTI
65869240		1	TTI
956900		1	TTI
15384050		1	TTI
3912080		1	TTI
965150		2	TTI
708340		2	TTI
1545010		1	TTI
659460		1	TTI
567620		2	TTI
384560		1	TTI
948100		1	TTI
501970		1	TTI
711140		2	TTI
1792890		1	TTI
1115390		1	TTI
705110		1	TTI
991530		1	TTI
507000		1	TTI
3938870		1	TTI
578580	13	4	TTI
65637580		1	TTI
1096680		1	TTI
1118230		1	TTI
562350		1	TTI
652200	1	2	TTI
1100350		1	TTI
936270		1	TTI
538260	3	2	TTI
1375560	3	2	TTI
1885970		1	TTI
1524390		1	TTI
2479120		1	TTI
4962650		1	TTI
795350	1	2	TTI
1910610		1	TTI
813000	5	3	TTI
1324550		2	TTI
559810		1	TTI
5949000		1	TTI
998450		1	TTI
1573040		1	TTI
1893850		1	TTI
968280		1	TTI
2405040		1	TTI
872740		1	TTI
1644500		1	TTI
741380		1	TTI
1292910		1	TTI
1001320		1	TTI
3602410		1	TTI
1918690		1	TTI
2158780		1	TTI
641060		1	TTI
2546740		1	TTI
1563300		1	TTI
2879080		1	TTI
9416640		1	TTI
1919760		1	TTI
1626760		1	TTI
1398540		1	TTI
3130510		1	TTI
475950	2	2	TTI
9571830		1	TTI
464330	1	2	TTI
5821960		1	TTI
1947760		1	TTI
408100		1	TTI
1766870		1	TTI
1083600		1	TTI
1387880		1	TTI
7210660		1	TTI
1190560		1	TTI
1245510		1	TTI
1429810		1	TTI
1086060		1	TTI
10584130		1	TTI
2824010		1	TTI
2048240		1	TTI
575190	1	2	TTI
1920920		1	TTI
1547350		1	TTI
3200070		1	TTI
583870		1	TTI
1005210		1	TTI
1014540		1	TTI
557840		1	TTI
1428010		1	TTI
1364370		1	TTI
814220		1	TTI
562740		1	TTI
3311270		1	TTI
1286110		1	TTI
804340		1	TTI
1277580		1	TTI
11593070		1	TTI
6564870		1	TTI
8338580		1	TTI
1338890		1	TTI
1900270		1	TTI
581540		1	TTI
2524870		1	TTI
10132620		1	TTI
2767840		1	TTI
506090		1	TTI
4161830		1	TTI
12034520		1	TTI
776800	109	2	TTI
1525040		1	TTI
11709840		1	TTI
842650	5	2	TTI
1633920		1	TTI
5680050		1	TTI
25207110	1	1	TTI
233820	4.333	3	TTI
636910	6	1	TTI
10605010	1	1	TTI
201720	22.25	4	TTI
280290	2	2	TTI
813950	1	1	TTI
1434040	1	1	TTI
931210	1	1	TTI
293370	1.5	2	TTI
211060	4	4	TTI
462910	44	1	TTI
261050	3	1	TTI
314960	5	1	TTI
1476700	4	1	TTI
755810	1	1	TTI
293620	12	3	TTI
261650	2	1	TTI
563600	6.5	2	TTI
220420	5.2	5	TTI
598890	1.5	2	TTI
215300	1.5	2	TTI
472670	0	1	TTI
455510	2	1	TTI
1082070	1	1	TTI
562200	3	1	TTI
488550	1	1	TTI
1692990	1	1	TTI
268360	17	2	TTI
328140	1	1	TTI
561390	329	1	TTI
297080	72	1	TTI
811340	1	1	TTI
1139830	1	1	TTI
10192890	1	1	TTI
322380	6	1	TTI
2380	64.262	2168104	TTI
4500	26.978	1306950	TTI
4990	25.178	1137123	TTI
26550	10.117	17943	TTI
29530	11.571	12458	TTI
21730	11.813	35653	TTI
41750	8.288	3064	TTI
13980	15.021	129386	TTI
50470	8.758	1500	TTI
38370	8.864	4396	TTI
50380	9.674	1442	TTI
78560	7.813	222	TTI
42330	8.715	2941	TTI
38350	8.898	4286	TTI
332100	5.69	809	TTI
56020	7.902	830	TTI
47450	10.588	1698	TTI
41030	8.055	3397	TTI
56340	9.276	864	TTI
71430	8.04	304	TTI
167020	13.153	13	TTI
64630	8.063	488	TTI
124400	11.176	35	TTI
136870	16.363	22	TTI
78950	9.762	231	TTI
59630	11.977	637	TTI
8880	27.53	391087	TTI
24890	10.764	22604	TTI
44610	11.629	2306	TTI
66680	8.345	409	TTI
72890	8.821	300	TTI
78520	8.282	218	TTI
66270	9.571	415	TTI
84550	8.469	169	TTI
63350	11.739	477	TTI
347070	7.37	33	TTI
73250	6.923	266	TTI
526600	11.5	2	TTI
75630	7.531	250	TTI
282840	2.75	4	TTI
148710	8.388	18	TTI
88490	9.757	111	TTI
149560	15.636	12	TTI
356730	2.625	19	TTI
144700	7	19	TTI
140080	11.608	23	TTI
96850	4.104	70	TTI
508870	26.5	4	TTI
124900	10.791	25	TTI
101400	10.508	63	TTI
235830	19.5	2	TTI
354240	2.153	20	TTI
245930	6.333	7	TTI
296100	68	2	TTI
188170	13.7	10	TTI
145270	5.312	16	TTI
303060	74.5	3	TTI
4200240	1	1	TTI
298280	6	4	TTI
124240	11.892	31	TTI
152400	7	15	TTI
355860	0.888	14	TTI
131820	11.9	20	TTI
209500	19	6	TTI
111520	12.13	47	TTI
140560	13.875	19	TTI
1960100	1	1	TTI
502650	2.5	2	TTI
648070	1	1	TTI
854850	1	2	TTI
535680	7	2	TTI
468500	24.5	3	TTI
292030	1.5	3	TTI
982230	7	1	TTI
160010	27	12	TTI
241710	5	3	TTI
252650	13.25	4	TTI
352520	2.266	20	TTI
171830	29.777	10	TTI
467170	10	4	TTI
138390	51.888	9	TTI
126540	24	27	TTI
1021950	1	2	TTI
607880	1	5	TTI
556200	10	2	TTI
115210	19.173	47	TTI
177130	6	5	TTI
330650	5.266	28	TTI
1289300	10	1	TTI
363680	1.5	6	TTI
899340	1	1	TTI
126570	7.333	18	TTI
274290	29.333	3	TTI
105400	8.982	57	TTI
141800	19.785	14	TTI
252410	21.666	3	TTI
151180	33	19	TTI
226460	54	5	TTI
373380	11.2	8	TTI
829740	1	2	TTI
145200	12	12	TTI
498110	217.333	4	TTI
167880	5.833	6	TTI
351890	2	16	TTI
935310	1	1	TTI
198690	16.1	10	TTI
295810	13.5	2	TTI
555450	7	2	TTI
507340	23	3	TTI
1093820	19	1	TTI
204040	10.125	8	TTI
221350	5.142	8	TTI
652050	33	2	TTI
445710	23	5	TTI
189020	8.444	9	TTI
382250	21	2	TTI
186270	9	9	TTI
897020	5	3	TTI
480990	11	4	TTI
174990	30.666	4	TTI
266310	8.333	6	TTI
1060550	1	1	TTI
198630	1.5	4	TTI
150360	21.833	13	TTI
279240	2.333	3	TTI
214770	9.4	5	TTI
377090	10	3	TTI
290620	7.75	4	TTI
1046330	0	1	TTI
534490	1	1	TTI
373330	25	4	TTI
170140	11.125	8	TTI
1410920	2	2	TTI
224960	10.333	3	TTI
278590	16	5	TTI
255940	4.25	6	TTI
153330	10.818	11	TTI
194860	27.625	8	TTI
244060	20	7	TTI
1217970	2	2	TTI
433950	1.5	3	TTI
373290	10.5	6	TTI
374970	4.25	9	TTI
295920	12	4	TTI
415980	1	4	TTI
488910	18	2	TTI
411580	8.666	6	TTI
1082570	1	1	TTI
513960	2	1	TTI
892890	1	2	TTI
519850	14	5	TTI
423870	1.5	7	TTI
598160	59	5	TTI
2994600	1	1	TTI
376420	1.5	4	TTI
508810	1	2	TTI
194740	8.285	7	TTI
267220	2	5	TTI
263450	28.333	3	TTI
432360	1	2	TTI
979220	1	1	TTI
2382140		1	TTI
692140		1	TTI
796530		1	TTI
1364950		1	TTI
554670		1	TTI
899940		4	TTI
522820		4	TTI
879660		2	TTI
3017600		1	TTI
994250		4	TTI
2236490		1	TTI
636560		2	TTI
4007830		1	TTI
559220		2	TTI
996050		5	TTI
1127610		1	TTI
1726820		2	TTI
553630		4	TTI
638580	0	2	TTI
1138450		1	TTI
514640		2	TTI
1067010		1	TTI
1469520		1	TTI
1648130		1	TTI
385260	5	2	TTI
9190830		1	TTI
