TTFB,TTI,FREQ
163,3480,319331
552,4821,318922
160,3455,318913
161,3456,318439
14,3322,318348
558,4830,318061
6,2550,317760
556,4829,317726
553,4806,317622
554,4815,317582
557,4825,317414
159,3452,317293
562,4846,316915
559,4821,316763
560,4837,316554
555,4820,316227
561,4834,316162
564,4862,315862
156,3453,315768
601,4782,315709
158,3444,315589
157,3449,315482
563,4846,315410
566,4870,315343
568,4869,315082
565,4854,315049
567,4864,314202
569,4858,313204
570,4855,312455
155,3432,312415
154,3433,312125
572,4865,311905
576,4896.5,311430
153,3424,311407
578,4893,311312
571,4881,311222
152,3435,311104
151,3421,311103
574,4871,310960
573,4871,310942
577,4882,310801
580,4910,310550
581,4908,310524
150,3410,310409
579,4900,310356
575,4890,310247
583,4930,309409
582,4913,309081
15,3404,308764
149,3404,308688
148,3413,308516
584,4922,308041
585,4914,307326
586,4918,306914
587,4919,306729
588,4941,306684
147,3401,306654
593,4945,306342
589,4923,306276
592,4956,306239
590,4935,306185
146,3397,305854
591,4939,305512
599,4968,305215
594,4963,305142
145,3395,304890
595,4951,304510
600,4975,304200
596,4949,304158
144,3380,304153
597,4959,303917
4,2495,303378
598,4963,302979
5,2559,302725
602,4973,302022
604,4987,301947
142,3371,301481
608,4992,301368
143,3384,301125
603,4961,300550
141,3369,300267
607,4977,300256
140,3361,300177
610,5013,299765
606,4977,299757
616,5018,299618
605,4977,299580
611,4999,299225
609,4990,298781
612,5001,298760
613,5000,298632
614,5018,298328
16,3504,298180
139,3355,298009
615,5018,297921
617,5024,297897
138,3357,297518
618,5033,297250
619,5018,295941
621,5025,295721
137,3355,295584
620,5035,295404
624,5056,295050
136,3347,294570
625,5035,294427
628,5053,294341
622,5032,294284
623,5044,294070
630,5071,294027
627,5048,294017
133,3330,293922
134,3345,293841
626,5055,293565
631,5057,293437
633,5071,293378
135,3337,293236
629,5090,293077
632,5074,293055
132,3334,292441
634,5072,292267
639,5040,292153
635,5066,290987
637,5089,290586
638,5081,290055
131,3335,289913
636,5095,289890
640,5099,289884
130,3312,289809
645,5100,288725
643,5106,288443
641,5096,288256
644,5111,288204
646,5112,287859
647,5118,287756
17,3570,287690
650,5125,287377
642,5104,287318
129,3299,287131
128,3307,286840
648,5111,286499
649,5131,286476
651,5115,285898
127,3302,284707
652,5123,284639
656,5138,284513
653,5120,284073
655,5147,284066
654,5126,283769
