"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","12200","19469.057973085","55","2.672","1","1","3","1.517","0.791583103","145","12150.0","2","50","189","2.531","145","78","341","54.55","3.15","12.1 - 12.2 s","0.3793103448275862","0.5037030099181908","5"
"article","Desktop","0","12300","24751.388078991","42","1.714","1","1","2","1.79","0.832994354","124","12247.5","3","55","275","2.37","124","67","290","55.37","4.58","12.2 - 12.3 s","0.3387096774193548","0.5037030099181908","5"
"article","Desktop","0","12400","24132.937584617","46","2.282","1","1","3","1.36","0.812059397","136","12347.0","5","39","114","2.132","136","80","279","61.07","1.9","12.3 - 12.4 s","0.3382352941176471","0.5037030099181908","5"
"article","Desktop","0","12500","23141.23234709","53","2.547","1","1","2","1.313","0.80567672","150","12440.5","3","50","232","2.213","150","88","324","59.86","3.87","12.4 - 12.5 s","0.35333333333333333","0.5037030099181908","5"
"article","Desktop","0","12600","19331.586508253","48","1.979","1","1","2","1.875","0.791625883","120","12550.0","2","52","204","2.666","120","63","316","53.39","3.4","12.5 - 12.6 s","0.4","0.5037030099181908","5"
"article","Desktop","0","12700","22268.806985439","42","2.357","1","1","2","1.471","0.821251462","121","12652.0","1","54","249","2.289","121","72","270","60.0","4.15","12.6 - 12.7 s","0.34710743801652894","0.5037030099181908","5"
"article","Desktop","0","12800","20378.42729828","46","1.804","1","1","2","1.308","0.799669308","120","12754.0","1","47","154","2.0","120","68","235","57.14","2.57","12.7 - 12.8 s","0.38333333333333336","0.5037030099181908","5"
"article","Desktop","0","12900","18766.762883491","52","2.519","1","1","3","1.5","0.763493458","120","12853.5","5","41","196","2.591","120","60","296","52.17","3.27","12.8 - 12.9 s","0.43333333333333335","0.5037030099181908","5"
"article","Desktop","0","13000","25911.583904375","48","2.208","1","1","2","1.373","0.784789967","123","12955.0","2","51","162","2.235","123","65","272","53.72","2.7","12.9 - 13.0 s","0.3902439024390244","0.5037030099181908","5"
"article","Desktop","0","13100","20659.098961419","43","2.953","1","2","4","1.324","0.77433735","114","13053.5","2","48","184","2.438","114","62","268","55.36","3.07","13.0 - 13.1 s","0.37719298245614036","0.5037030099181908","5"
