"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","non_bounce_sessions","page_visit_time","session_duration","session_length","sessions","bounces","beacons","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop","0","3800","3149.783653826","13440","2.167","1","1","2","1.738","0.729301479","25990","3750.0","511","32","176","2.859","25990","10859","72615","42.62","2.93","3.7 - 3.8 s","0.517121969988457","0.45314564657031","5"
"article","Desktop","0","3900","3213.257470586","12593","2.184","1","1","2","1.727","0.728119384","24285","3850.0","502","31","172","2.859","24285","10249","67889","43.09","2.87","3.8 - 3.9 s","0.5185505456042825","0.45314564657031","5"
"article","Desktop","0","4000","3273.193039379","11956","2.183","1","1","2","1.688","0.72707771","23124","3951.0","453","31","170","2.817","23124","9689","63598","42.74","2.83","3.9 - 4.0 s","0.5170385746410655","0.45314564657031","5"
"article","Desktop","0","4100","3373.144470693","11486","2.194","1","1","2","1.7","0.723859566","21935","4050.0","452","31","173","2.849","21935","9109","60906","42.4","2.88","4.0 - 4.1 s","0.5236380214269433","0.45314564657031","5"
"article","Desktop","0","4200","3494.578545924","10696","2.151","1","1","2","1.677","0.727890458","20682","4149.0","419","32","170","2.79","20682","8805","56243","43.45","2.83","4.1 - 4.2 s","0.517164684266512","0.45314564657031","5"
"article","Desktop","0","4300","3533.926427812","10060","2.18","1","1","2","1.668","0.726255991","19458","4250.0","393","32","174","2.795","19458","8195","53111","42.98","2.9","4.2 - 4.3 s","0.5170109980470757","0.45314564657031","5"
"article","Desktop","0","4400","3631.42099201","9723","2.178","1","1","2","1.655","0.725345135","18756","4350.0","370","32","172","2.784","18756","7919","50961","43.07","2.87","4.3 - 4.4 s","0.5183941138835573","0.45314564657031","5"
"article","Desktop","0","4500","3678.449661172","9277","2.165","1","1","2","1.659","0.725144253","17845","4450.0","361","32","170","2.785","17845","7590","48463","43.41","2.83","4.4 - 4.5 s","0.5198655085458112","0.45314564657031","5"
"article","Desktop","0","4600","3772.902515464","8805","2.155","1","1","2","1.635","0.723257133","16858","4550.0","352","32","173","2.761","16858","7159","45375","43.37","2.88","4.5 - 4.6 s","0.5223039506465773","0.45314564657031","5"
"article","Desktop","0","4700","3820.387577152","8108","2.149","1","1","2","1.632","0.729526343","15884","4650.0","331","32","164","2.729","15884","6857","42391","44.09","2.73","4.6 - 4.7 s","0.5104507680684967","0.45314564657031","5"
"article","Desktop","0","4800","3934.85257338","7695","2.153","1","1","2","1.648","0.730757626","15072","4749.0","297","32","171","2.748","15072","6548","41407","44.32","2.85","4.7 - 4.8 s","0.5105493630573248","0.45314564657031","5"
"article","Desktop","0","4900","3991.803654555","7506","2.129","1","1","2","1.647","0.72644621","14476","4850.0","279","31","163","2.751","14476","6136","38843","43.22","2.72","4.8 - 4.9 s","0.5185134014921249","0.45314564657031","5"
"article","Desktop","0","5000","4087.373039599","7009","2.136","1","1","2","1.601","0.728421618","13711","4950.0","275","31","163","2.693","13711","5971","36049","44.44","2.72","4.9 - 5.0 s","0.5111953905623222","0.45314564657031","5"
"article","Desktop","0","5100","4147.241535095","6755","2.159","1","1","2","1.638","0.726839879","13153","5049.0","292","32","168","2.747","13153","5694","35203","44.27","2.8","5.0 - 5.1 s","0.513571048430016","0.45314564657031","5"
"article","Desktop","0","5200","4216.409165991","6451","2.129","1","1","2","1.674","0.727660392","12537","5150.0","272","33","178","2.77","12537","5353","34913","43.64","2.97","5.1 - 5.2 s","0.5145569115418361","0.45314564657031","5"
"article","Desktop","0","5300","4314.924038194","6275","2.172","1","1","2","1.631","0.723796372","12067","5250.0","267","32","164","2.761","12067","5121","32446","43.4","2.73","5.2 - 5.3 s","0.5200132593022292","0.45314564657031","5"
"article","Desktop","0","5400","4383.380615458","5694","2.095","1","1","2","1.624","0.734884654","11378","5351.0","214","32","169","2.673","11378","5026","29695","45.02","2.82","5.3 - 5.4 s","0.5004394445420988","0.45314564657031","5"
"article","Desktop","0","5500","4459.150591438","5598","2.117","1","1","2","1.569","0.728559291","11019","5450.0","221","32","164","2.644","11019","4839","28478","44.81","2.73","5.4 - 5.5 s","0.5080315818132317","0.45314564657031","5"
"article","Desktop","0","5600","4550.279015507","5232","2.165","1","1","2","1.574","0.732010464","10451","5550.0","221","33","165","2.658","10451","4660","27114","45.55","2.75","5.5 - 5.6 s","0.5006219500526266","0.45314564657031","5"
"article","Desktop","0","5700","4663.984946601","5073","2.084","1","1","2","1.605","0.73400195","10152","5650.0","215","32","160","2.646","10152","4495","26224","45.23","2.67","5.6 - 5.7 s","0.4997044917257683","0.45314564657031","5"
"article","Desktop","0","5800","4825.012229269","4629","2.144","1","1","2","1.546","0.74361241","9673","5750.0","209","33","164","2.572","9673","4500","24281","47.55","2.73","5.7 - 5.8 s","0.4785485371653055","0.45314564657031","5"
"article","Desktop","0","5900","4765.051369185","4754","2.093","1","1","2","1.609","0.732311822","9418","5850.0","160","32","161","2.665","9418","4176","24577","45.11","2.68","5.8 - 5.9 s","0.5047780845190062","0.45314564657031","5"
"article","Desktop","0","6000","4888.190417961","4389","2.059","1","1","2","1.583","0.739125174","8907","5950.0","178","31","152","2.598","8907","4051","22604","46.41","2.53","5.9 - 6.0 s","0.4927585045469855","0.45314564657031","5"
"article","Desktop","0","6100","4919.335390145","4234","2.124","1","1","2","1.569","0.73586046","8606","6050.0","153","32","152","2.614","8606","3905","21985","46.2","2.53","6.0 - 6.1 s","0.49198233790378804","0.45314564657031","5"
"article","Desktop","0","6200","5082.593250806","4033","2.097","1","1","2","1.594","0.740716722","8303","6149.0","185","31","154","2.613","8303","3795","21117","46.75","2.57","6.1 - 6.2 s","0.48572805010237263","0.45314564657031","5"
"article","Desktop","0","6300","5140.43035126","3979","2.127","1","1","2","1.552","0.736399601","8093","6250.0","153","33","159","2.598","8093","3701","20473","46.61","2.65","6.2 - 6.3 s","0.49165945879154827","0.45314564657031","5"
"article","Desktop","0","6400","5214.363758005","3688","2.197","1","1","2","1.565","0.740236138","7615","6350.0","159","32","156","2.629","7615","3502","19473","46.97","2.6","6.3 - 6.4 s","0.48430728824688113","0.45314564657031","5"
"article","Desktop","0","6500","5250.582550339","3549","2.126","1","1","2","1.567","0.742315235","7375","6450.0","158","34","168","2.591","7375","3421","18658","47.4","2.8","6.4 - 6.5 s","0.48122033898305083","0.45314564657031","5"
"article","Desktop","0","6600","5445.147751323","3375","2.149","1","1","2","1.581","0.748117406","7201","6549.0","147","32","159","2.588","7201","3370","18136","47.77","2.65","6.5 - 6.6 s","0.468684904874323","0.45314564657031","5"
"article","Desktop","0","6700","5490.42259126","3237","2.067","1","1","2","1.519","0.747926116","6895","6649.0","150","32","148","2.49","6895","3297","16706","48.88","2.47","6.6 - 6.7 s","0.4694706308919507","0.45314564657031","5"
"article","Desktop","0","6800","5578.4142714","3199","2.153","1","1","2","1.596","0.746485434","6741","6751.0","148","32","164","2.618","6741","3154","17119","47.84","2.73","6.7 - 6.8 s","0.4745586708203531","0.45314564657031","5"
"article","Desktop","0","6900","5627.882073407","2999","2.201","1","1","2","1.577","0.749675707","6411","6850.0","142","32","157","2.607","6411","3064","16258","48.88","2.62","6.8 - 6.9 s","0.4677897363905787","0.45314564657031","5"
"article","Desktop","0","7000","5753.201080903","2836","2.116","1","1","2","1.557","0.749367507","6061","6950.0","122","31","149","2.548","6061","2901","15080","48.85","2.48","6.9 - 7.0 s","0.467909585876918","0.45314564657031","5"
"article","Desktop","0","7100","5825.559799869","2769","2.123","1","1","2","1.526","0.749700937","5950","7050.0","108","34","164","2.514","5950","2853","14630","48.84","2.73","7.0 - 7.1 s","0.4653781512605042","0.45314564657031","5"
"article","Desktop","0","7200","5921.020109635","2626","2.202","1","1","2","1.544","0.757607857","5780","7150.0","127","32","157","2.545","5780","2839","14342","50.22","2.62","7.1 - 7.2 s","0.45432525951557096","0.45314564657031","5"
"article","Desktop","0","7300","5889.088756863","2552","2.163","1","1","2","1.509","0.744270041","5406","7250.0","111","32","151","2.53","5406","2604","13369","49.18","2.52","7.2 - 7.3 s","0.47206807251202365","0.45314564657031","5"
"article","Desktop","0","7400","6017.092888819","2422","2.195","1","1","2","1.533","0.751628449","5305","7351.0","110","34","160","2.535","5305","2612","13042","50.28","2.67","7.3 - 7.4 s","0.456550424128181","0.45314564657031","5"
"article","Desktop","0","7500","6124.799502403","2368","2.124","1","1","2","1.509","0.75445392","5207","7451.0","97","33","154","2.475","5207","2578","12571","50.45","2.57","7.4 - 7.5 s","0.4547724217399654","0.45314564657031","5"
"article","Desktop","0","7600","6104.871259134","2355","2.162","1","1","2","1.571","0.748173328","5026","7550.0","112","32","154","2.584","5026","2394","12646","48.72","2.57","7.5 - 7.6 s","0.4685634699562276","0.45314564657031","5"
"article","Desktop","0","7700","6374.703673059","2130","2.15","1","1","2","1.563","0.76441639","4877","7650.0","114","32","156","2.502","4877","2459","11811","51.63","2.6","7.6 - 7.7 s","0.4367438999384868","0.45314564657031","5"
"article","Desktop","0","7800","6375.209084704","2118","2.07","1","1","2","1.55","0.760325971","4723","7750.0","89","34","159","2.478","4723","2337","11432","50.43","2.65","7.7 - 7.8 s","0.4484437857294093","0.45314564657031","5"
"article","Desktop","0","7900","6421.717249717","2025","2.164","1","1","2","1.525","0.757804464","4517","7852.0","89","35","175","2.496","4517","2238","11025","50.54","2.92","7.8 - 7.9 s","0.4483063980518043","0.45314564657031","5"
"article","Desktop","0","8000","6562.787418719","2000","2.129","1","1","2","1.563","0.768375933","4611","7950.0","87","32","154","2.486","4611","2341","11239","51.75","2.57","7.9 - 8.0 s","0.4337453914552158","0.45314564657031","5"
