IMAGES,TTI,FREQ
279,4646,84240
578,7187,84235
570,7486,83991
551,8215,83675
275,6084,83109
263,6958,82025
206,7754,81925
557,7490,81826
567,7049,81628
534,7484,81029
526,7676,80888
573,7975,80837
584,7029,80683
560,7462,80200
241,7032,80079
572,7275,79931
515,7504.5,79920
523,8259,79093
268,6788,78231
439,8515,78119
586,7751,77972
438,8219.5,76936
550,7580,76789
286,6326,76215
399,5939,75657
282,5469,75639
319,5678,75556
229,6204,75512
562,6971,75277
593,7031,75060
566,7728,74616
280,4786,74496
549,7383,74301
435,8141.5,74242
547,7207,74158
228,6755.5,74142
601,6148,73835
585,8465,73592
571,7304,73279
559,9029,73070
432,7742,72935
288,6501,72914
590,6569,72418
568,7718,72337
589,5915,71864
321,6224,71617
536,6968.5,71586
433,8618,71465
436,7876,71333
603,6903,71321
555,7313,70411
299,6759,70341
563,6886,70262
297,6969,69915
243,6360,69657
248,6477,69591
587,7264,69202
400,6469,68902
434,8966,68847
420,5549,68261
304,5976,68096
598,6603,67791
606,7106,67321
599,6422,67308
430,7637,67045
616,6712,66853
227,6088,66237
418,5665,66119
222,6875,66091
580,8820,66057
588,6551,65825
395,5780,65801
259,6797,65800
242,6589,65631
544,6925,65493
565,8218,65143
245,6306,65025
398,5913.5,64692
429,6923,64601
261,6223,64462
223,6666,64456
611,7261,64094
249,6544,63980
406,5720,63823
561,8128,63668
431,8113,62750
600,6243,62419
393,5271,62176
602,7565,61950
413,6526,61195
396,5726,61011
604,6919,61003
605,8232.5,60794
274,5894,60431
405,6402,60399
411,6573,60317
402,5723,60289
594,6807,60034
392,5314,59655
394,5850,59550
415,6553,59085
309,5888,58179
428,7721.5,58122
397,6198,58091
427,6465,57765
597,6307,57713
270,6779,57385
421,5840,56407
608,7482,56075
298,6669,56026
414,7057.5,56006
592,7082,55928
269,6302,55845
391,6076,55134
295,6451.5,55074
591,7041,55061
623,6731,54847
425,6616,54543
401,5657,54451
417,6117,53348
291,6469,53341
617,7311.5,52940
610,7883,52704
424,7142,52371
419,6530,52258
389,5845,52203
614,7042,51971
607,6489,51510
409,6325.5,51214
305,6378,51071
328,6747,51067
404,6903,50867
302,6671,50843
595,6566,50843
426,8064,50758
410,6514,50260
596,6996.5,50164
403,6043,49495
317,6161,49483
315,5915,49391
361,5201,48570
618,7194.5,48542
364,5719,48208
390,6178,47895
416,7315,47849
422,7166,47534
360,4954,47402
388,6464,47230
412,7137,47037
292,6207,46577
423,8005,46284
612,6898,46109
318,5901.5,45392
387,6755.5,45324
408,7267.5,45188
407,6808,44952
324,5706,44940
380,7517.5,44786
625,7234,44202
334,7278,44179
609,7821,44178
369,5596,44098
363,5907,43311
271,6986,43244
