LASTFONT,TTI,FREQ
2038,4428.5,246
1145,3138.5,246
1345,3734,246
997,2955.5,246
1591,4291.5,246
1973,4937.5,246
1114,3099.5,246
1223,3655,246
1938,4568.5,246
1499,4103.5,246
1411,3777,246
1050,3118,246
1442,3578.5,246
1459,4248.5,246
1954,4907.5,246
1261,3082.5,246
1325,3395,245
1947,5249,245
929,2781,245
1865,4644,245
1647,4164,245
1496,3971,245
1515,3872,245
1711,4184,245
998,2844,245
1804,4513,245
2079,5251,245
1250,3733,245
1064,3114,245
1141,3175,245
1726,4627,245
1495,4053,245
1195,3312,245
1075,3003,245
1579,4236,245
1170,3642,245
1341,3766,245
994,2680,245
1716,4505,245
1613,4492,244
1937,4538,244
1395,3761.5,244
1836,4812,244
1297,3619,244
1841,5021,244
978,2883,244
1436,3831,244
1814,4559.5,244
1634,4182.5,244
1309,3429,244
1133,3360.5,244
1660,4302,244
1592,4084,244
1348,3814,244
1011,3008,244
1070,2865,244
1238,3666,244
1233,3558,243
1503,4059,243
1754,4360,243
1553,4278,243
1602,4026,243
1301,3673,243
1155,2954,243
1469,3917,243
1519,4132,243
1830,4609,243
1307,3587,243
1451,3864,243
1247,3493,243
1440,3903,243
1817,4248,243
1371,3587,243
977,2993,243
1413,3903,243
1303,3315,243
1806,4598,243
1684,4469,243
1706,4537,243
1638,4493,243
1317,3640,243
1559,4260,243
1316,3589,243
2236,5402,243
988,2760,243
1464,3947,243
1276,3439.5,242
1843,4554,242
1209,3490.5,242
1225,3457.5,242
1160,3259,242
1914,4658,242
2141,5301,242
1188,3199,242
1031,2957,242
1392,3788.5,242
1759,4534,242
1680,4113.5,242
1300,3641,242
1567,4213.5,242
1744,4258.5,242
1784,4418,242
1883,4763.5,242
1747,4183,242
1103,3393.5,242
1688,4365,242
1802,4341,242
1728,4351,242
1357,3473.5,242
993,2642.5,242
1762,4494.5,242
1448,3731,242
1502,3854.5,242
1903,5111,241
1212,3223,241
1415,3785,241
1298,3539,241
1644,4301,241
1586,4061,241
1143,3158,241
1213,3214,241
1681,4632,241
1322,3333,241
1933,4798,241
1675,4409,241
1127,3200,241
2104,5130,241
1622,4344,241
1554,4497,241
1809,4190,241
1079,3202,241
1362,3616,241
2254,5382,241
1541,4035.5,240
1635,4405,240
1069,3021,240
1125,2970,240
1037,2856.5,240
1391,3847,240
1834,4281,240
1358,3883,240
985,2891,240
996,2755.5,240
1030,3102.5,240
1645,4788.5,240
1179,3370,240
1646,4306.5,240
1290,3539,240
1500,3947,240
1965,5229.5,240
1752,4347.5,240
1751,4700.5,240
1898,4623.5,240
813,2632.5,240
1810,4620,240
1542,3914,240
1520,4205.5,240
1354,3582,240
1642,4247.5,240
1630,4431.5,240
1410,3881.5,240
2117,5037,239
2003,4872,239
900,2758,239
888,2521,239
1735,4242,239
1494,3972,239
1756,4471,239
1876,4903,239
1029,2951,239
1104,2876,239
1749,4672,239
1026,2820,239
982,2895,239
1120,3321,239
1151,3536,239
1294,3586,239
2169,5031,239
1794,4298,239
1087,3040,239
1115,3218,239
964,2761,239
948,2777,239
899,2516,239
896,2578,239
954,2558,239
1780,4894,239
995,2921,239
1826,4216,239
1529,4263,239
1798,4914,238
968,2851.5,238
1321,3574,238
1748,4645,238
1163,3098,238
1183,3285,238
1727,4902.5,238
1153,3295.5,238
1587,4441,238
1038,3094,238
1447,3556,238
1211,3498,238
1304,3659.5,238
1054,3077.5,238
1857,4310.5,238
2013,4697,238
1439,3758,238
