"pagegroupname","devicetypename","goalcomplete","bucket","session_loadtime","sticky_beacons","session_persistence","session_persistence_25","session_persistence_50","session_persistence_75","avg_page_index","avg_page_position","page_beacons","page_timer","session_length","sessions","beacons","non_bounce_sessions","bounces","page_visit_time","session_duration","bounce_rate","session_duration_minutes","bucket_label","retention_rate","beacon_pc","website"
"article","Desktop",0,3400,16545.857963632,245279,4.254,1,3,6,3.861,0.743235929,436953,3350.0,6.249,436953,2529681,54650,91216,172,1424,23.86,23.73,"3.3 - 3.4 s",0.5613395491048236,1.0,3
"article","Desktop",0,3500,16918.539785126,230917,4.229,1,3,5,3.842,0.745556524,414676,3450.0,6.197,414676,2380566,52230,87943,173,1421,24.26,23.68,"3.4 - 3.5 s",0.556861260357484,1.0,3
"article","Desktop",0,3600,17390.313942514,218384,4.219,1,3,5,3.802,0.746121759,394123,3550.0,6.14,394123,2238915,49441,84949,173,1411,24.65,23.52,"3.5 - 3.6 s",0.5541011308652375,1.0,3
"article","Desktop",0,3700,17683.475564584,206105,4.207,1,3,5,3.772,0.747456514,374243,3650.0,6.089,374243,2106548,46872,82331,173,1398,25.15,23.3,"3.6 - 3.7 s",0.5507250636618454,1.0,3
"article","Desktop",0,3800,18139.386759019,194734,4.194,1,3,5,3.746,0.749724334,356752,3750.0,6.036,356752,1989697,45258,79709,173,1394,25.59,23.23,"3.7 - 3.8 s",0.5458525810647172,1.0,3
"article","Desktop",0,3900,18420.350933458,183922,4.18,1,3,5,3.727,0.751065818,338812,3850.0,5.996,338812,1875763,42724,77337,173,1389,26.12,23.15,"3.8 - 3.9 s",0.5428438189910629,1.0,3
"article","Desktop",0,4000,18832.019193963,173767,4.151,1,3,5,3.688,0.752359949,322018,3950.0,5.929,322018,1761770,40403,74442,173,1379,26.43,22.98,"3.9 - 4.0 s",0.5396189032911204,1.0,3
"article","Desktop",0,4100,19171.549804687,164441,4.155,1,3,5,3.663,0.754758657,307872,4050.0,5.883,307872,1670490,38371,73039,173,1371,27.1,22.85,"4.0 - 4.1 s",0.534121323147282,1.0,3
"article","Desktop",0,4200,19424.351611177,155914,4.113,1,3,5,3.638,0.756661487,293688,4150.0,5.822,293688,1578090,36521,71043,173,1357,27.63,22.62,"4.1 - 4.2 s",0.5308831140530086,1.0,3
"article","Desktop",0,4300,19774.59906678,147807,4.117,1,3,5,3.595,0.758797288,281145,4250.0,5.76,281145,1491646,35156,70043,172,1347,28.47,22.45,"4.2 - 4.3 s",0.5257322733820626,1.0,3
"article","Desktop",0,4400,20021.775073489,139689,4.125,1,3,5,3.552,0.761045958,269003,4350.0,5.694,269003,1411396,32781,69689,171,1331,29.5,22.18,"4.3 - 4.4 s",0.5192841715519901,1.0,3
"article","Desktop",0,4500,20392.33845257,131883,4.107,1,3,5,3.528,0.76574789,258597,4450.0,5.623,258597,1339984,31106,69301,170,1317,30.46,21.95,"4.4 - 4.5 s",0.5099943154792979,1.0,3
