DOM_SIZE,TTI,FREQ
1154,5799.5,174364
911,4836,174303
1434,6379,174140
819,4310,174113
1635,5855,174103
1038,5394,174008
1011,4996,174000
1427,6316,173757
903,4919,173743
1386,5812,173692
1498,5476,173685
1161,5779,173659
1297,5393,173656
1470,5933,173647
1472,5643,173639
1304,5540,173214
817,4513,173209
1366,5447,173169
1032,5525,172998
1149,5663,172921
1296,5585,172917
1005,4969,172842
1374,6080,172516
963,5612,172496
906,5099,172356
995,5218,172250
952,5292,172210
664,4661,172202
1295,5288,172187
1639,6031,172173
1306,5586,171987
1608,5348,171730
884,5082,171673
586,5558,171670
1496,5461,171557
1169,5840,171417
1477,5689,171382
1492,5189,171321
968,5383,171309
1435,6405,171272
892,5081,171207
893,5109,171144
1474,5575,171087
966,5603,171085
1287,5849,171084
1577,5971,170964
1151,5804,170868
967,5523,170604
1494,5252,170557
2278,5549,170293
1637,6070,170180
1212,6218,170107
1617,6021,170022
1506,5235,169873
1497,5473,169775
1483,5647,169745
1136,5604,169741
1486,5415,169740
426,6621,169552
994,5198,169515
962,5677,169466
1636,5943,169410
1153,5827,169342
896,5148,169334
1412,6004,169333
1220,5649,169286
1315,5992,169181
1463,6138,169056
1056,5843,169038
1441,6084,169019
1298,5436,169008
842,5476,168971
321,9528,168953
1162,5876,168912
1437,6207,168867
947,5273,168808
1417,6267.5,168796
1133,5716,168656
1145,5572,168565
914,4921,168449
662,4734,168323
1214,6213,168292
1476,5845,168273
1290,5543,168273
1415,6554.5,168158
970,5499,168151
588,5619.5,168104
1294,5455.5,167906
1607,5331,167861
977,5237,167774
815,4511,167744
1478,5693,167738
1640,6096,167536
1303,5600,167427
1440,6158,167371
1493,5349,167335
916,5124,167317
1260,5689,167285
1155,5805,167228
1143,5543,167063
430,7258,167040
868,4603,166864
1226,5610,166790
989,5246.5,166742
653,5018,166643
821,4338,166531
1072,5118,166471
1485,5535,166438
1160,5849,166419
1519,5558,166362
1368,5271,166343
971,5434,166300
874,4733,166275
1455,6025,166260
1438,6316,166205
988,5155,166193
1219,5611,166063
969,5553,166030
1134,5732,166023
464,5168,166008
429,7308.5,165956
553,5143.5,165942
1569,6165,165884
907,5043,165854
1044,5910,165819
1150,5896,165468
1164,5970,165319
1382,6052,165301
946,5039,165244
1372,5927,165139
1047,5546,165063
1305,5602,165015
1479,5670,165014
1365,5157,164962
332,4893,164927
1488,5619,164886
1135,5769,164852
326,6436,164795
1480,5658,164714
1408,5754,164598
1719,6071,164594
1641,6033,164448
1487,5535,164433
908,5149,164409
1638,6086,164369
1778,5731,164306
1137,5769,164255
1741,5533,164249
1450,6017,164153
1230,5282,164145
1048,5498,164115
854,5222,164067
1166,5786,164054
1376,4897,164024
1078,5608,163963
1325,5712,163951
1216,5991,163940
1355,4761,163896
980,5311,163831
841,5172,163825
469,5228,163741
1407,6023,163692
1694,8629.5,163678
302,7932.5,163674
871,4884,163644
212,7733,163637
1634,5903,163633
1454,6112,163512
869,4880,163428
2274,5326,163318
1482,5727,163166
663,4554,163142
441,7010,163076
992,5168,162793
978,5324,162791
1157,5866,162787
1554,5850,162771
80,3029,162761
725,6565,162722
1144,5623,162645
1074,5490,162600
915,5041,162576
1362,5507,162556
1152,5776,162511
1452,6102,162485
1159,5844,162407
1075,5432,162290
1413,5788,162193
1341,5791,162174
1069,4923,162142
1308,5684,162090
855,5138,162061
650,5260,161993
909,5226,161955
973,5249,161888
1128,5954,161795
917,4960,161768
1285,5582,161595
1605,5231.5,161528
1552,5459,161499
1481,5683,161490
637,5546,161487
1451,6010,161435
708,4159,161397
322,8716,161371
1213,6233,161359
1130,5921,161314
870,4937,161214
1507,5281,161205
990,5140,161135
1489,5478,161121
1520,5607,161058
1286,5479,161004
1606,5275,160946
163,960,160863
1632,5959,160856
1132,5724,160816
1644,6086,160750
1217,5953,160730
944,5098,160710
1082,5470,160707
1633,5930,160705
1045,5474,160658
1575,5904,160570
631,4368,160540
975,5237,160517
1574,5868,160486
660,4674,160452
1446,5993,160402
1642,6123,160320
651,4841,160317
1416,6284,160315
1740,5521,160258
1615,5384,160140
1165,5831,160112
427,6903,160057
1279,5455,159945
1041,5837,159932
1138,5705,159917
1442,6086,159877
1688,6072,159838
1105,5564,159825
585,5688,159814
1439,6319,159812
1163,5933,159696
1414,6087,159691
993,5131,159657
1231,5418,159645
912,5075,159643
1444,6424,159642
1612,5349,159626
1140,5616,159566
976,5253,159561
1228,5396,159536
630,4432,159522
945,5072,159511
1227,5697,159470
1610,5394,159429
1319,5811,159395
183,4993,159373
1621,5717,159364
1643,6049,159333
1387,5447.5,159272
1361,5672,159234
463,5975,159200
1221,5583,159111
987,5097,159090
1696,7287,159054
1645,6211,159033
1215,6164.5,159032
991,5227.5,159028
1125,5690,159008
1316,5930,159003
1234,5498,158938
1147,5766,158885
582,4835,158745
1410,5664,158679
1129,5877,158667
1307,5731,158603
981,5347,158598
982,5127,158493
1453,5985,158458
1367,5300,158439
943,5177,158213
1364,5184,158182
1328,5878,158139
1622,5851,158057
972,5378,158018
1611,5505,157976
1509,5468,157958
1508,5370,157948
1625,5960,157895
1447,6059,157858
1139,5676,157856
1445,6291,157845
1218,5807,157844
1516,5491,157824
1630,5897,157786
1613,5520.5,157748
1626,5698,157744
1409,5810,157689
1043,5830,157425
1629,5810,157385
1327,5790,157375
1549,5487,157362
2270,5123,157339
1126,5863,157299
1623,5792,157280
330,4057,157234
2279,5503,157092
1313,5820,157048
1627,5819,157003
1406,5297,156729
1127,5947,156728
1324,5857,156721
1049,5523,156709
1146,5728,156687
1317,5802,156626
1847,6871,156462
1378,5786,156458
1518,5608,156316
1066,5427,156279
1624,5772,156147
654,4668,156143
857,4767,156116
1628,5858,156105
1370,5644,156094
1148,5818,156052
1106,5543.5,156042
1614,5522,155947
451,6675,155922
76,2943,155770
1443,6171,155623
633,4857,155578
1288,5559,155558
1599,5340,155552
1526,5625,155530
450,6559,155518
867,4758,155380
1524,5667,155331
872,4735,155305
2268,5302,155267
1276,5550,155263
1375,5526,155252
984,5118,155241
1080,5690,155154
918,5118,155131
215,6214,155093
191,5387,154972
1631,5851,154960
1604,5405,154951
910,5076,154926
1553,5505,154917
1084,5591,154907
1618,5629,154901
1131,5785,154877
1742,5482,154866
1616,5550,154769
1548,5358,154752
829,4476,154655
1578,5667,154648
1646,6117,154640
1584,5769,154630
2276,5379,154522
1314,5768,154519
1576,5904,154502
1585,5653,154481
1142,5804,154463
1369,5407,154368
1326,5818,154361
983,5201,154309
1083,5404,154306
839,5257,154274
1592,5527,154249
1360,5452,154220
1699,7467,154219
1686,6104,154164
1619,5643,154158
1583,5620,154037
2275,5462,153898
1338,5427,153879
1309,5814.5,153866
1567,5978,153736
1449,5892,153678
866,4771,153631
1521,5681,153597
1087,5610,153590
1310,5783,153458
1620,5703,153386
1581,5755,153310
706,4173,153222
1323,5949,153058
1050,5668,153044
1358,5664,152988
1124,5812,152936
1320,5942,152819
1383,5694,152765
1591,5545,152717
1329,5955,152433
1312,5773,152428
840,5393,152428
1235,5337,152398
1582,5660,152349
1331,5648,152326
399,6897,152287
694,4915,152260
1311,5697,152224
1289,5714,152113
924,5135,152089
837,4924,152007
1258,5434,151970
1104,5680,151954
1058,5642,151922
1580,5793,151891
1728,5606,151854
1141,5825,151812
1555,5562,151704
836,4855.5,151652
1525,5642,151646
1820,5677,151636
1589,5448,151593
659,4710,151477
1523,5578,151458
589,5186,151446
1071,5599,151386
1388,5345,151375
1042,5711,151350
925,5164,151213
1283,5487,151190
1371,5571,151022
985,5153,150992
1330,5809,150938
1070,5594,150933
584,5425,150893
1648,6063,150858
1363,5331,150778
1573,5914,150748
1579,5752,150655
1534,5552,150485
1052,5770,150454
1543,5673,150400
1522,5600,150357
1405,5611,150313
1603,5394,150295
449,6198.5,150294
1647,6082,150294
1781,5840,150278
1073,5874,150135
986,5237,150124
1229,5570,150030
1065,5623,149989
942,5127,149962
1109,5920,149961
1550,5524,149951
1256,5392,149864
1284,5624,149841
1093,5735,149608
398,7220,149499
205,6221,149438
1558,5501,149407
1602,5533,149282
858,5029,149260
1240,5474,149252
1557,5464,149144
1089,5490,149117
1600,5481,149101
856,5009,149090
768,5333,149031
428,7087,149021
1379,5592,148922
1108,5656,148922
1051,5775,148922
865,4624,148875
1096,5670,148874
1593,5517,148863
1551,5433,148735
919,5127,148724
558,4710,148705
1590,5625.5,148696
1333,5706,148640
1322,5937,148611
1281,5520,148515
461,6896,148499
208,7256,148472
1280,5508.5,148442
1542,5576,148377
939,5228,148338
1081,5730,148305
462,6808,148216
479,4979,148210
583,4969,148122
657,4880,148100
