DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Desktop,1220,3155.000,2218231
Desktop,1130,2766.000,2209418
Desktop,540,1463.000,2209284
Mobile,980,3966.000,2207517
Desktop,1910,3216.000,2203828
Desktop,1230,3255.000,2200864
Desktop,1550,3437.000,2200056
Desktop,1580,3463.000,2198985
Mobile,1600,4291.000,2197382
Mobile,1340,4104.000,2194098
Desktop,1630,3773.000,2193940
Desktop,1480,3331.000,2192046
Desktop,1570,3539.000,2191903
Mobile,510,3021.000,2189196
Desktop,1420,3137.000,2187118
Desktop,1660,3678.000,2184502
Desktop,1120,2884.000,2184444
Mobile,1750,3995.000,2181244
Mobile,1350,4001.000,2180253
Desktop,1600,3433.000,2179473
Mobile,1660,4391.000,2177302
Desktop,1590,3394.000,2176491
Desktop,1390,3160.000,2175798
Mobile,1360,4059.000,2174641
Desktop,1650,3784.000,2173546
Mobile,270,3019.000,2173298
Desktop,1470,3305.000,2173220
Mobile,1390,4264.000,2171102
Desktop,1430,3107.000,2167797
Desktop,2280,3827.000,2167521
Desktop,1770,3004.000,2163678
Mobile,1730,3928.000,2161532
Desktop,1940,3676.000,2154945
Desktop,1620,3592.000,2150342
Desktop,1260,3050.000,2146226
Desktop,1150,3009.000,2142295
Mobile,1690,3965.000,2140944
Mobile,830,3720.000,2140145
Desktop,1540,3448.000,2139498
Mobile,910,4148.000,2136705
Desktop,1350,3085.000,2136477
Mobile,860,3854.000,2134620
Mobile,990,3811.000,2132243
Desktop,1680,3359.000,2126883
Desktop,790,2536.000,2123801
Mobile,1760,3958.000,2119679
Desktop,1340,3107.000,2114853
Desktop,650,2523.000,2104780
Desktop,1140,2883.000,2104074
Desktop,1510,3395.000,2104050
Desktop,780,2513.000,2101661
Desktop,1210,3095.000,2092748
Mobile,390,3835.000,2091030
Mobile,810,3586.000,2089294
Mobile,1680,4067.000,2088462
Desktop,1320,3214.000,2087194
Desktop,1560,3419.000,2087115
Desktop,1440,3124.000,2086722
Desktop,1400,3151.000,2076738
Mobile,1670,4299.000,2076572
Desktop,1460,3261.000,2074797
Mobile,4030,1068.000,2072897
Mobile,260,2481.000,2072733
Mobile,1820,4586.000,2067963
Mobile,1810,4481.000,2066428
Mobile,790,3871.000,2066211
Mobile,1850,4588.000,2062560
Desktop,230,1663.000,2062193
Desktop,1310,3164.000,2061787
Desktop,1530,3440.000,2061415
Desktop,810,2427.000,2049956
Desktop,1930,3756.000,2048205
Mobile,2710,3740.000,2044416
Desktop,1730,3280.000,2041770
Desktop,1670,3603.000,2038251
Desktop,1920,3545.000,2037559
Mobile,120,2137.000,2036536
Mobile,1790,4224.000,2031524
Mobile,1710,4008.000,2026653
Desktop,1450,3176.000,2023542
Mobile,1800,4333.000,2021383
Desktop,800,2602.000,2019908
Mobile,1830,4461.000,2018335
Desktop,70,1196.000,2013602
Desktop,1280,2952.000,2007292
Desktop,1710,3467.000,2006409
Desktop,1240,3026.000,2002527
Desktop,1950,3660.000,2002109
Desktop,200,2345.000,2001322
Desktop,1300,3053.000,1996907
Desktop,1870,3463.000,1994148
Desktop,1520,3411.000,1989786
Desktop,1720,3430.000,1983777
Desktop,1270,2930.000,1983738
Mobile,800,3869.000,1979025
Mobile,280,3768.000,1976620
Desktop,640,2739.000,1976492
Mobile,380,3191.000,1976487
Desktop,1900,3493.000,1971478
Desktop,1290,3112.000,1959916
Desktop,820,2502.000,1959558
Mobile,1700,3901.000,1959127
Desktop,1750,3288.000,1958449
Mobile,940,3842.000,1956585
Desktop,210,1887.000,1951943
Mobile,3000,2016.000,1944841
Mobile,2980,2330.000,1944198
Desktop,270,1688.000,1926915
Desktop,1850,3354.000,1926044
Desktop,600,1500.000,1925046
Desktop,1760,3308.000,1923988
Mobile,920,3999.000,1916000
Desktop,1250,3067.000,1907185
Mobile,1910,3616.000,1896823
Mobile,930,3938.000,1893063
Desktop,1880,3546.000,1891003
Mobile,170,3055.000,1885747
Mobile,2210,4517.000,1882469
Desktop,1740,3541.000,1875591
Mobile,1840,4441.000,1870724
Desktop,560,1770.000,1862657
Desktop,580,1588.000,1860268
Mobile,3780,2846.000,1849690
Desktop,1890,3552.000,1847110
Desktop,1960,3733.000,1841360
Desktop,2570,4146.000,1835757
Mobile,1900,4092.000,1825076
Mobile,2270,4384.000,1813003
Mobile,3770,2831.000,1809206
Mobile,1860,4563.000,1804038
Mobile,2200,4549.000,1802605
Desktop,610,1614.000,1801801
Mobile,1920,4152.000,1801687
Mobile,3070,2183.000,1801142
Mobile,1880,3992.000,1799874
Desktop,1860,3551.000,1789991
Desktop,1780,3551.000,1788096
Desktop,90,1047.000,1784412
Desktop,1970,3786.000,1775663
Mobile,3760,2816.000,1774090
Mobile,2220,4451.000,1772623
Mobile,2700,4021.000,1772607
Desktop,1840,3487.000,1765482
Mobile,1890,3978.000,1764059
Desktop,160,1442.000,1761944
Mobile,3880,2307.000,1761417
Mobile,3790,2812.000,1760390
Mobile,1930,4462.000,1751255
Mobile,2050,4798.000,1746521
Mobile,3750,2785.000,1745903
Mobile,1870,4131.000,1736778
Desktop,1800,3620.000,1734569
Desktop,2440,3939.000,1728974
Mobile,2280,4652.000,1717175
Desktop,1810,3563.000,1716388
Desktop,710,2258.000,1715556
Desktop,1820,3560.000,1706836
Desktop,1980,3762.000,1702326
Desktop,1830,3477.000,1699298
Mobile,2190,4408.000,1692240
Mobile,240,2820.000,1688811
Mobile,3810,2738.000,1688805
Mobile,3150,2013.000,1687849
Desktop,1790,3632.000,1686937
Mobile,2340,4655.000,1683793
Mobile,3800,2749.000,1682283
Mobile,2230,4468.000,1674920
Desktop,660,2132.000,1670982
Mobile,2260,4481.000,1668778
Desktop,1990,3749.000,1667899
Mobile,2160,4550.000,1665586
Mobile,3010,3223.000,1665401
Mobile,2140,3848.000,1665385
Mobile,2240,4484.000,1659503
Mobile,1940,4373.000,1651943
Desktop,520,1860.000,1651478
Mobile,1960,4310.000,1647632
Mobile,1950,4425.000,1639421
Mobile,2180,4447.000,1639395
Mobile,3820,2794.000,1639223
Desktop,670,2215.000,1637135
Desktop,2430,3838.000,1633393
Mobile,3260,2219.000,1626095
Mobile,2250,4479.000,1623922
Desktop,430,2054.000,1623559
Mobile,2010,4279.000,1622194
Desktop,490,2234.000,1616494
Mobile,2130,3971.000,1616444
Desktop,2010,3542.000,1610351
Desktop,700,2115.000,1609524
Mobile,2060,4505.000,1607276
Mobile,2100,4445.000,1607191
Desktop,590,1603.000,1606917
Mobile,2290,4660.000,1605183
Mobile,2350,4680.000,1605023
Desktop,2710,3254.000,1603631
Mobile,250,2831.000,1599366
Mobile,2040,4570.000,1598588
Desktop,250,1390.000,1598104
Desktop,530,1820.000,1594483
Mobile,3240,2040.000,1594258
Mobile,1980,4535.000,1588039
Mobile,2030,4484.000,1585630
Mobile,3830,2758.000,1580258
Desktop,2460,3882.000,1575671
Desktop,770,2515.000,1574492
Desktop,2580,4058.000,1572938
Mobile,1970,4361.000,1569670
Mobile,60,2549.000,1565245
Mobile,2320,4734.000,1561724
Desktop,2210,2920.000,1558601
Desktop,2560,3955.000,1553172
Desktop,2450,3860.000,1550016
Mobile,2110,4139.000,1549159
Mobile,2080,4183.000,1545516
Desktop,2000,3760.000,1544212
Desktop,630,2042.000,1544161
Mobile,3900,3116.000,1543190
Desktop,110,1292.000,1542983
Mobile,2970,2824.000,1542479
Mobile,3910,3268.000,1540736
Mobile,3740,2704.000,1538487
Desktop,570,1642.000,1538403
Desktop,2700,3479.000,1538108
Mobile,2170,4364.000,1535569
Mobile,2000,4481.000,1534345
Mobile,2070,4328.000,1529192
Desktop,690,2162.000,1528312
Desktop,2050,3618.000,1517167
Mobile,1990,4448.000,1516815
Mobile,2020,4442.000,1516744
Desktop,2290,3691.000,1515789
Mobile,2150,4303.000,1514748
Mobile,3840,2797.000,1512668
Mobile,2330,4597.000,1509127
Mobile,2300,4666.000,1507230
Mobile,2120,4232.000,1506338
Mobile,3030,2303.000,1504971
Desktop,550,1844.000,1498032
Mobile,2310,4664.000,1495703
Mobile,2360,4598.000,1494793
Desktop,360,1642.000,1494044
Desktop,30,1468.000,1492181
Desktop,440,1475.000,1491088
Mobile,2720,4038.000,1484401
Desktop,280,1220.000,1484382
Mobile,2090,4226.000,1481515
Mobile,80,2317.000,1479763
Desktop,2260,3363.000,1477424
Mobile,130,1798.000,1472775
Mobile,3720,2772.000,1472745
Mobile,2740,4035.000,1470631
Desktop,2420,3790.000,1470351
Desktop,260,1617.000,1470252
Desktop,2020,3758.000,1466763
Mobile,3190,2252.000,1460504
Mobile,2690,3896.000,1457330
Desktop,620,2012.000,1455239
Mobile,3730,2770.000,1451757
Desktop,2060,3578.000,1451714
Desktop,2030,3669.000,1450942
Mobile,140,2482.000,1450692
Mobile,2950,3012.000,1449226
Desktop,2410,3778.000,1443301
Mobile,2900,3775.000,1438480
Mobile,3850,2818.000,1437505
Desktop,340,1878.000,1436855
Desktop,2470,3792.000,1435533
Desktop,2040,3597.000,1430309
Mobile,2400,4475.000,1428453
Mobile,3040,2327.000,1428408
Mobile,3710,2811.000,1427922
Mobile,2390,4343.000,1426830
Mobile,2940,3035.000,1426031
Desktop,720,2332.000,1423502
Desktop,2520,3341.000,1420942
Mobile,2370,4505.000,1420783
Mobile,30,1734.000,1419971
Mobile,3020,2804.000,1417405
Mobile,3860,2985.000,1415290
Mobile,2380,4293.000,1411173
Desktop,2400,3771.000,1409469
Mobile,2590,4530.000,1401684
Desktop,760,2366.000,1400450
Mobile,2670,4180.000,1398960
Mobile,3870,2987.000,1393539
Desktop,2070,3622.000,1391633
Desktop,2220,3491.000,1390514
Mobile,3700,2871.000,1387897
Desktop,680,2325.000,1386760
Mobile,2600,4340.000,1384856
Mobile,2580,4596.000,1379676
Desktop,2360,3666.000,1379495
Desktop,2550,3671.000,1378304
Desktop,730,2392.000,1368772
Mobile,3080,2528.000,1366189
Mobile,2570,4483.000,1364307
Desktop,2530,3512.000,1358606
Desktop,2160,3502.000,1351807
Desktop,2080,3642.000,1351196
Mobile,3920,3180.000,1350916
Desktop,750,2217.000,1350548
Desktop,510,2147.000,1344564
Desktop,2370,3606.000,1341452
Mobile,2540,4240.000,1341322
Desktop,2340,3618.000,1332987
Desktop,2150,3521.000,1327603
Mobile,2560,4570.000,1326844
Mobile,2680,4117.000,1322708
Desktop,2140,3505.000,1321020
Desktop,2540,3517.000,1320900
Mobile,2730,4168.000,1319467
Desktop,2860,3129.000,1319351
Mobile,2410,4284.000,1318726
Mobile,3590,3008.000,1317588
Mobile,3690,2818.000,1316844
Desktop,2350,3627.000,1314157
Mobile,2650,4317.000,1313901
Mobile,2610,4638.000,1313810
Desktop,2130,3638.000,1311338
Mobile,2550,4373.000,1311011
Desktop,2480,3687.000,1308860
Mobile,2750,4370.000,1308003
Mobile,2760,4183.000,1296220
Desktop,740,2238.500,1296150
Desktop,310,1715.000,1295374
Desktop,2100,3670.000,1294995
Mobile,3120,2469.000,1294386
Desktop,2390,3644.000,1293854
Mobile,3580,2916.000,1291015
Desktop,2120,3635.000,1289216
Desktop,2110,3623.000,1285418
Desktop,2500,3613.000,1284676
Mobile,2510,4226.000,1284083
Mobile,3110,2472.000,1283424
Mobile,2530,4286.000,1283152
Desktop,2330,3528.000,1279832
Mobile,2890,3974.000,1278461
Mobile,3660,2947.000,1275114
Desktop,2090,3643.000,1273963
Desktop,2300,3599.000,1273037
Desktop,370,1341.000,1268238
Mobile,150,2572.000,1267246
Desktop,2240,3606.000,1266559
Desktop,2200,3587.000,1265131
Mobile,3940,3096.000,1264806
Mobile,3060,3109.000,1264236
Mobile,2640,4460.000,1263936
Desktop,2590,3737.000,1263910
Mobile,3540,3014.000,1263732
Mobile,2660,4284.000,1263411
Desktop,2380,3618.000,1263126
Desktop,2230,3556.000,1262637
Desktop,150,1539.000,1259535
Desktop,2190,3594.000,1258705
Desktop,2310,3579.000,1255489
Mobile,2420,4331.000,1254516
Mobile,2910,3688.000,1254227
Mobile,3890,3053.000,1253545
Mobile,2620,4717.000,1251938
Desktop,2610,3571.000,1251009
Mobile,2520,4256.000,1250085
Desktop,2490,3657.000,1249562
Mobile,3610,3013.000,1249028
Desktop,2320,3544.000,1245589
Mobile,2480,4455.000,1239861
Mobile,2630,4731.000,1238296
Mobile,3560,2824.000,1236808
Mobile,3930,3111.000,1236407
Desktop,2680,3656.000,1232509
Desktop,500,2135.000,1231442
Mobile,3600,2954.000,1226204
Desktop,410,2255.000,1225978
Mobile,2430,4252.000,1224329
Desktop,2250,3564.000,1222714
Desktop,2180,3574.000,1221384
Desktop,290,1254.000,1218904
Desktop,2170,3567.000,1216424
Mobile,3650,3016.000,1213939
Mobile,2440,4294.000,1212801
Mobile,3670,2895.000,1212303
Mobile,3550,2939.000,1212137
Mobile,3950,3160.000,1211640
Mobile,2470,4299.000,1207758
Desktop,2600,3642.000,1207301
Desktop,2690,3591.000,1204113
Mobile,2450,4301.000,1203352
Mobile,3230,2617.000,1200295
Mobile,3530,3175.000,1197993
Mobile,2790,4075.000,1197168
Mobile,2810,4059.000,1196645
