DEVICETYPENAME,JS_SIZE,TTI,FREQ
Desktop,930000,9312.000,153739
Mobile,820000,9562.000,153475
Mobile,810000,9879.000,151567
Tablet,70000,11987.000,146518
Tablet,80000,11993.000,144988
Desktop,1080000,7657.000,139574
Desktop,1040000,8577.000,136228
Mobile,880000,9259.000,135912
Mobile,1090000,8133.000,135694
Desktop,840000,6201.000,130709
Desktop,940000,7146.000,126979
Desktop,830000,6730.000,124411
Desktop,920000,7399.000,121875
Desktop,1070000,7502.000,121205
Mobile,1100000,9212.000,119801
Desktop,1060000,7143.000,118637
Mobile,830000,10318.000,118202
Desktop,1180000,4077.000,116670
Mobile,840000,9964.000,114176
Desktop,890000,7039.000,113320
Desktop,950000,7301.000,112423
Mobile,890000,9651.000,112256
Tablet,40000,10217.000,112124
Desktop,1110000,7741.000,110703
Tablet,90000,12205.000,109569
Tablet,60000,13160.000,108646
Tablet,180000,12410.000,108605
Tablet,210000,13631.000,108046
Mobile,950000,8713.000,105022
Desktop,1090000,7314.000,103363
Mobile,990000,7725.000,102698
Mobile,980000,7855.000,101109
Tablet,710000,15006.000,100951
Tablet,200000,11858.000,99378
Tablet,190000,13299.000,95621
Mobile,1060000,9873.000,93796
Tablet,100000,12195.000,90753
Tablet,350000,7912.000,90723
Tablet,130000,10321.000,88491
Tablet,110000,10534.000,87449
Tablet,260000,12574.000,84269
Tablet,170000,11752.000,82342
Mobile,910000,9228.500,82234
Tablet,50000,9960.000,79355
Tablet,300000,12200.000,79107
Tablet,120000,11522.000,78607
Desktop,1150000,7866.000,76925
Mobile,970000,8988.000,76419
Mobile,1320000,11152.000,75695
Mobile,1260000,8608.500,75294
Mobile,1080000,9722.000,74893
Tablet,150000,13061.000,74621
Tablet,310000,12209.000,74056
Desktop,1240000,5255.000,72709
Tablet,320000,13629.000,72692
Mobile,1070000,9457.000,71409
Tablet,250000,12106.500,71398
Tablet,140000,11932.000,70949
Tablet,220000,13312.000,70712
Mobile,1570000,6061.500,70086
Desktop,1050000,7401.000,69729
Tablet,340000,10292.000,69630
Mobile,1240000,7938.000,67817
Tablet,290000,12485.000,67675
Desktop,1170000,7742.000,67572
Tablet,270000,11680.000,67556
Tablet,330000,10084.000,66649
Mobile,1020000,8788.000,63100
Desktop,1570000,4121.000,61672
Tablet,230000,12580.000,60937
Mobile,1030000,9539.500,60262
Mobile,1000000,8771.000,60065
Mobile,920000,9737.000,59303
Tablet,240000,12221.000,58694
Mobile,1110000,7698.000,58587
Tablet,280000,11634.000,57613
Mobile,1140000,9888.000,57107
