TTI,IMAGES,FREQ
3007,69.322993,56122
3228,68.949253,56122
3028,68.376686,56121
3195,68.641743,56119
3156,68.815546,56117
3021,69.011993,56116
2968,68.688153,56114
3399,69.325712,56111
2940,67.722509,56110
3151,68.518063,56109
3296,68.849344,56108
3013,68.590005,56108
3429,68.471136,56107
3419,68.473835,56106
3207,68.604260,56105
3371,68.881328,56104
3003,68.195088,56103
3162,68.980375,56103
3278,68.120780,56102
3374,68.219889,56101
3349,68.166613,56100
3241,69.004189,56099
3076,68.580523,56096
3236,68.366385,56094
3120,68.869409,56091
3359,68.645683,56091
3357,68.727307,56085
3237,68.808484,56084
3212,68.109088,56083
3234,69.440658,56082
3344,67.839054,56081
2960,67.962161,56080
3412,68.053603,56079
2882,67.613404,56074
3106,68.926092,56070
3214,68.221013,56069
3029,68.706986,56069
3107,68.278657,56069
3448,69.002640,56068
3550,68.275853,56066
3497,69.172761,56066
3011,68.312482,56064
3403,68.349910,56063
3155,67.725184,56063
2954,67.846802,56058
3420,68.225324,56057
3380,68.858450,56051
3335,69.244902,56051
3169,68.363760,56048
3346,67.979142,56045
3045,67.936925,56044
3415,68.478089,56044
3006,67.696215,56043
3481,68.715667,56040
3469,68.132158,56039
3165,67.997876,56037
3164,67.680568,56037
3431,68.073918,56035
3189,68.056161,56035
3051,68.400800,56033
3275,69.174079,56032
3252,67.819389,56032
3230,68.611715,56031
3353,67.928212,56026
3340,68.875754,56026
3516,68.816368,56025
3450,68.714865,56019
3360,69.979791,56015
3070,68.138856,56015
3326,67.693928,56013
3062,68.147417,56011
3509,68.498224,56011
3077,67.536923,56008
3499,67.912722,56005
2953,67.367259,56004
3289,68.281533,56004
3500,68.353773,56002
3394,69.318834,56001
3644,68.738156,55999
3081,67.858077,55995
3022,67.876400,55995
3186,68.568936,55994
3020,69.499705,55991
3306,68.576774,55989
2984,68.279680,55989
3355,68.488569,55988
3263,67.819848,55986
2996,69.125627,55983
2943,67.204327,55979
3373,68.366483,55978
3026,69.198389,55976
3362,68.851168,55976
2950,68.198124,55975
2933,68.810448,55974
2963,69.464044,55971
3309,69.203145,55965
3447,68.729903,55965
3060,68.239261,55964
3017,68.739976,55964
3040,68.763236,55963
2991,68.051177,55963
3528,69.140989,55962
3160,68.434915,55958
