DEVICETYPENAME,DOMAINS,TTI,FREQ
Tablet,53,9195.000,351965
Tablet,17,6096.000,350205
Tablet,55,7995.000,343647
Tablet,19,6012.000,343357
Tablet,47,8541.000,338436
Tablet,26,6347.000,333503
Desktop,78,8839.000,329879
Tablet,21,6017.000,324053
Mobile,78,10616.000,323245
Tablet,16,6204.000,315941
Tablet,5,3569.000,314496
Tablet,52,9295.000,312615
Tablet,25,6389.000,305506
Tablet,48,8535.000,301878
Tablet,56,7608.000,295681
Tablet,23,6616.000,293516
Tablet,24,6607.000,293401
Mobile,79,10459.000,293013
Desktop,79,8946.000,289750
Tablet,64,8639.000,288781
Tablet,22,6381.000,287347
Tablet,11,4873.000,285179
Tablet,63,9144.000,280570
Tablet,51,9086.000,278118
Tablet,49,8545.000,276489
Tablet,65,8690.000,274289
Tablet,9,4765.000,273456
Tablet,10,5402.000,268948
Desktop,80,8998.000,264854
Tablet,62,9745.000,263769
Tablet,50,8732.000,263119
Tablet,15,6221.000,261790
Mobile,80,10635.000,251368
Tablet,57,8063.000,246309
Tablet,8,4287.000,245378
Tablet,61,10121.000,243310
Desktop,81,9223.000,242791
Tablet,66,9066.000,238567
Tablet,12,5789.000,230911
Tablet,6,4340.000,225420
Tablet,60,10199.000,222432
Tablet,14,5964.000,221061
Desktop,82,9364.000,219841
Mobile,81,10798.000,218191
Tablet,58,9160.000,216837
Tablet,13,6005.000,216575
Tablet,59,9875.000,211312
Desktop,83,9425.000,204648
Tablet,67,9512.000,198421
Mobile,82,10947.000,193556
Tablet,7,5128.000,193379
Desktop,84,9624.000,191732
Mobile,83,10987.000,178863
Mobile,84,11092.500,173634
Desktop,85,9624.000,171397
Mobile,85,11200.000,170858
Mobile,86,11367.000,164746
Tablet,68,10398.500,160880
Desktop,86,9734.000,155914
Mobile,87,11452.000,155657
Tablet,3,6209.000,147283
Mobile,88,11519.000,146074
Desktop,87,9808.000,141430
Mobile,89,11556.000,135554
Tablet,69,11032.000,135299
Desktop,88,9825.000,130154
Tablet,4,5209.000,129395
Tablet,2,6704.000,126240
Mobile,90,11755.000,124690
Desktop,89,9959.000,121098
Tablet,70,11595.000,120330
Desktop,90,10002.000,112428
Mobile,91,11965.000,111162
Tablet,71,12581.000,105727
Desktop,91,10031.000,104155
Desktop,92,9939.000,98240
Mobile,92,12144.000,96547
Desktop,93,9818.000,94185
Desktop,94,9620.500,91324
Tablet,72,14156.000,88471
Desktop,95,9543.000,87005
Desktop,96,9460.000,81383
Mobile,93,12151.000,81074
Desktop,97,9455.500,73490
Tablet,73,15803.000,69995
Mobile,94,12140.000,67807
Desktop,98,9518.500,63944
Mobile,95,11940.000,56915
Tablet,74,17201.000,54149
Desktop,99,9562.000,53998
Mobile,96,11823.500,47906
Desktop,100,9582.000,43912
Tablet,75,18065.000,42851
Mobile,97,11551.000,39770
Tablet,76,18428.000,36024
Desktop,101,9716.000,35309
Mobile,98,11371.000,32157
Tablet,77,17844.000,32084
Tablet,78,17187.000,29366
Desktop,102,9713.000,27594
Tablet,79,17142.000,26921
Mobile,99,11368.000,25212
Tablet,80,17178.500,23606
Desktop,103,9892.000,21110
Tablet,81,17108.000,20879
Mobile,100,11493.500,18448
Tablet,82,17180.000,18306
Tablet,83,17080.000,16605
Desktop,104,9874.000,16281
Tablet,84,16533.000,15101
Tablet,85,16016.500,14024
Mobile,101,11524.000,12945
Tablet,86,16456.500,12578
Desktop,105,9960.000,12155
Tablet,87,16578.000,11051
Desktop,106,10028.000,9426
Tablet,88,17630.000,9402
Mobile,102,11866.000,9342
Tablet,89,18188.000,8039
Desktop,107,10230.000,7397
Tablet,90,18951.000,6768
Mobile,103,11928.000,6422
Tablet,91,19339.500,5782
Desktop,108,10096.000,5777
Tablet,92,19648.000,4643
Desktop,109,10415.000,4530
Mobile,104,11840.500,4272
Tablet,93,19607.500,3998
Desktop,110,10152.000,3834
Desktop,111,10142.000,3352
Tablet,94,20126.000,3211
Mobile,105,12062.500,2896
Desktop,112,9923.000,2811
