DEVICETYPENAME,DOM_SIZE,TTI,FREQ
Desktop,1220,9156.000,2218231
Desktop,1130,8485.000,2209418
Desktop,540,5310.000,2209284
Mobile,980,11716.000,2207517
Desktop,1910,9310.000,2203828
Desktop,1230,9408.000,2200864
Desktop,1550,10163.000,2200056
Desktop,1580,10115.000,2198985
Mobile,1600,12890.000,2197382
Mobile,1340,12311.000,2194098
Desktop,1630,11017.000,2193940
Desktop,1480,9781.000,2192046
Desktop,1570,10487.000,2191903
Mobile,510,10524.000,2189196
Desktop,1420,9353.000,2187118
Desktop,1660,10953.000,2184502
Desktop,1120,9169.000,2184444
Mobile,1750,12288.000,2181244
Mobile,1350,11996.000,2180253
Desktop,1600,10002.000,2179473
Mobile,1660,13133.000,2177302
Desktop,1590,9884.000,2176491
Desktop,1390,9125.000,2175798
Mobile,1360,12246.000,2174641
Desktop,1650,11238.000,2173546
Mobile,270,10306.300,2173298
Desktop,1470,9571.000,2173220
Mobile,1390,12882.000,2171102
Desktop,1430,9126.000,2167797
Desktop,2280,9859.000,2167521
Desktop,1770,9444.000,2163678
Mobile,1730,12024.000,2161532
Desktop,1940,10256.000,2154945
Desktop,1620,10623.000,2150342
Desktop,1260,9296.000,2146226
Desktop,1150,8951.000,2142295
Mobile,1690,12324.000,2140944
Mobile,830,11328.000,2140145
Desktop,1540,10134.000,2139498
Mobile,910,11861.000,2136705
Desktop,1350,8782.000,2136477
Mobile,860,11828.000,2134620
Mobile,990,11554.000,2132243
Desktop,1680,10503.000,2126883
Desktop,790,7001.000,2123801
Mobile,1760,12069.000,2119679
Desktop,1340,9074.800,2114853
Desktop,650,8915.000,2104780
Desktop,1140,8810.000,2104074
Desktop,1510,9573.000,2104050
Desktop,780,6903.000,2101661
Desktop,1210,9047.000,2092748
Mobile,390,12005.000,2091030
Mobile,810,10904.000,2089294
Mobile,1680,12523.000,2088462
Desktop,1320,9473.000,2087194
Desktop,1560,10086.000,2087115
Desktop,1440,9126.000,2086722
Desktop,1400,9332.000,2076738
Mobile,1670,12874.000,2076572
Desktop,1460,9535.400,2074797
Mobile,4030,4631.000,2072897
Mobile,260,7960.000,2072733
Mobile,1820,13424.000,2067963
Mobile,1810,13258.000,2066428
Mobile,790,11456.000,2066211
Mobile,1850,13959.000,2062560
Desktop,230,5983.000,2062193
Desktop,1310,9281.000,2061787
Desktop,1530,10115.000,2061415
Desktop,810,7464.000,2049956
Desktop,1930,10909.000,2048205
Mobile,2710,11324.000,2044416
Desktop,1730,10007.000,2041770
Desktop,1670,10640.000,2038251
Desktop,1920,10269.000,2037559
Mobile,120,6215.000,2036536
Mobile,1790,12598.000,2031524
Mobile,1710,12399.000,2026653
Desktop,1450,9169.000,2023542
Mobile,1800,12826.000,2021383
Desktop,800,7221.000,2019908
Mobile,1830,13404.000,2018335
Desktop,70,3791.000,2013602
Desktop,1280,8559.000,2007292
Desktop,1710,10029.000,2006409
Desktop,1240,8809.000,2002527
Desktop,1950,10088.000,2002109
Desktop,200,6385.000,2001322
Desktop,1300,8964.000,1996907
Desktop,1870,9900.000,1994148
Desktop,1520,9940.000,1989786
Desktop,1720,10269.000,1983777
Desktop,1270,8542.000,1983738
Mobile,800,11565.000,1979025
Mobile,280,12995.000,1976620
Desktop,640,10273.000,1976492
Mobile,380,10545.000,1976487
Desktop,1900,9682.000,1971478
Desktop,1290,8905.000,1959916
Desktop,820,7660.000,1959558
Mobile,1700,12507.000,1959127
Desktop,1750,9953.000,1958449
Mobile,940,11331.000,1956585
Desktop,210,6621.000,1951943
Mobile,3000,7279.000,1944841
Mobile,2980,7612.000,1944198
Desktop,270,5688.000,1926915
Desktop,1850,9780.000,1926044
Desktop,600,5353.000,1925046
Desktop,1760,9993.000,1923988
Mobile,920,11560.000,1916000
Desktop,1250,8937.000,1907185
Mobile,1910,11389.000,1896823
Mobile,930,11331.000,1893063
Desktop,1880,9977.000,1891003
Mobile,170,12889.000,1885747
Mobile,2210,12813.000,1882469
Desktop,1740,10480.000,1875591
Mobile,1840,13579.000,1870724
Desktop,560,6565.000,1862657
Desktop,580,5283.000,1860268
Mobile,3780,6549.000,1849690
Desktop,1890,9947.000,1847110
Desktop,1960,10217.000,1841360
Desktop,2570,10768.400,1835757
Mobile,1900,13533.000,1825076
Mobile,2270,12301.000,1813003
Mobile,3770,6490.000,1809206
Mobile,1860,13648.000,1804038
Mobile,2200,12806.000,1802605
Desktop,610,6080.000,1801801
Mobile,1920,12635.000,1801687
Mobile,3070,7223.000,1801142
Mobile,1880,12160.000,1799874
Desktop,1860,10172.000,1789991
Desktop,1780,10512.000,1788096
Desktop,90,3723.000,1784412
Desktop,1970,10382.000,1775663
Mobile,3760,6625.000,1774090
Mobile,2220,12700.000,1772623
Mobile,2700,11941.000,1772607
Desktop,1840,10185.000,1765482
Mobile,1890,12254.000,1764059
Desktop,160,4447.000,1761944
Mobile,3880,6125.000,1761417
Mobile,3790,6624.000,1760390
Mobile,1930,13786.000,1751255
Mobile,2050,14545.000,1746521
Mobile,3750,6510.000,1745903
Mobile,1870,12519.000,1736778
Desktop,1800,10503.000,1734569
Desktop,2440,10454.000,1728974
Mobile,2280,12776.000,1717175
Desktop,1810,10441.300,1716388
Desktop,710,6568.000,1715556
