DEVICETYPENAME,LAST_FONT_TIME,TTI,FREQ
Mobile,9000,12507.000,1315
Tablet,400,2266.500,1306
Mobile,8900,12669.000,1292
Desktop,8900,11108.000,1276
Tablet,2900,6018.000,1252
Tablet,2800,5904.000,1249
Desktop,8800,11292.000,1243
Desktop,9000,11244.500,1232
Tablet,300,2088.500,1220
Tablet,3000,6228.500,1212
Desktop,9100,11426.000,1203
Mobile,9200,13343.000,1193
Mobile,9300,13170.500,1180
Tablet,3100,6291.500,1178
Mobile,0,1938.000,1172
Desktop,9200,11534.000,1159
Mobile,9100,12932.000,1155
Desktop,9300,11498.500,1130
Tablet,200,1924.000,1112
Mobile,9500,13385.500,1112
Mobile,9400,13086.000,1103
Tablet,3200,6264.500,1078
Tablet,3300,6691.000,1071
Desktop,9500,11758.000,1061
Mobile,9900,13954.000,1055
Mobile,9600,13791.000,1051
Tablet,3400,6698.000,1051
Desktop,9400,11660.500,1050
Desktop,9600,11703.000,1050
Mobile,9700,13777.000,1044
Mobile,9800,13845.500,1036
Mobile,10000,14189.000,1011
Desktop,9900,12132.000,1009
Desktop,9700,12211.500,1008
Desktop,9800,11902.500,1008
Tablet,3700,7137.000,957
Tablet,3500,6760.500,946
Mobile,10400,14400.500,940
Mobile,10200,14150.000,936
Mobile,10300,13802.000,933
Mobile,10100,14081.000,932
Desktop,10200,12424.000,921
Desktop,10000,12281.000,905
Tablet,3800,7076.000,891
Tablet,100,2335.000,885
Tablet,3600,7059.500,874
Desktop,10300,12684.000,873
Desktop,10100,12217.000,863
Tablet,3900,7389.500,846
Mobile,10500,13998.000,839
Mobile,10800,14501.000,837
Mobile,10600,14235.000,827
Desktop,10600,12717.000,821
Tablet,4000,7742.000,811
Desktop,10400,12858.500,810
Mobile,10700,14376.500,800
Desktop,10700,13126.000,771
Tablet,4100,7658.000,767
Desktop,10500,12757.500,766
Mobile,11000,15296.000,751
Desktop,10800,13452.500,742
Mobile,10900,14944.000,735
Tablet,4300,7923.000,732
Mobile,11200,14914.000,722
Desktop,11200,13883.000,721
Mobile,11100,14966.000,719
Tablet,4200,7685.500,718
Mobile,11400,15275.000,714
Tablet,4500,8501.500,712
Mobile,11300,14786.500,694
Tablet,4400,8013.000,690
Desktop,10900,13371.500,686
Mobile,11600,15612.500,678
Desktop,11000,13308.500,678
Desktop,11400,14069.000,667
Desktop,11100,13318.000,652
Desktop,11300,13623.500,648
Mobile,11500,15311.000,644
Tablet,4600,8501.500,644
Tablet,4700,8671.500,626
Mobile,11700,15496.000,624
Desktop,11600,13850.000,604
Mobile,12000,15602.000,598
Desktop,11500,14104.000,597
Tablet,4800,8719.500,594
Mobile,11900,15803.000,586
Mobile,11800,15376.500,586
Desktop,11900,14363.500,584
Tablet,4900,8684.000,579
Tablet,5100,9093.000,574
Desktop,11700,14074.000,573
Mobile,12100,15838.000,558
Mobile,12300,16372.000,557
Tablet,5000,8893.000,557
Desktop,11800,14252.000,556
Desktop,12100,14187.500,546
Mobile,12400,15993.000,535
Tablet,5600,9687.000,528
Mobile,12500,16921.500,524
