DEVICETYPENAME,IMAGES,TTI,FREQ
Tablet,5,4596.000,1909105
Desktop,123,4483.000,1907381
Mobile,96,4321.000,1864011
Tablet,23,4421.000,1846836
Mobile,100,4378.000,1846125
Desktop,106,3966.000,1841026
Mobile,94,4491.000,1800877
Tablet,9,2465.000,1778561
Desktop,122,4443.000,1776953
Desktop,105,4521.000,1757711
Desktop,109,4716.000,1753750
Desktop,89,4120.000,1743433
Tablet,1,3240.000,1724724
Desktop,91,4076.000,1722700
Desktop,92,3837.000,1715684
Desktop,112,4642.000,1697250
Tablet,22,4697.000,1694199
Mobile,104,4142.000,1667662
Desktop,110,4386.000,1659103
Tablet,19,4744.000,1655347
Mobile,109,4603.000,1626374
Tablet,18,4028.000,1602475
Mobile,105,4006.000,1602098
Mobile,114,4411.000,1599984
Desktop,94,3997.000,1590196
Tablet,26,4957.000,1587367
Tablet,4,3915.000,1587113
Desktop,96,3868.000,1584567
Mobile,106,3859.000,1570601
Tablet,25,4887.000,1561564
Desktop,108,4301.000,1549877
Tablet,38,4514.000,1547007
Tablet,65,5408.000,1544761
Tablet,16,4153.000,1533636
Mobile,99,4423.000,1529465
Tablet,21,4730.000,1524170
Tablet,15,3678.000,1507112
Mobile,98,4355.000,1505896
Tablet,6,4118.000,1502663
Desktop,95,3958.000,1485767
Desktop,99,3818.000,1473767
Mobile,101,4375.000,1472174
Desktop,121,4384.000,1458754
Tablet,35,4308.000,1457650
Tablet,28,4682.000,1436296
Tablet,27,4840.000,1425286
Tablet,17,4177.000,1410395
Tablet,14,3908.000,1402433
Tablet,20,4686.000,1394139
Desktop,104,3879.000,1373469
Tablet,30,4768.000,1341436
Tablet,12,3784.000,1335357
Mobile,113,4540.000,1331313
Desktop,111,4344.000,1313615
Desktop,101,3967.000,1310509
Tablet,33,4534.000,1308296
Desktop,215,5117.000,1302916
Tablet,29,4779.000,1294260
Desktop,100,3821.000,1288948
Desktop,107,4334.000,1251817
Desktop,114,4215.000,1241586
Tablet,37,4522.000,1226348
Tablet,11,4100.000,1224182
Tablet,31,4667.000,1218192
Tablet,32,4706.000,1210122
Mobile,108,4274.000,1208941
Desktop,102,4002.000,1206302
Desktop,115,4439.000,1204029
Desktop,118,4041.000,1193416
Desktop,119,4014.000,1181932
Tablet,7,4454.000,1173016
Desktop,120,4688.000,1170744
Desktop,103,3966.000,1150600
Tablet,10,3840.000,1145938
Tablet,36,4533.000,1121557
Mobile,107,4414.000,1116905
Tablet,34,4520.000,1115386
Mobile,116,4259.000,1107359
Desktop,124,4211.000,1104936
Mobile,112,4328.000,1103032
Tablet,8,4935.000,1094627
Tablet,39,4580.000,1087239
Desktop,117,4210.000,1071483
Desktop,202,4848.000,1068662
Mobile,118,4599.000,1066278
Tablet,66,5400.000,1065199
Tablet,41,4698.000,1060888
Tablet,43,4792.500,1060556
Tablet,42,4667.000,1059425
Tablet,52,4737.000,1056584
Tablet,58,4232.000,1041195
Tablet,40,4633.000,1036775
Mobile,110,4260.000,1025411
Tablet,73,4879.000,1018566
Tablet,67,5499.000,1010366
Mobile,111,4331.000,1002982
Tablet,44,4636.000,997257
Desktop,125,4102.000,990441
Tablet,59,5366.000,988290
Tablet,57,5000.000,971713
Desktop,116,4189.000,960943
Tablet,56,4753.000,947575
Mobile,115,4362.000,942578
Tablet,64,5441.000,940988
Tablet,49,4806.000,908553
Desktop,127,4075.000,898908
Desktop,126,4009.000,895006
Tablet,46,4572.000,888127
Desktop,128,4070.000,879240
Desktop,129,4161.000,868295
Tablet,55,4795.000,866642
Tablet,63,5322.000,857650
Tablet,45,4758.000,857624
Desktop,203,4633.000,853548
Mobile,123,4830.000,843031
Desktop,130,4135.000,838387
Desktop,131,4093.000,835510
Desktop,133,4336.000,825396
Mobile,117,4501.000,821016
Tablet,48,4747.000,820811
Tablet,47,4621.000,817235
Tablet,54,4901.000,816743
Mobile,124,5007.000,809521
Desktop,134,4211.000,806513
Tablet,51,4900.000,800917
Tablet,50,4997.000,789341
Desktop,135,3869.000,784067
Mobile,159,4381.000,780679
Desktop,132,4073.000,772243
Mobile,125,4804.000,763775
Tablet,53,4870.000,748697
Mobile,126,4629.000,745158
Mobile,155,4188.000,737964
Desktop,217,6292.000,725983
Mobile,127,4672.000,722647
Tablet,69,5749.000,721678
Mobile,187,3466.000,720379
Tablet,68,5555.000,708174
Tablet,74,5353.000,706874
Mobile,128,4686.000,704083
Desktop,136,4296.000,697563
Tablet,62,5269.000,694609
Desktop,139,4277.000,693092
Desktop,137,4330.000,692597
Tablet,60,5201.000,689434
Desktop,176,4190.000,684590
Tablet,61,5203.000,680167
Desktop,140,4385.000,672553
Mobile,129,4916.000,652911
Desktop,138,4398.000,652175
Desktop,144,4212.000,651318
Mobile,130,4610.000,644603
Mobile,134,4472.000,642621
Desktop,177,2945.000,640313
Desktop,280,1067.000,637494
Desktop,141,4543.000,630957
Mobile,132,4635.000,630667
Tablet,70,5600.000,624518
Desktop,145,4038.500,623058
Desktop,214,4958.000,619491
Mobile,133,4595.000,617969
Desktop,143,4332.000,596886
Tablet,97,3757.000,596379
Desktop,159,4021.000,595528
Desktop,171,3381.000,591380
Tablet,71,5482.000,591202
Tablet,72,5471.000,587251
Desktop,142,4445.000,581475
Mobile,135,4444.000,572839
Mobile,136,4806.000,567993
Mobile,131,4686.000,565612
Desktop,150,4079.000,562408
Desktop,161,4073.000,562064
Desktop,147,4147.000,561393
Desktop,163,3365.000,560094
Desktop,187,4024.000,559764
Tablet,76,5260.000,555915
Desktop,175,3697.000,555626
Desktop,173,3999.000,553355
Desktop,156,4236.000,547117
Desktop,148,4245.000,539640
Mobile,273,2593.000,538662
Mobile,139,4886.000,532992
Mobile,137,5023.000,530067
Desktop,149,4442.000,527412
Desktop,216,5501.000,524106
Desktop,212,4413.000,522855
Desktop,146,4125.000,521734
Desktop,158,4068.000,516201
Desktop,157,4238.000,514761
Mobile,156,4157.000,506424
Desktop,151,4113.000,503624
Mobile,145,4215.000,503592
Tablet,80,4700.000,501602
Mobile,177,3314.000,501553
Mobile,143,4823.000,497975
Mobile,138,4956.000,491881
Mobile,167,4664.000,490161
Mobile,157,4522.000,489419
Mobile,142,4929.000,488678
Mobile,160,4366.000,487905
Tablet,78,5174.000,487452
Desktop,218,5505.000,487287
Desktop,152,4182.000,485509
Tablet,82,4645.000,481828
Mobile,192,6762.000,481782
Desktop,170,3966.000,478554
Mobile,140,5028.000,471633
Mobile,186,3709.000,469320
Desktop,167,4129.000,469306
Mobile,154,4207.000,469023
Mobile,161,4938.000,468601
Mobile,163,3739.000,468021
Tablet,75,5641.000,466065
Desktop,191,4644.000,464707
Tablet,77,5175.000,462740
Mobile,150,4167.000,462193
Desktop,153,4263.000,458522
Desktop,172,4529.000,457989
Tablet,81,4890.000,456529
Mobile,141,4956.000,452092
Desktop,169,4282.000,450051
Mobile,148,4234.000,449729
Mobile,144,4455.000,446852
Mobile,173,3730.000,445762
Tablet,83,5306.000,445123
Mobile,175,3702.000,444059
Tablet,86,4114.000,439369
Desktop,211,4648.000,436998
Desktop,155,4094.000,436006
Desktop,178,4500.500,435686
Desktop,213,4593.000,433271
Tablet,79,5022.000,430704
Desktop,199,4615.000,429783
Desktop,154,4166.000,419738
Mobile,162,4059.000,419082
Desktop,186,4211.000,418381
Mobile,174,3903.500,417210
Desktop,226,4044.000,416563
Mobile,153,4701.000,415353
Desktop,166,4095.000,412011
Mobile,149,4542.000,407852
Mobile,147,4706.000,407659
Desktop,164,4073.000,404494
Desktop,260,3800.000,398894
Tablet,102,5550.000,398144
Mobile,171,3589.000,397669
Mobile,272,3624.000,397365
Desktop,174,4392.000,395943
Desktop,192,4981.000,395588
Desktop,198,4942.000,393559
Desktop,160,4364.000,393345
Mobile,158,4458.000,390641
Desktop,184,4344.000,390098
Desktop,168,4221.000,389428
Desktop,193,4717.000,385846
Desktop,162,4257.000,384755
Desktop,190,4470.000,383483
Mobile,220,5659.000,381229
Mobile,169,4622.000,381139
Mobile,195,5004.000,380342
Tablet,85,5130.000,378948
Mobile,152,4683.000,377058
Mobile,146,4701.000,375911
Mobile,176,3843.000,375194
Desktop,200,4631.000,373594
Desktop,201,4944.000,371355
Desktop,219,5185.000,370164
Desktop,165,4392.000,370009
Desktop,224,4287.000,369676
Mobile,165,4184.000,368022
Desktop,197,5081.000,366349
Desktop,209,4481.000,366205
Mobile,191,6431.000,364800
Mobile,170,4480.000,364553
Desktop,195,4847.000,362850
Desktop,196,5059.000,360778
Tablet,84,5401.000,358014
Desktop,210,4847.000,357115
Desktop,188,4517.000,357016
Tablet,103,5236.000,356647
Desktop,182,4247.000,351807
Desktop,183,4398.000,349437
Desktop,179,4227.000,347783
Mobile,182,4479.000,343788
Desktop,180,4647.000,341751
Mobile,179,4184.000,341102
Mobile,151,4546.000,339581
Mobile,166,4478.000,336687
Desktop,185,4021.000,334656
Mobile,184,4446.000,333694
Mobile,178,4056.000,332882
Desktop,205,4609.000,332835
Desktop,181,4504.000,328154
Desktop,194,4769.000,328150
Mobile,194,5407.000,327022
Tablet,104,5079.000,326900
Desktop,208,4493.000,325933
Mobile,219,5079.000,325679
Mobile,185,4085.000,325370
Desktop,232,4728.000,324961
Mobile,193,5845.000,323699
Mobile,190,5230.000,319993
Desktop,189,4486.000,319862
Tablet,87,5127.500,319780
Desktop,264,4737.000,319254
Mobile,168,4332.000,317961
Tablet,88,5264.000,316777
Desktop,207,4308.000,316673
Mobile,164,4379.000,308435
Desktop,225,4657.000,308406
Desktop,269,4897.000,306929
Desktop,462,6550.000,306050
Mobile,264,5586.000,304877
Desktop,482,6158.000,304547
Desktop,463,6627.000,303609
Desktop,234,4566.000,303593
Desktop,461,6696.500,302302
Desktop,464,6804.000,301149
Desktop,204,4872.000,299025
Desktop,460,6098.000,298909
Mobile,237,5510.000,298680
Tablet,89,5587.000,297120
Desktop,235,4165.000,295829
Mobile,172,4236.000,295229
Desktop,228,4606.000,293730
Tablet,96,4962.000,293539
Desktop,206,4687.000,293384
Mobile,217,5229.000,293191
Mobile,183,4387.000,292832
Desktop,468,7218.000,290206
Desktop,469,7002.000,289832
Desktop,481,6666.000,288306
Tablet,93,4707.000,288203
Desktop,221,5229.000,287541
Desktop,467,6978.000,286714
Mobile,181,4853.000,286139
Desktop,466,7049.000,283941
Desktop,230,4379.000,283281
Desktop,465,6967.000,282609
Mobile,189,4449.000,280346
Tablet,98,4732.000,279659
Desktop,231,4501.000,279106
Tablet,92,5115.000,279022
Desktop,220,4840.000,277429
Desktop,223,4554.000,277311
Desktop,454,5627.000,277123
Mobile,512,3398.000,276693
Mobile,197,5057.000,276115
Mobile,188,4353.000,273276
Desktop,458,5833.000,272895
Desktop,480,6893.000,272290
Mobile,239,5311.000,271999
Mobile,196,5031.000,268282
Tablet,90,5414.000,267621
Desktop,233,4263.000,267450
Desktop,229,4512.000,265607
Desktop,239,4614.000,265510
Mobile,238,5077.000,264904
Desktop,284,4790.000,264285
Desktop,476,6306.000,263102
Mobile,258,5048.000,262371
Mobile,201,5122.000,260813
Mobile,235,5012.000,260712
Desktop,459,6310.000,260288
Tablet,105,5046.000,259861
Desktop,483,6356.000,259548
Mobile,251,4947.000,259333
Mobile,253,4809.000,258950
Desktop,470,7064.000,258645
Tablet,100,5338.000,258265
Mobile,180,4466.000,256646
Desktop,475,6422.000,256353
Desktop,453,5885.000,256197
Desktop,479,6760.000,255586
Desktop,456,6159.000,255314
Desktop,281,3934.000,254879
Desktop,222,4809.000,254873
Desktop,252,4532.000,254720
Mobile,199,5717.500,254590
Desktop,457,6346.000,253931
Tablet,95,4775.000,253817
Desktop,455,6275.500,252542
Tablet,99,4843.000,252272
Desktop,287,3937.000,251994
Desktop,477,6703.000,251816
Desktop,484,6469.000,250276
Mobile,221,5552.000,249787
Desktop,473,7221.000,249321
Desktop,227,4458.000,248677
Mobile,234,5114.000,248312
Desktop,471,6964.000,248291
Tablet,91,5268.000,247924
Desktop,255,4784.000,247591
Desktop,472,7180.000,247315
Desktop,474,7068.000,246933
Desktop,237,4581.000,245474
Desktop,253,4735.000,242729
Desktop,478,6813.000,242688
Mobile,200,5719.000,241771
Desktop,486,6679.000,241448
Tablet,94,4951.000,241396
Desktop,487,6782.000,239891
Desktop,258,4699.000,239307
Desktop,256,4753.000,238638
Desktop,251,4814.000,237915
Desktop,488,6863.000,237298
Desktop,452,6056.000,236938
Tablet,106,4702.000,236607
Desktop,449,5615.500,236288
Desktop,485,7135.000,236099
Desktop,238,4386.000,236001
Desktop,236,4497.000,235847
Mobile,250,4916.000,235775
Mobile,284,5455.000,235514
Desktop,244,4633.000,235195
Desktop,279,3829.000,234274
Mobile,260,5087.000,232795
Mobile,256,5054.000,231607
Desktop,450,5929.000,231379
Desktop,489,6946.000,231155
Desktop,245,4236.000,229187
Desktop,254,4550.000,229173
Tablet,101,5093.000,228584
Mobile,209,5186.000,228146
Desktop,447,5629.000,227662
Desktop,451,6065.000,226182
Desktop,246,4627.000,225630
Desktop,448,6034.000,225304
Mobile,244,4567.000,224955
Desktop,490,7122.000,223521
Desktop,495,6276.000,223247
Desktop,444,5637.000,222786
Desktop,250,4796.000,221958
Desktop,285,3997.000,221936
Mobile,198,5425.500,221730
Mobile,281,4958.000,221466
Mobile,266,4802.000,219489
Desktop,493,6980.000,218384
Mobile,218,5257.000,218202
Mobile,246,4752.000,218005
Desktop,491,7082.000,217461
Desktop,257,4500.000,217378
Desktop,247,4457.000,217261
Desktop,496,6312.000,216134
Desktop,500,6553.000,215403
Desktop,240,4467.000,214718
Desktop,445,6144.000,213804
Desktop,262,4458.000,213433
Desktop,259,4469.000,213315
Desktop,492,7298.000,213244
Desktop,446,6051.000,213222
Desktop,241,4369.000,212488
Mobile,545,3861.000,212275
Mobile,274,2966.000,211949
Desktop,243,4454.000,211579
Mobile,255,5128.000,211050
Desktop,443,5593.000,210808
Desktop,529,4151.000,210196
Mobile,257,4950.000,209737
Desktop,289,3307.000,209131
Mobile,216,5127.000,207389
Desktop,272,4742.000,206968
Desktop,273,4516.000,206452
Mobile,283,4647.000,205964
Mobile,203,5320.000,204601
Desktop,290,4380.000,204582
Mobile,236,4869.000,204149
Desktop,530,4289.000,204006
Mobile,289,5215.000,203628
Desktop,494,6658.000,203359
Desktop,268,4484.000,201960
Desktop,283,3985.000,200968
Mobile,247,4601.000,200541
Desktop,282,4054.000,200081
Mobile,576,4527.000,199697
Desktop,248,4397.000,198141
Desktop,267,4050.000,197776
Mobile,202,5886.000,197640
Desktop,533,4341.000,196227
Desktop,497,6688.000,194973
Desktop,263,4185.000,194322
Mobile,241,4692.000,194187
Desktop,442,5801.000,194029
Desktop,266,4443.000,193890
Desktop,249,4333.000,193237
Desktop,288,3918.000,192474
Mobile,230,4292.000,191545
Desktop,304,5345.000,191454
Desktop,499,6307.000,190937
Mobile,277,4375.000,190845
Tablet,110,5120.000,190707
Tablet,109,5233.000,190351
Mobile,240,5103.000,189547
Mobile,267,4490.000,189370
Desktop,242,4357.000,189283
Desktop,275,4327.000,188889
Desktop,261,4158.000,188652
Desktop,506,5977.000,188389
Desktop,277,4225.000,188115
Mobile,233,4263.000,188031
Desktop,531,4273.000,186986
Desktop,498,6389.000,186794
Mobile,254,5013.000,186301
Mobile,268,4372.000,185958
